"lon","lat","species.name"
167.5269,-45.65999,"Gaultheria nubicola"
171.675539,-42.658811,"Gaultheria nubicola"
172.730461,-41.977239,"Gaultheria nubicola"
169.172789,-45.377218,"Gaultheria nubicola"
170.081921,-45.44117,"Gaultheria nubicola"
167.405591,-45.752026,"Gaultheria nubicola"
169.160056,-45.358576,"Gaultheria nubicola"
172.861678,-41.875555,"Gaultheria nubicola"
169.174573,-45.37734,"Gaultheria nubicola"
166.9522,-45.2658,"Gaultheria nubicola"
166.9167,-45.2409,"Gaultheria nubicola"
166.9527,-45.2646,"Gaultheria nubicola"
166.9182,-45.2369,"Gaultheria nubicola"
166.9517,-45.2656,"Gaultheria nubicola"
167.5286,-45.6666,"Gaultheria nubicola"
167.5285,-45.6621,"Gaultheria nubicola"
167.5248,-45.6861,"Gaultheria nubicola"
167.5284,-45.6589,"Gaultheria nubicola"
167.5204,-45.6869,"Gaultheria nubicola"
167.5239,-45.6872,"Gaultheria nubicola"
167.5143,-45.6772,"Gaultheria nubicola"
167.5085,-45.6789,"Gaultheria nubicola"
167.5284,-45.6674,"Gaultheria nubicola"
167.5275,-45.6587,"Gaultheria nubicola"
167.5138,-45.6772,"Gaultheria nubicola"
167.5269,-45.6668,"Gaultheria nubicola"
167.5274,-45.6662,"Gaultheria nubicola"
167.528,-45.6635,"Gaultheria nubicola"
167.5082,-45.6791,"Gaultheria nubicola"
167.5279,-45.6629,"Gaultheria nubicola"
167.5273,-45.666,"Gaultheria nubicola"
167.5275,-45.6658,"Gaultheria nubicola"
167.5282,-45.6627,"Gaultheria nubicola"
167.5286,-45.6635,"Gaultheria nubicola"
167.5287,-45.6664,"Gaultheria nubicola"
167.5276,-45.6691,"Gaultheria nubicola"
167.5079,-45.6795,"Gaultheria nubicola"
167.5249,-45.6867,"Gaultheria nubicola"
167.5274,-45.6636,"Gaultheria nubicola"
167.5145,-45.6772,"Gaultheria nubicola"
167.5272,-45.6677,"Gaultheria nubicola"
167.5304,-45.6405,"Gaultheria nubicola"
167.5284,-45.6627,"Gaultheria nubicola"
167.5278,-45.6586,"Gaultheria nubicola"
167.5268,-45.6598,"Gaultheria nubicola"
167.5079,-45.6783,"Gaultheria nubicola"
167.5085,-45.6797,"Gaultheria nubicola"
170.5717,-44.3117,"Gaultheria nubicola"
170.5456,-44.3852,"Gaultheria nubicola"
169.936,-44.6199,"Gaultheria nubicola"
172.733333,-42.441667,"Gaultheria nubicola"
167.4,-45.7454,"Gaultheria nubicola"
169.473,-45.5424,"Gaultheria nubicola"
167.712,-47.0474,"Gaultheria nubicola"
170.843,-43.1967,"Gaultheria nubicola"
170.581,-43.2113,"Gaultheria nubicola"
170.6811,-43.4922,"Gaultheria nubicola"
170.6552,-43.487,"Gaultheria nubicola"
170.6743,-43.4905,"Gaultheria nubicola"
170.6811,-43.4897,"Gaultheria nubicola"
170.654,-43.4903,"Gaultheria nubicola"
169.2,-45.333333,"Gaultheria nubicola"
171.1286,-43.1554,"Gaultheria nubicola"
171.1263,-43.1529,"Gaultheria nubicola"
169.9643,-43.8535,"Gaultheria nubicola"
169.9471,-43.9018,"Gaultheria nubicola"
170.6178,-43.6489,"Gaultheria nubicola"
169.9952,-43.8893,"Gaultheria nubicola"
169.9986,-43.8901,"Gaultheria nubicola"
170.6054,-43.6397,"Gaultheria nubicola"
169.9251,-44.0011,"Gaultheria nubicola"
169.9228,-44.001,"Gaultheria nubicola"
170.5796,-43.6247,"Gaultheria nubicola"
170.5885,-43.6355,"Gaultheria nubicola"
171.1218,-43.1644,"Gaultheria nubicola"
171.1332,-43.1373,"Gaultheria nubicola"
171.1217,-43.1661,"Gaultheria nubicola"
169.701,-45.585,"Gaultheria nubicola"
169.6347,-44.209,"Gaultheria nubicola"
169.5939,-44.303,"Gaultheria nubicola"
169.661,-44.2103,"Gaultheria nubicola"
171.165,-43.8538,"Gaultheria nubicola"
176.1934,-39.3493,"Gaultheria nubicola"
168.0543,-45.1047,"Gaultheria nubicola"
171.56,-42.9398,"Gaultheria nubicola"
171.09,-43.0769,"Gaultheria nubicola"
170.25,-43.583333,"Gaultheria nubicola"
