"lon","lat","species.name"
-78.88,-1.508611,"Geranium ecuadoriense"
-78.85,-1.48,"Geranium ecuadoriense"
-78.86583,-1.48333,"Geranium ecuadoriense"
-78.5,-2.18333,"Geranium ecuadoriense"
-78.92,-1.43,"Geranium ecuadoriense"
-78.87,-1.47,"Geranium ecuadoriense"
-78.8,-1.46666,"Geranium ecuadoriense"
-78.8,-1.466,"Geranium ecuadoriense"
-78.86666,-1.46666,"Geranium ecuadoriense"
-78.98333,-1.35,"Geranium ecuadoriense"
-78.81666,-1.5,"Geranium ecuadoriense"
-78.86666,-1.38333,"Geranium ecuadoriense"
-78.78,-1.47,"Geranium ecuadoriense"
-79,-1.42,"Geranium ecuadoriense"
-78.93,-1.5,"Geranium ecuadoriense"
-78.9,-1.43,"Geranium ecuadoriense"
-78.9,-1.433,"Geranium ecuadoriense"
-78.9,-1.43333,"Geranium ecuadoriense"
-78.92,-1.47,"Geranium ecuadoriense"
-78.916667,-1.466667,"Geranium ecuadoriense"
-78.91666,-1.46666,"Geranium ecuadoriense"
-78.916,-1.466,"Geranium ecuadoriense"
-78.25,-0.3,"Geranium ecuadoriense"
-78.783333,-1.466667,"Geranium ecuadoriense"
-78.6,-0.17,"Geranium ecuadoriense"
