"lon","lat","species.name"
18.702477,68.371332,"Gnaphalium supinum"
10.627771,61.179184,"Gnaphalium supinum"
18.758009,68.488984,"Gnaphalium supinum"
7.040564,62.414973,"Gnaphalium supinum"
8.654298,62.287192,"Gnaphalium supinum"
10.107799,61.461101,"Gnaphalium supinum"
7.155207,59.151762,"Gnaphalium supinum"
10.126097,61.462598,"Gnaphalium supinum"
10.096597,61.428101,"Gnaphalium supinum"
14.939459,64.803546,"Gnaphalium supinum"
18.644956,68.410194,"Gnaphalium supinum"
18.463424,68.553663,"Gnaphalium supinum"
8.754936,61.703856,"Gnaphalium supinum"
8.7966,61.422099,"Gnaphalium supinum"
19.021772,69.616011,"Gnaphalium supinum"
7.381753,60.62172,"Gnaphalium supinum"
15.581791,66.394432,"Gnaphalium supinum"
15.56086,66.38719,"Gnaphalium supinum"
12.578453,62.906512,"Gnaphalium supinum"
14.980773,64.79372,"Gnaphalium supinum"
14.957839,64.799186,"Gnaphalium supinum"
12.736997,62.740785,"Gnaphalium supinum"
18.266577,68.406402,"Gnaphalium supinum"
7.576553,62.480468,"Gnaphalium supinum"
15.303654,67.653051,"Gnaphalium supinum"
7.518554,60.600706,"Gnaphalium supinum"
14.633969,65.682169,"Gnaphalium supinum"
14.964397,64.807646,"Gnaphalium supinum"
14.91657,64.809038,"Gnaphalium supinum"
14.960183,64.796421,"Gnaphalium supinum"
16.736512,67.800863,"Gnaphalium supinum"
18.324554,68.39973,"Gnaphalium supinum"
8.826999,61.339101,"Gnaphalium supinum"
15.08601,65.774161,"Gnaphalium supinum"
16.76692,67.304101,"Gnaphalium supinum"
7.36517,62.434339,"Gnaphalium supinum"
16.7322,67.807352,"Gnaphalium supinum"
18.094738,67.594782,"Gnaphalium supinum"
15.699102,66.562706,"Gnaphalium supinum"
10.992693,62.487104,"Gnaphalium supinum"
8.899897,61.552201,"Gnaphalium supinum"
14.935327,64.79007,"Gnaphalium supinum"
12.93406,62.690319,"Gnaphalium supinum"
9.044274,61.769636,"Gnaphalium supinum"
6.103711,60.404738,"Gnaphalium supinum"
12.173933,62.100574,"Gnaphalium supinum"
8.797489,61.293622,"Gnaphalium supinum"
7.483038,60.608144,"Gnaphalium supinum"
7.264164,60.657374,"Gnaphalium supinum"
15.566043,67.600027,"Gnaphalium supinum"
14.921466,67.67405,"Gnaphalium supinum"
14.375245,65.079786,"Gnaphalium supinum"
18.448719,68.525599,"Gnaphalium supinum"
