"lon","lat","species.name"
7.085863,45.183793,"Androsace vitaliana"
6.22876,45.04756,"Androsace vitaliana"
6.70861,44.23733,"Androsace vitaliana"
6.67191,44.18351,"Androsace vitaliana"
5.31862,44.16032,"Androsace vitaliana"
7.120768,44.3904,"Androsace vitaliana"
6.40507,45.06265,"Androsace vitaliana"
0.11634,42.77485,"Androsace vitaliana"
6.98687,44.68935,"Androsace vitaliana"
6.72248,44.24028,"Androsace vitaliana"
0.13353,42.78525,"Androsace vitaliana"
6.40146,45.0641,"Androsace vitaliana"
0.02,42.6,"Androsace vitaliana"
13.745184,42.378479,"Androsace vitaliana"
5.80209,44.12053,"Androsace vitaliana"
0.14203,42.75534,"Androsace vitaliana"
7.04912,44.71082,"Androsace vitaliana"
6.71471,44.96634,"Androsace vitaliana"
6.70469,44.82746,"Androsace vitaliana"
-0.648422,42.777717,"Androsace vitaliana"
5.7972,44.68499,"Androsace vitaliana"
6.597977,44.319996,"Androsace vitaliana"
6.610645,44.962444,"Androsace vitaliana"
2.14921,42.42214,"Androsace vitaliana"
-1.08,40.07,"Androsace vitaliana"
-1.07,40.07,"Androsace vitaliana"
6.40158,45.06009,"Androsace vitaliana"
6.38414,45.05516,"Androsace vitaliana"
6.397133,45.049755,"Androsace vitaliana"
6.03596,44.92619,"Androsace vitaliana"
5.30241,44.15958,"Androsace vitaliana"
6.401111,45.060833,"Androsace vitaliana"
-0.842638,42.856814,"Androsace vitaliana"
6.48072,44.93241,"Androsace vitaliana"
0.09445,42.72533,"Androsace vitaliana"
-0.37,42.77,"Androsace vitaliana"
5.30138,44.16657,"Androsace vitaliana"
6.40298,45.0218,"Androsace vitaliana"
5.63872,44.73193,"Androsace vitaliana"
0.10503,42.89556,"Androsace vitaliana"
-5.19,43.02,"Androsace vitaliana"
-0.599,42.756,"Androsace vitaliana"
1.484,42.603,"Androsace vitaliana"
6.54122,45.16311,"Androsace vitaliana"
1.68,42.6,"Androsace vitaliana"
1.110084,42.616856,"Androsace vitaliana"
6.95453,44.65589,"Androsace vitaliana"
-0.07303,42.20285,"Androsace vitaliana"
1.716,42.55,"Androsace vitaliana"
-2.155,42.418,"Androsace vitaliana"
2.15,42.4,"Androsace vitaliana"
14.1,42.11,"Androsace vitaliana"
6.08333,44.03333,"Androsace vitaliana"
7.14444,45.20833,"Androsace vitaliana"
0,0,"Androsace vitaliana"
-4.393,43.034,"Androsace vitaliana"
-104.9619,39.73193,"Androsace vitaliana"
0.138,42.682,"Androsace vitaliana"
0.44,42.509998,"Androsace vitaliana"
-0.61,42.92,"Androsace vitaliana"
-0.647,42.784,"Androsace vitaliana"
0.38,42.58,"Androsace vitaliana"
0.4,42.56,"Androsace vitaliana"
-0.74,42.84,"Androsace vitaliana"
0.88,46.25,"Androsace vitaliana"
-4.73,43.02,"Androsace vitaliana"
-0.216,42.297,"Androsace vitaliana"
-4.76,43.02,"Androsace vitaliana"
-0.079,42.645,"Androsace vitaliana"
-0.01,42.64,"Androsace vitaliana"
-0.07,42.59,"Androsace vitaliana"
-0.84,42.851,"Androsace vitaliana"
2.26,42.36,"Androsace vitaliana"
-2.33,42.41,"Androsace vitaliana"
-0.46,42.72,"Androsace vitaliana"
-0.840897,42.857841,"Androsace vitaliana"
-4.81,43.200001,"Androsace vitaliana"
-4.4,43.04,"Androsace vitaliana"
-4.74,43.200001,"Androsace vitaliana"
-6.122048,38.19991,"Androsace vitaliana"
-0.5,42.79,"Androsace vitaliana"
-6.15,43,"Androsace vitaliana"
0.991,42.71,"Androsace vitaliana"
0.99,42.7,"Androsace vitaliana"
0.99,42.71,"Androsace vitaliana"
1.559,42.45,"Androsace vitaliana"
-0.839949,42.854954,"Androsace vitaliana"
-0.86,42.84,"Androsace vitaliana"
-0.564,42.719,"Androsace vitaliana"
-0.56,42.71,"Androsace vitaliana"
-0.57,42.709999,"Androsace vitaliana"
-0.56,42.7,"Androsace vitaliana"
6.410833,45.0625,"Androsace vitaliana"
6.61137,44.96285,"Androsace vitaliana"
-5.18,43.02,"Androsace vitaliana"
11.574722,46.5125,"Androsace vitaliana"
8.11611,46.1825,"Androsace vitaliana"
8.048,46.283,"Androsace vitaliana"
6.8,44.16333,"Androsace vitaliana"
6.9,45.25,"Androsace vitaliana"
12.7,47.1,"Androsace vitaliana"
7.746026,46.019338,"Androsace vitaliana"
2,46,"Androsace vitaliana"
6.23222,44.09083,"Androsace vitaliana"
5.20389,43.97806,"Androsace vitaliana"
12.07167,42.79583,"Androsace vitaliana"
2.44889,42.60333,"Androsace vitaliana"
0.15889,43.06083,"Androsace vitaliana"
6.32972,44.42375,"Androsace vitaliana"
7.03394,45.48203,"Androsace vitaliana"
6.957,44.40299,"Androsace vitaliana"
6.58068,44.41588,"Androsace vitaliana"
6.68855,44.14198,"Androsace vitaliana"
6.8255,44.31752,"Androsace vitaliana"
6.56368,44.14612,"Androsace vitaliana"
6.11836,45.15075,"Androsace vitaliana"
6.98232,44.76264,"Androsace vitaliana"
6.71796,44.59157,"Androsace vitaliana"
6.22472,44.78728,"Androsace vitaliana"
6.72986,44.77143,"Androsace vitaliana"
6.73584,44.86136,"Androsace vitaliana"
6.6036,44.7756,"Androsace vitaliana"
6.86228,44.85703,"Androsace vitaliana"
6.78435,45.58087,"Androsace vitaliana"
6.3672,45.05339,"Androsace vitaliana"
6.70614,44.41172,"Androsace vitaliana"
6.83768,44.49734,"Androsace vitaliana"
6.97596,44.67272,"Androsace vitaliana"
5.80971,44.07797,"Androsace vitaliana"
6.575,44.32595,"Androsace vitaliana"
6.55805,44.0562,"Androsace vitaliana"
6.45521,44.41989,"Androsace vitaliana"
6.8438,44.58726,"Androsace vitaliana"
6.96962,44.58281,"Androsace vitaliana"
6.71204,44.50165,"Androsace vitaliana"
