"lon","lat","species.name"
168.815819,-45.067614,"Hectorella caespitosa"
167.5269,-45.65999,"Hectorella caespitosa"
168.948797,-44.873268,"Hectorella caespitosa"
168.923721,-44.958045,"Hectorella caespitosa"
170.073048,-43.715554,"Hectorella caespitosa"
168.531586,-45.321868,"Hectorella caespitosa"
168.294703,-44.451837,"Hectorella caespitosa"
169.411712,-44.99933,"Hectorella caespitosa"
167.408338,-45.747833,"Hectorella caespitosa"
167.435009,-45.065344,"Hectorella caespitosa"
169.164476,-45.365949,"Hectorella caespitosa"
169.17214,-45.390861,"Hectorella caespitosa"
167.405237,-45.771843,"Hectorella caespitosa"
167.424431,-45.789809,"Hectorella caespitosa"
167.402844,-45.767797,"Hectorella caespitosa"
171.539969,-42.943597,"Hectorella caespitosa"
168.447859,-45.298865,"Hectorella caespitosa"
169.452782,-44.072294,"Hectorella caespitosa"
169.075343,-45.20768,"Hectorella caespitosa"
169.197457,-45.38361,"Hectorella caespitosa"
168.856087,-45.121385,"Hectorella caespitosa"
169.209366,-45.340804,"Hectorella caespitosa"
168.854027,-45.119871,"Hectorella caespitosa"
169.719656,-43.959465,"Hectorella caespitosa"
170.116667,-45.383333,"Hectorella caespitosa"
169.211426,-44.848971,"Hectorella caespitosa"
169.202142,-45.317448,"Hectorella caespitosa"
168.76545,-44.541058,"Hectorella caespitosa"
169.217691,-44.853566,"Hectorella caespitosa"
169.191685,-45.38979,"Hectorella caespitosa"
168.817635,-45.062549,"Hectorella caespitosa"
167.5265,-45.6596,"Hectorella caespitosa"
167.5275,-45.6587,"Hectorella caespitosa"
167.5279,-45.6629,"Hectorella caespitosa"
167.522,-45.6885,"Hectorella caespitosa"
167.5287,-45.6664,"Hectorella caespitosa"
167.5282,-45.647,"Hectorella caespitosa"
167.5201,-45.6867,"Hectorella caespitosa"
167.5224,-45.6876,"Hectorella caespitosa"
167.5135,-45.6773,"Hectorella caespitosa"
167.5269,-45.6668,"Hectorella caespitosa"
167.5079,-45.6792,"Hectorella caespitosa"
167.5268,-45.6598,"Hectorella caespitosa"
167.5196,-45.6869,"Hectorella caespitosa"
167.5275,-45.6658,"Hectorella caespitosa"
167.5284,-45.6674,"Hectorella caespitosa"
167.508,-45.6781,"Hectorella caespitosa"
167.5288,-45.6633,"Hectorella caespitosa"
167.5239,-45.6872,"Hectorella caespitosa"
167.5079,-45.6783,"Hectorella caespitosa"
167.5287,-45.6588,"Hectorella caespitosa"
167.5274,-45.6636,"Hectorella caespitosa"
167.5139,-45.6686,"Hectorella caespitosa"
167.5285,-45.647,"Hectorella caespitosa"
167.5277,-45.6505,"Hectorella caespitosa"
167.5274,-45.6662,"Hectorella caespitosa"
167.5101,-45.677,"Hectorella caespitosa"
167.5085,-45.6797,"Hectorella caespitosa"
167.5082,-45.6791,"Hectorella caespitosa"
167.5085,-45.6789,"Hectorella caespitosa"
167.527,-45.6689,"Hectorella caespitosa"
167.509,-45.6777,"Hectorella caespitosa"
167.5284,-45.6627,"Hectorella caespitosa"
167.5279,-45.6674,"Hectorella caespitosa"
167.5286,-45.6666,"Hectorella caespitosa"
167.5082,-45.6797,"Hectorella caespitosa"
167.5267,-45.6589,"Hectorella caespitosa"
167.5286,-45.6635,"Hectorella caespitosa"
167.5242,-45.6861,"Hectorella caespitosa"
167.5138,-45.6772,"Hectorella caespitosa"
167.5273,-45.666,"Hectorella caespitosa"
167.5262,-45.6667,"Hectorella caespitosa"
167.5088,-45.6776,"Hectorella caespitosa"
167.52,-45.6872,"Hectorella caespitosa"
167.5211,-45.6882,"Hectorella caespitosa"
167.5248,-45.6861,"Hectorella caespitosa"
167.5143,-45.6772,"Hectorella caespitosa"
167.5272,-45.6677,"Hectorella caespitosa"
167.5197,-45.6867,"Hectorella caespitosa"
167.5276,-45.6691,"Hectorella caespitosa"
167.5298,-45.6409,"Hectorella caespitosa"
167.5274,-45.6501,"Hectorella caespitosa"
167.5079,-45.6795,"Hectorella caespitosa"
167.5282,-45.6627,"Hectorella caespitosa"
167.5228,-45.687,"Hectorella caespitosa"
167.5249,-45.6867,"Hectorella caespitosa"
167.5268,-45.6494,"Hectorella caespitosa"
167.528,-45.6635,"Hectorella caespitosa"
167.5145,-45.6772,"Hectorella caespitosa"
167.5282,-45.6471,"Hectorella caespitosa"
167.5272,-45.6666,"Hectorella caespitosa"
