"lon","lat","species.name"
-70.419444,-51.910833,"Hypochaeris incana"
-72.06756,-47.73192,"Hypochaeris incana"
-72.23098,-47.73932,"Hypochaeris incana"
-72.11786,-47.92071,"Hypochaeris incana"
-72.19,-51.34,"Hypochaeris incana"
-71.79,-51.03,"Hypochaeris incana"
-71.9,-51.7,"Hypochaeris incana"
-71.26,-42.85,"Hypochaeris incana"
-71.15,-42.9,"Hypochaeris incana"
-72.09,-49.61,"Hypochaeris incana"
-72.22,-50.32,"Hypochaeris incana"
-70.89,-47.22,"Hypochaeris incana"
-70.99,-44.13,"Hypochaeris incana"
-68.56,-54.84,"Hypochaeris incana"
-67.65,-53.87,"Hypochaeris incana"
-70.73,-46.26,"Hypochaeris incana"
-71.22,-49.12,"Hypochaeris incana"
-67.65,-54.12,"Hypochaeris incana"
-70.72,-38.61,"Hypochaeris incana"
-68.38,-52.95,"Hypochaeris incana"
-70.71,-38.61,"Hypochaeris incana"
-70.89,-46.57,"Hypochaeris incana"
-70.61,-51.87,"Hypochaeris incana"
-66.87,-54.94,"Hypochaeris incana"
-70.89,-42.22,"Hypochaeris incana"
-70.54,-44.08,"Hypochaeris incana"
-70.62,-51.87,"Hypochaeris incana"
-71.38,-49.31,"Hypochaeris incana"
-71.45,-49.58,"Hypochaeris incana"
-72.13,-50.05,"Hypochaeris incana"
-71.48,-51.9,"Hypochaeris incana"
-71.1,-42.75,"Hypochaeris incana"
-71.06,-51.97,"Hypochaeris incana"
-71.48,-50.8,"Hypochaeris incana"
-70.21,-51.76,"Hypochaeris incana"
-71.24,-42.95,"Hypochaeris incana"
-70.98,-44.13,"Hypochaeris incana"
-69.6,-53.34,"Hypochaeris incana"
-68.7,-53.27,"Hypochaeris incana"
-69.34,-52.9,"Hypochaeris incana"
-71.17,-52.8,"Hypochaeris incana"
-69.81,-52.46,"Hypochaeris incana"
-69.55,-52.15,"Hypochaeris incana"
-70.95,-52.68,"Hypochaeris incana"
-72.41,-51.24,"Hypochaeris incana"
-70.93,-52.72,"Hypochaeris incana"
-69.77,-52.08,"Hypochaeris incana"
-72.62,-51.56,"Hypochaeris incana"
-69.33,-52.9,"Hypochaeris incana"
-70.56,-52.1,"Hypochaeris incana"
-71,-52.55,"Hypochaeris incana"
-72.98,-51.18,"Hypochaeris incana"
-72.42,-51.24,"Hypochaeris incana"
-70.95,-53.61,"Hypochaeris incana"
-69.82,-52.47,"Hypochaeris incana"
-70.94,-52.72,"Hypochaeris incana"
-69.76,-52.08,"Hypochaeris incana"
-69.79,-53.08,"Hypochaeris incana"
-71.16,-52.8,"Hypochaeris incana"
-71.47861,-50.82305,"Hypochaeris incana"
-71.9918,-47.4071,"Hypochaeris incana"
-71.1651,-42.3936,"Hypochaeris incana"
-71.14,-41.3,"Hypochaeris incana"
-72.95,-49.32,"Hypochaeris incana"
-70.83,-53,"Hypochaeris incana"
-67.95,-53.75,"Hypochaeris incana"
-70.7875,-52.630556,"Hypochaeris incana"
0,0,"Hypochaeris incana"
-67.73333,-53.76666,"Hypochaeris incana"
-67.42138,-54.87166,"Hypochaeris incana"
-67.438889,-46.937778,"Hypochaeris incana"
-64.9208,-35.3869,"Hypochaeris incana"
-71,-43,"Hypochaeris incana"
-71.55,-41.43,"Hypochaeris incana"
-71.05,-51.97,"Hypochaeris incana"
-71.12,-48.22,"Hypochaeris incana"
-70.62,-51.38,"Hypochaeris incana"
-67.93,-54.04,"Hypochaeris incana"
-72.09,-49.76,"Hypochaeris incana"
-71.47,-51.9,"Hypochaeris incana"
-71.17,-51.75,"Hypochaeris incana"
-71.44,-40.76,"Hypochaeris incana"
-68.14,-47.22,"Hypochaeris incana"
-71.47,-51.03,"Hypochaeris incana"
-70.88,-46.57,"Hypochaeris incana"
-72.999438,-50.125027,"Hypochaeris incana"
-71.09,-39.11,"Hypochaeris incana"
-70.24,-44.72,"Hypochaeris incana"
-68.17,-54.82,"Hypochaeris incana"
-71.78,-51.03,"Hypochaeris incana"
-71.37,-49.3,"Hypochaeris incana"
-69.47,-51.12,"Hypochaeris incana"
-70.38,-45.92,"Hypochaeris incana"
-72.13,-50.77,"Hypochaeris incana"
-70.61,-40.97,"Hypochaeris incana"
-70.24,-43.21,"Hypochaeris incana"
-70.91,-43.81,"Hypochaeris incana"
-70.53,-44.07,"Hypochaeris incana"
-71.23,-51.99,"Hypochaeris incana"
-71.49,-43.02,"Hypochaeris incana"
-72.7,-49.75,"Hypochaeris incana"
-71.25,-42.83,"Hypochaeris incana"
-70.88,-47.2,"Hypochaeris incana"
-70.72,-46.25,"Hypochaeris incana"
-69.77,-44.55,"Hypochaeris incana"
-71.9,-50.28,"Hypochaeris incana"
-72.83,-51.17,"Hypochaeris incana"
-70.4,-38.88,"Hypochaeris incana"
-67.08,-46.05,"Hypochaeris incana"
-71.33,-51.73,"Hypochaeris incana"
-71.32,-51.75,"Hypochaeris incana"
-72.08,-51.53,"Hypochaeris incana"
-72.1,-49.62,"Hypochaeris incana"
-71.43,-49.57,"Hypochaeris incana"
-70.43,-44.4,"Hypochaeris incana"
-70.33,-44.2,"Hypochaeris incana"
-71.57,-51.4,"Hypochaeris incana"
-70.71,-43.53,"Hypochaeris incana"
-70.6,-44.05,"Hypochaeris incana"
-69.61,-49.96,"Hypochaeris incana"
-70.12,-44.82,"Hypochaeris incana"
-71.4,-51.4,"Hypochaeris incana"
-72.83333,-51.16666,"Hypochaeris incana"
-72.18,-51.33,"Hypochaeris incana"
-71.67,-51.77,"Hypochaeris incana"
-71.73,-46.74,"Hypochaeris incana"
-70.67,-43.52,"Hypochaeris incana"
-70.64,-40.93,"Hypochaeris incana"
-72.1,-51.45,"Hypochaeris incana"
-72.18,-51.62,"Hypochaeris incana"
-71.25,-42.87,"Hypochaeris incana"
-70.72,-38.6,"Hypochaeris incana"
-73,-51.083333,"Hypochaeris incana"
-70.8906,-35.8156,"Hypochaeris incana"
