"lon","lat","species.name"
-73.59075,5.403056,"Hypochaeris sessiliflora"
-72.700528,7.343056,"Hypochaeris sessiliflora"
-73.133,5.85625,"Hypochaeris sessiliflora"
-76.708611,2.000833,"Hypochaeris sessiliflora"
-72.264717,6.3949,"Hypochaeris sessiliflora"
-72.30242,6.34935,"Hypochaeris sessiliflora"
-72.28122,6.363,"Hypochaeris sessiliflora"
-72.34501,6.49066,"Hypochaeris sessiliflora"
-72.271917,6.415733,"Hypochaeris sessiliflora"
-72.26485,6.394883,"Hypochaeris sessiliflora"
-72.27377,6.45468,"Hypochaeris sessiliflora"
-72.2647,6.394867,"Hypochaeris sessiliflora"
-78.254444,-0.273389,"Hypochaeris sessiliflora"
-78.200972,-0.492305,"Hypochaeris sessiliflora"
-78.248133,-7.03645,"Hypochaeris sessiliflora"
-78.211667,-0.102222,"Hypochaeris sessiliflora"
-72.864361,7.374906,"Hypochaeris sessiliflora"
-77.4212,0.85655,"Hypochaeris sessiliflora"
-78.88,-1.508611,"Hypochaeris sessiliflora"
-79.21833,-2.8025,"Hypochaeris sessiliflora"
-77.8333,0.98333,"Hypochaeris sessiliflora"
-73.167778,5.491667,"Hypochaeris sessiliflora"
-75.65,-10.34305,"Hypochaeris sessiliflora"
-77.696342,0.591878,"Hypochaeris sessiliflora"
-77.881226,0.668263,"Hypochaeris sessiliflora"
-77.889719,0.631787,"Hypochaeris sessiliflora"
-79.223333,-2.782222,"Hypochaeris sessiliflora"
-72.885878,7.369683,"Hypochaeris sessiliflora"
-79.2085,-2.73431,"Hypochaeris sessiliflora"
-79.205,-2.785833,"Hypochaeris sessiliflora"
-78.7,-2.133333,"Hypochaeris sessiliflora"
-72.885,7.344167,"Hypochaeris sessiliflora"
-72.885,7.34417,"Hypochaeris sessiliflora"
-78.7258,-2.9278,"Hypochaeris sessiliflora"
-74.150253,5.026505,"Hypochaeris sessiliflora"
-74.1503,5.0265,"Hypochaeris sessiliflora"
-73.826576,4.775654,"Hypochaeris sessiliflora"
-73.8266,4.77565,"Hypochaeris sessiliflora"
-79.2611,-2.9017,"Hypochaeris sessiliflora"
-79.26111,-2.90166,"Hypochaeris sessiliflora"
-79.23583,-2.77722,"Hypochaeris sessiliflora"
-79.24,-2.77319,"Hypochaeris sessiliflora"
-78.58333,-0.36666,"Hypochaeris sessiliflora"
-79.32361,-3.7175,"Hypochaeris sessiliflora"
-78.81666,-1.48333,"Hypochaeris sessiliflora"
-78.31666,-1.13333,"Hypochaeris sessiliflora"
-78.32611,-1.19444,"Hypochaeris sessiliflora"
-78.29027,-1.23055,"Hypochaeris sessiliflora"
-78.29583,-1.22972,"Hypochaeris sessiliflora"
-77.95,0.11666,"Hypochaeris sessiliflora"
-78.22,-0.53,"Hypochaeris sessiliflora"
-78.21666,-0.53333,"Hypochaeris sessiliflora"
-78.28333,-1.15,"Hypochaeris sessiliflora"
-78.36666,-1.13333,"Hypochaeris sessiliflora"
-73.818406,4.771861,"Hypochaeris sessiliflora"
-73.8169,4.77062,"Hypochaeris sessiliflora"
-75.7,5.109444,"Hypochaeris sessiliflora"
-78.333333,0.416667,"Hypochaeris sessiliflora"
-65.116667,-22.25,"Hypochaeris sessiliflora"
-78.48333,0.1,"Hypochaeris sessiliflora"
-79.21666,-2.76666,"Hypochaeris sessiliflora"
-78.25,-0.33333,"Hypochaeris sessiliflora"
-73.07298,5.903346,"Hypochaeris sessiliflora"
-73.10406,5.9406,"Hypochaeris sessiliflora"
-79.32166,-3.71944,"Hypochaeris sessiliflora"
-78.51666,-0.58333,"Hypochaeris sessiliflora"
-77.01666,-0.73333,"Hypochaeris sessiliflora"
-72.883331,10.4,"Hypochaeris sessiliflora"
-78.96666,-1.38333,"Hypochaeris sessiliflora"
-78.53333,-0.66666,"Hypochaeris sessiliflora"
-78.36666,0.3,"Hypochaeris sessiliflora"
-78.98333,-1.35,"Hypochaeris sessiliflora"
-78.4,0.51666,"Hypochaeris sessiliflora"
-78.81666,-1.4,"Hypochaeris sessiliflora"
-78.96666,-1.45,"Hypochaeris sessiliflora"
-78.76666,-1.46666,"Hypochaeris sessiliflora"
-78.86666,-1.46666,"Hypochaeris sessiliflora"
-78.65,-1.66666,"Hypochaeris sessiliflora"
-78.81666,-1.5,"Hypochaeris sessiliflora"
-78.86666,-1.38333,"Hypochaeris sessiliflora"
-78.08333,0.15,"Hypochaeris sessiliflora"
-78.08333,-0.46666,"Hypochaeris sessiliflora"
-77.85,-0.8333,"Hypochaeris sessiliflora"
-79.08333,-3.25,"Hypochaeris sessiliflora"
-78.275,-0.25,"Hypochaeris sessiliflora"
-77.88333,0.7,"Hypochaeris sessiliflora"
-73.9992,5.2196,"Hypochaeris sessiliflora"
-77.33333,1.25,"Hypochaeris sessiliflora"
-74.035234,4.563762,"Hypochaeris sessiliflora"
-79.16666,-3.6,"Hypochaeris sessiliflora"
-76.1,6.466667,"Hypochaeris sessiliflora"
-79.58333,-3.95,"Hypochaeris sessiliflora"
-73.75,4.53333,"Hypochaeris sessiliflora"
-78.37,-0.63,"Hypochaeris sessiliflora"
-73.950777,5.197629,"Hypochaeris sessiliflora"
-78.46666,-0.61666,"Hypochaeris sessiliflora"
-78.55,-0.63333,"Hypochaeris sessiliflora"
-72.11666,-13.3,"Hypochaeris sessiliflora"
-78.38333,-1.48333,"Hypochaeris sessiliflora"
-73.850378,4.752752,"Hypochaeris sessiliflora"
-78.17,-0.25,"Hypochaeris sessiliflora"
-77.353106,1.219819,"Hypochaeris sessiliflora"
-78.57,-0.08,"Hypochaeris sessiliflora"
-79.15,-2.83,"Hypochaeris sessiliflora"
-78.5,0.08333,"Hypochaeris sessiliflora"
-78.5,0.08,"Hypochaeris sessiliflora"
-74.12113,4.314381,"Hypochaeris sessiliflora"
-78.33333,0.58333,"Hypochaeris sessiliflora"
-77.83333,-1.5,"Hypochaeris sessiliflora"
-78.2,-0.25,"Hypochaeris sessiliflora"
-77.95,0.81666,"Hypochaeris sessiliflora"
-77.867,0.749,"Hypochaeris sessiliflora"
-78.333333,-0.333333,"Hypochaeris sessiliflora"
-78.25,-0.333333,"Hypochaeris sessiliflora"
-78,-1.75,"Hypochaeris sessiliflora"
-74.007854,5.228401,"Hypochaeris sessiliflora"
-75.360556,4.835278,"Hypochaeris sessiliflora"
-73.763065,4.590119,"Hypochaeris sessiliflora"
-75.3144,4.9375,"Hypochaeris sessiliflora"
-75.3606,4.8353,"Hypochaeris sessiliflora"
-73.760653,4.590114,"Hypochaeris sessiliflora"
-74.2085,4.2865,"Hypochaeris sessiliflora"
-73.983276,4.558837,"Hypochaeris sessiliflora"
-73.9833,4.55884,"Hypochaeris sessiliflora"
-77.870492,0.951733,"Hypochaeris sessiliflora"
-74.274788,4.693457,"Hypochaeris sessiliflora"
-77.96666,0.78333,"Hypochaeris sessiliflora"
-78.61666,-0.35,"Hypochaeris sessiliflora"
-78.62,-0.35,"Hypochaeris sessiliflora"
-78.91666,-0.36666,"Hypochaeris sessiliflora"
-74.0026,5.21452,"Hypochaeris sessiliflora"
-74.002563,5.214524,"Hypochaeris sessiliflora"
-77.3463,1.22701,"Hypochaeris sessiliflora"
-78.149444,-6.945555,"Hypochaeris sessiliflora"
-78.583333,-6.916667,"Hypochaeris sessiliflora"
-74.2314,4.1826,"Hypochaeris sessiliflora"
