"lon","lat","species.name"
90.281333,27.712733,"Juncus thomsonii"
90.306533,27.725933,"Juncus thomsonii"
90.288733,27.71795,"Juncus thomsonii"
87.8911,27.6658,"Juncus thomsonii"
82.16,29.357222,"Juncus thomsonii"
100.2719,29.5169,"Juncus thomsonii"
101.387,30.025,"Juncus thomsonii"
101.3875,30.025,"Juncus thomsonii"
100.272,29.5169,"Juncus thomsonii"
101.499,29.3342,"Juncus thomsonii"
101.4994,29.3342,"Juncus thomsonii"
101.8075,30.0792,"Juncus thomsonii"
101.808,30.0792,"Juncus thomsonii"
86.617778,27.821667,"Juncus thomsonii"
86.727778,27.8675,"Juncus thomsonii"
98.0539,31.3447,"Juncus thomsonii"
98.4517,31.6447,"Juncus thomsonii"
72.6,35.34,"Juncus thomsonii"
76.83,34.46,"Juncus thomsonii"
76.84,34.46,"Juncus thomsonii"
76.82,34.44,"Juncus thomsonii"
77.61,34.22,"Juncus thomsonii"
78.36,32.98,"Juncus thomsonii"
78.14,32.53,"Juncus thomsonii"
78.41,32.87,"Juncus thomsonii"
78.26,33.34,"Juncus thomsonii"
78.3,33.32,"Juncus thomsonii"
78.34,32.72,"Juncus thomsonii"
74.8,36.98,"Juncus thomsonii"
78.15,32.84,"Juncus thomsonii"
78.38,32.98,"Juncus thomsonii"
78.27,33.37,"Juncus thomsonii"
78.38,32.74,"Juncus thomsonii"
78.34,32.98,"Juncus thomsonii"
78.31,33.31,"Juncus thomsonii"
78.27,33.38,"Juncus thomsonii"
78.3,33.22,"Juncus thomsonii"
78.33,32.72,"Juncus thomsonii"
78.36,32.7,"Juncus thomsonii"
78.38,32.87,"Juncus thomsonii"
78.1,32.83,"Juncus thomsonii"
96.7622,29.5025,"Juncus thomsonii"
78.28,33.08,"Juncus thomsonii"
78.23,32.76,"Juncus thomsonii"
77.84,32.73,"Juncus thomsonii"
77.86,32.7,"Juncus thomsonii"
77.53,32.89,"Juncus thomsonii"
77.68,32.9,"Juncus thomsonii"
75.4,35.03,"Juncus thomsonii"
78.41,33.05,"Juncus thomsonii"
77.9,33.09,"Juncus thomsonii"
78.22,32.78,"Juncus thomsonii"
78.46,33.27,"Juncus thomsonii"
78.03,32.95,"Juncus thomsonii"
78.37,33.24,"Juncus thomsonii"
78.26,32.75,"Juncus thomsonii"
