"lon","lat","species.name"
-7.76562,40.23886,"Jurinea humilis"
-0.6,38.72,"Jurinea humilis"
-0.59,38.71,"Jurinea humilis"
-0.59,38.72,"Jurinea humilis"
-0.6,38.71,"Jurinea humilis"
-0.57,38.71,"Jurinea humilis"
5.81946,43.34114,"Jurinea humilis"
-3.50149,37.07972,"Jurinea humilis"
-2.554274,42.719979,"Jurinea humilis"
-5.999392,42.9491749990591,"Jurinea humilis"
-1.170545,42.693924,"Jurinea humilis"
-0.55,38.73,"Jurinea humilis"
-0.5,38.75,"Jurinea humilis"
-0.53,38.75,"Jurinea humilis"
-0.96,39.43,"Jurinea humilis"
3.39623,43.94479,"Jurinea humilis"
-0.94,39.43,"Jurinea humilis"
3.55631,44.41846,"Jurinea humilis"
-0.92,39.54,"Jurinea humilis"
-0.49,38.76,"Jurinea humilis"
-1.08,39.58,"Jurinea humilis"
-1.14,39.63,"Jurinea humilis"
-1.16,39.65,"Jurinea humilis"
-1.07,39.56,"Jurinea humilis"
-1.09,39.61,"Jurinea humilis"
-1.855,39.452,"Jurinea humilis"
-1.14,39.64,"Jurinea humilis"
-1.14,39.65,"Jurinea humilis"
-1.08,39.52,"Jurinea humilis"
-1.09,39.62,"Jurinea humilis"
-1.08,39.54,"Jurinea humilis"
-1.1,39.59,"Jurinea humilis"
-7.85,31.19,"Jurinea humilis"
-1.08,39.51,"Jurinea humilis"
-1.07,39.52,"Jurinea humilis"
-1.12,39.64,"Jurinea humilis"
-1.07,39.57,"Jurinea humilis"
-1.13,39.64,"Jurinea humilis"
-1.03,39.59,"Jurinea humilis"
-1.09,39.57,"Jurinea humilis"
-1.1,39.58,"Jurinea humilis"
-1.08,39.57,"Jurinea humilis"
-1.08,39.53,"Jurinea humilis"
-1.09,39.58,"Jurinea humilis"
-6.46669717078125,42.3695565066181,"Jurinea humilis"
-0.94,38.91,"Jurinea humilis"
-0.93754,38.9185,"Jurinea humilis"
-0.76,38.61,"Jurinea humilis"
-0.93,38.99,"Jurinea humilis"
-7.64808,40.23755,"Jurinea humilis"
-0.92,38.98,"Jurinea humilis"
-0.92,38.99,"Jurinea humilis"
-3.99,40.77,"Jurinea humilis"
-4.90021534975557,43.1034333872641,"Jurinea humilis"
3.110622,44.232853,"Jurinea humilis"
-0.91,39.09,"Jurinea humilis"
-0.58,38.74,"Jurinea humilis"
-1.41,39.51,"Jurinea humilis"
-1.43,39.55,"Jurinea humilis"
-3.4,37.113,"Jurinea humilis"
-3.36,37.08,"Jurinea humilis"
-1.49,39.5,"Jurinea humilis"
-2.42,38.68,"Jurinea humilis"
-7.52861,40.32618,"Jurinea humilis"
-1.35,40.07,"Jurinea humilis"
-1.35,40.08,"Jurinea humilis"
-0.56,38.65,"Jurinea humilis"
-1.34,40.07,"Jurinea humilis"
-1.34,40.06,"Jurinea humilis"
-1.32,40.06,"Jurinea humilis"
-0.54,38.66,"Jurinea humilis"
5.33798,43.39161,"Jurinea humilis"
-0.55,38.72,"Jurinea humilis"
-0.54,38.72,"Jurinea humilis"
-1.34,40.08,"Jurinea humilis"
-0.57,38.64,"Jurinea humilis"
-1.28,40.02,"Jurinea humilis"
-1.32,40.07,"Jurinea humilis"
-1.22,40.08,"Jurinea humilis"
-0.55,38.74,"Jurinea humilis"
-0.6,38.7,"Jurinea humilis"
-2.347,42.635,"Jurinea humilis"
-0.53,38.59,"Jurinea humilis"
-0.53,38.6,"Jurinea humilis"
-0.9,39.42,"Jurinea humilis"
-0.25,38.65,"Jurinea humilis"
-0.69,38.66,"Jurinea humilis"
-0.36,40.17,"Jurinea humilis"
