"lon","lat","species.name"
-4.85551,36.84892,"Koeleria crassipes"
-4.85585,36.84233,"Koeleria crassipes"
-6.52746,41.93035,"Koeleria crassipes"
-3.948,36.885,"Koeleria crassipes"
-4.309,36.99,"Koeleria crassipes"
-6.77163,41.84529,"Koeleria crassipes"
-6.78401,41.48528,"Koeleria crassipes"
-7.98853,41.0518,"Koeleria crassipes"
-4.834,36.838,"Koeleria crassipes"
-4.83941,36.83517,"Koeleria crassipes"
-4.845,36.829,"Koeleria crassipes"
-6.77475,41.75529,"Koeleria crassipes"
-7.52861,40.32618,"Koeleria crassipes"
-9.06,39.18,"Koeleria crassipes"
-5.087,36.663,"Koeleria crassipes"
-6.89495,41.75756,"Koeleria crassipes"
-5.064,36.636,"Koeleria crassipes"
-5.115,36.879,"Koeleria crassipes"
-8.10994,40.87264,"Koeleria crassipes"
-5.0722,36.6075,"Koeleria crassipes"
-3.36,37.08,"Koeleria crassipes"
-8.02173,42.88747,"Koeleria crassipes"
-5.169,40.248,"Koeleria crassipes"
-7,30,"Koeleria crassipes"
-3.65,40.86,"Koeleria crassipes"
-4.30419,36.99495,"Koeleria crassipes"
-7.39,31.29,"Koeleria crassipes"
-5.76,42.83,"Koeleria crassipes"
-3.996492,40.77936,"Koeleria crassipes"
-4.8,40.31,"Koeleria crassipes"
-5.03,40.63,"Koeleria crassipes"
-1.804,41.685,"Koeleria crassipes"
-4.27157,41.92982,"Koeleria crassipes"
-4.26,41.93,"Koeleria crassipes"
-3.95,40.84,"Koeleria crassipes"
-4.73,42.91,"Koeleria crassipes"
-3.82,40.97,"Koeleria crassipes"
-2.92,37.29,"Koeleria crassipes"
-4.74156,42.91533,"Koeleria crassipes"
-2.86,37.33,"Koeleria crassipes"
-6.53508,42.26255,"Koeleria crassipes"
-7.8512,31.1877,"Koeleria crassipes"
-6.60804,42.30257,"Koeleria crassipes"
-1.82,41.72,"Koeleria crassipes"
-2.79265,37.226011,"Koeleria crassipes"
-6.4645,42.316,"Koeleria crassipes"
-5.54808,42.85705,"Koeleria crassipes"
-2.601849,37.188285,"Koeleria crassipes"
-6.73941,42.30626,"Koeleria crassipes"
-6.592,42.288,"Koeleria crassipes"
-5.075,36.654,"Koeleria crassipes"
-6.314,42.263,"Koeleria crassipes"
-6.593,42.27,"Koeleria crassipes"
-1.967,40.534,"Koeleria crassipes"
-6.582,42.251,"Koeleria crassipes"
-2.704872,37.249,"Koeleria crassipes"
-5.098,36.654,"Koeleria crassipes"
-2.723903,37.231144,"Koeleria crassipes"
-5.063,36.627,"Koeleria crassipes"
-2.639627,37.299189,"Koeleria crassipes"
-2.848556,37.367976,"Koeleria crassipes"
-6.665,42.298,"Koeleria crassipes"
-6.737,42.309,"Koeleria crassipes"
-2.791564,37.239495,"Koeleria crassipes"
-2.856126,37.377739,"Koeleria crassipes"
-4.17,34.07,"Koeleria crassipes"
-6.458,42.312,"Koeleria crassipes"
-3.956915,36.903395,"Koeleria crassipes"
-3.839124,36.867606,"Koeleria crassipes"
-3.965024,36.890457,"Koeleria crassipes"
-6.629,42.279,"Koeleria crassipes"
-1.8,41.73,"Koeleria crassipes"
-3.668,36.923,"Koeleria crassipes"
-6.75,42.11,"Koeleria crassipes"
-6.532,42.268,"Koeleria crassipes"
-6.759,42.39,"Koeleria crassipes"
-6.495,42.304,"Koeleria crassipes"
-5.63823,43.00521,"Koeleria crassipes"
-3.066396,37.10008,"Koeleria crassipes"
-3.256928,37.024741,"Koeleria crassipes"
-3.155834,37.052158,"Koeleria crassipes"
-3.161895,37.115628,"Koeleria crassipes"
-3.004197,37.121668,"Koeleria crassipes"
-3.083282,37.104747,"Koeleria crassipes"
-3.414306,37.118684,"Koeleria crassipes"
-3.054943,37.103961,"Koeleria crassipes"
-3.206154,37.232707,"Koeleria crassipes"
-7.86956,41.05069,"Koeleria crassipes"
-3.286204,37.2107,"Koeleria crassipes"
-3.081282,37.086594,"Koeleria crassipes"
-3.479668,37.016433,"Koeleria crassipes"
-2.977623,37.073079,"Koeleria crassipes"
-8.02,42.849998,"Koeleria crassipes"
-8.02,42.84,"Koeleria crassipes"
-2.806833,37.084225,"Koeleria crassipes"
-7.27715,40.95328,"Koeleria crassipes"
-3.249711,37.052457,"Koeleria crassipes"
-2.865343,37.026345,"Koeleria crassipes"
-3.445302,37.085408,"Koeleria crassipes"
-3.416402,37.117189,"Koeleria crassipes"
-3.040019,37.058518,"Koeleria crassipes"
-3.274119,37.028182,"Koeleria crassipes"
-2.7,37.919998,"Koeleria crassipes"
-2.72,37.91,"Koeleria crassipes"
-1.791,41.739,"Koeleria crassipes"
-1.792,41.73,"Koeleria crassipes"
-3.251604,37.142406,"Koeleria crassipes"
-1.827,41.785,"Koeleria crassipes"
-6.109,42.781,"Koeleria crassipes"
-5.75,42.73,"Koeleria crassipes"
-5.007,43.043,"Koeleria crassipes"
-7.8547,31.2018,"Koeleria crassipes"
-4.998,36.701,"Koeleria crassipes"
-7.86,31.2,"Koeleria crassipes"
-4.918,42.936,"Koeleria crassipes"
-7.87,31.2,"Koeleria crassipes"
-1.65,40.529999,"Koeleria crassipes"
-5.021,43.088,"Koeleria crassipes"
-4.871,43,"Koeleria crassipes"
-5.142,43.022,"Koeleria crassipes"
-3.45,37.049999,"Koeleria crassipes"
-5.02,36.673,"Koeleria crassipes"
-5.2037,42.5777,"Koeleria crassipes"
-5.1231,42.4297,"Koeleria crassipes"
-5.78,40.27,"Koeleria crassipes"
-5.144,43.094,"Koeleria crassipes"
-5.144,43.103,"Koeleria crassipes"
-2.837,36.907,"Koeleria crassipes"
-4.86,43.027,"Koeleria crassipes"
-4.759,42.957,"Koeleria crassipes"
-4.884,43.018,"Koeleria crassipes"
-4.955,42.945,"Koeleria crassipes"
-5.132,43.104,"Koeleria crassipes"
-6.76,42.3,"Koeleria crassipes"
-6.63,42.29,"Koeleria crassipes"
-4.787,43.055,"Koeleria crassipes"
-4.9523,42.4471,"Koeleria crassipes"
-5.6212,42.1573,"Koeleria crassipes"
-5.6224,42.1573,"Koeleria crassipes"
-5.18,34.98,"Koeleria crassipes"
-5.38,40.34,"Koeleria crassipes"
-5.606,40.302,"Koeleria crassipes"
-1.7,40.459999,"Koeleria crassipes"
-2.746,37.231,"Koeleria crassipes"
-3.98,40.84,"Koeleria crassipes"
-4.781,42.857,"Koeleria crassipes"
