"lon","lat","species.name"
-53.765278,-25.143889,"Oeceoclades maculata"
18.98231,-33.68632,"Anas smithii"
27.8667,-25.75,"Charadrius tricollaris"
18.10464,-33.19037,"Haematopus moquini"
19.12,-34.33,"Thalasseus sandvicensis"
18.47538,-34.10481,"Phalacrocorax carbo"
20.2,-34.6833,"Microcarbo coronatus"
18.10464,-33.19037,"Ardea cinerea"
32.4678,-28.001,"Ardea goliath"
18.46936,-34.09274,"Ardea purpurea"
18.59066,-34.065246,"Bubulcus ibis"
27.8667,-25.75,"Butorides striata"
18.98231,-33.68632,"Egretta garzetta"
27.8667,-25.75,"Motacilla capensis"
14.115938,57.483521,"Columba livia"
20.155913,63.890491,"Picus canus"
14.105131,57.413842,"Corvus corax"
14.10231,57.428822,"Turdus merula"
12.367969,56.920422,"Numenius arquata"
16.503345,59.597969,"Coccothraustes coccothraustes"
15.928945,59.385958,"Anas platyrhynchos"
12.247307,57.13156,"Tachybaptus ruficollis"
12.247307,57.13156,"Gallinula chloropus"
16.553849,59.654039,"Fringilla coelebs"
12.749268,57.692337,"Pica pica"
12.749268,57.692337,"Emberiza citrinella"
-37.979722,-12.515278,"Epistephium williamsii"
24.806672,59.189551,"Aegithalos caudatus"
24.55738,58.347043,"Chroicocephalus ridibundus"
24.694519,59.440842,"Corvus frugilegus"
24.808127,59.192245,"Cinclus cinclus"
26.467744,59.534947,"Larus canus"
23.676388,58.586016,"Dryocopus martius"
23.683748,58.590919,"Carduelis carduelis"
22.587376,59.092088,"Parus major"
22.784014,58.976914,"Buteo buteo"
24.119285,58.244025,"Pyrrhula pyrrhula"
22.435198,58.806719,"Turdus viscivorus"
21.913433,58.49782,"Cygnus olor"
24.368269,58.366336,"Corvus corone"
24.312582,58.434619,"Carduelis carduelis"
24.3595,58.409467,"Columba livia"
24.368269,58.366336,"Ardea cinerea"
24.543896,58.225088,"Dryocopus martius"
26.358355,59.337893,"Passer montanus"
26.750529,58.284681,"Buteo buteo"
24.232309,58.396594,"Passer montanus"
24.162916,58.360184,"Dryocopus martius"
21.93417,58.40988,"Mergus serrator"
21.91748,58.51861,"Cygnus olor"
21.9542,58.44495,"Turdus pilaris"
22.692094,59.082569,"Anas platyrhynchos"
24.451275,58.21142,"Larus marinus"
24.447646,58.057276,"Larus argentatus"
22.613107,58.982062,"Lanius excubitor"
25.70429,58.869814,"Accipiter nisus"
24.719703,58.017175,"Capreolus capreolus"
24.71669,58.013871,"Dryocopus martius"
26.481615,59.318356,"Corvus corone"
23.594841,59.074593,"Emberiza citrinella"
24.917679,59.499268,"Spinus spinus"
24.312472,58.718894,"Accipiter nisus"
24.324704,58.777556,"Poecile montanus"
26.042494,59.630402,"Cygnus olor"
22.413705,58.854095,NA
-82.43,29.31,"Trachemys inflata"
15.854816,58.674178,"Tetartopeus terminatus"
18.768214,63.703438,"Garrulus glandarius"
18.244514,59.631107,"Turdus merula"
15.16367,59.224693,"Acanthis flammea"
17.88057,59.502777,"Phasianus colchicus"
17.88535,59.508119,"Cyanistes caeruleus"
17.178295,60.625245,"Spinus spinus"
11.837433,57.944129,"Turdus merula"
17.931352,59.652972,"Coloeus monedula"
17.924947,59.380386,"Turdus merula"
18.807686,59.86266,"Parus major"
15.238643,59.5924,"Cyanistes caeruleus"
14.718456,57.064318,"Emberiza citrinella"
17.865407,58.737311,"Calidris maritima"
14.718456,57.064318,"Passer montanus"
15.643712,58.257203,"Poecile palustris"
15.606872,60.616973,"Coloeus monedula"
16.576522,56.643339,"Cyanistes caeruleus"
13.631611,56.489962,"Cyanistes caeruleus"
13.595301,56.46277,"Pica pica"
17.084466,59.574117,"Coloeus monedula"
16.440787,57.254975,"Passer domesticus"
17.865407,58.737311,"Melanitta nigra"
15.681989,58.218253,"Parus major"
17.084466,59.574117,"Cyanistes caeruleus"
15.681989,58.218253,"Turdus merula"
17.937793,58.904439,"Larus argentatus"
17.084466,59.574117,"Sitta europaea"
11.933229,57.808134,"Cyanistes caeruleus"
12.713066,57.913402,"Dendrocopos major"
15.542903,56.6317,"Spinus spinus"
18.153946,57.432933,"Periparus ater"
15.117883,59.535244,"Periparus ater"
16.428417,56.916578,"Anas platyrhynchos"
16.428417,56.916578,"Cygnus olor"
17.025761,59.379063,"Acanthis flammea"
18.001852,59.334596,"Pica pica"
17.960332,59.426868,"Pyrrhula pyrrhula"
17.013642,60.643438,"Passer domesticus"
17.987129,59.372455,"Larus argentatus"
14.697193,57.502208,"Coloeus monedula"
12.119127,57.235928,"Coloeus monedula"
18.012668,59.434004,"Sitta europaea"
15.616304,60.618754,"Chloris chloris"
17.858274,59.429413,"Periparus ater"
14.816848,59.443491,"Dryocopus martius"
18.126727,59.450327,"Coloeus monedula"
17.987129,59.372455,"Corvus corone"
17.987129,59.372455,"Anas platyrhynchos"
15.457437,56.552102,"Sitta europaea"
13.852345,58.389885,"Cyanistes caeruleus"
13.881325,58.390238,"Anas platyrhynchos"
16.241217,56.626818,"Chloris chloris"
15.66413,60.616678,"Cyanistes caeruleus"
13.881325,58.390238,"Cyanistes caeruleus"
13.869197,58.36323,"Anas platyrhynchos"
13.874884,58.367042,"Troglodytes troglodytes"
13.882897,58.334338,"Corvus corax"
16.398575,57.895608,"Parus major"
14.744426,57.922921,"Certhia familiaris"
16.398575,57.895608,"Picus viridis"
15.136819,59.126672,"Bombycilla garrulus"
17.130621,60.696726,"Dryocopus martius"
13.654653,57.37365,"Sitta europaea"
17.247689,61.728404,"Acanthis flammea"
15.154112,59.459855,"Oxalis acetosella"
15.154112,59.459855,"Pinus sylvestris"
17.7925,59.471164,"Troglodytes troglodytes"
13.463914,59.367805,"Parus major"
11.941709,58.36397,"Cyanistes caeruleus"
12.05372,57.695295,"Corvus corax"
16.779236,60.635026,"Dactylis glomerata"
