"lon","lat","species.name"
-73.863908,4.732458,"Lachemilla hispidula"
-73.982889,5.326444,"Lachemilla hispidula"
-76.715278,1.975,"Lachemilla hispidula"
-76.708611,2.000833,"Lachemilla hispidula"
-78.254444,-0.273389,"Lachemilla hispidula"
-78.354167,-1.157778,"Lachemilla hispidula"
-77.86667,0.86667,"Lachemilla hispidula"
-72.621944,5.926139,"Lachemilla hispidula"
-79.205,-2.785833,"Lachemilla hispidula"
-79.223889,-2.782222,"Lachemilla hispidula"
-78.25,-0.333333,"Lachemilla hispidula"
-78.91222,-3.27333,"Lachemilla hispidula"
-79.235833,-2.777222,"Lachemilla hispidula"
-78.661944,-3.008056,"Lachemilla hispidula"
-79.237778,-2.776111,"Lachemilla hispidula"
-78.35,-1.116,"Lachemilla hispidula"
-74.208569,4.284917,"Lachemilla hispidula"
-78.03333,-1,"Lachemilla hispidula"
-78.36138,-0.9875,"Lachemilla hispidula"
-78.298611,-1.228611,"Lachemilla hispidula"
-78.326111,-1.194444,"Lachemilla hispidula"
-79.01666,-3.55,"Lachemilla hispidula"
-79.25,-3.55,"Lachemilla hispidula"
-78.21666,-0.41666,"Lachemilla hispidula"
-78.333333,-0.983333,"Lachemilla hispidula"
-78.383333,-0.95,"Lachemilla hispidula"
-78.283333,-1.15,"Lachemilla hispidula"
-78.35,-1.116667,"Lachemilla hispidula"
-79.366,-4.616,"Lachemilla hispidula"
-77.633333,-0.566667,"Lachemilla hispidula"
-78.7,-0.55,"Lachemilla hispidula"
-78.4,-1.68333,"Lachemilla hispidula"
-77.95,-0.1,"Lachemilla hispidula"
-78.45,-1.45,"Lachemilla hispidula"
-78.35,0.35,"Lachemilla hispidula"
-78.5,-2.23333,"Lachemilla hispidula"
-78.5,-2,"Lachemilla hispidula"
-77.95,-0.9,"Lachemilla hispidula"
-77.883333,0.7,"Lachemilla hispidula"
-78.35,-0.833,"Lachemilla hispidula"
-77.95,0.816,"Lachemilla hispidula"
-79.133,-4.05,"Lachemilla hispidula"
-79.13333,-4.05,"Lachemilla hispidula"
-77.95,0.81666,"Lachemilla hispidula"
-78.8,-0.88333,"Lachemilla hispidula"
-78.8,-0.883,"Lachemilla hispidula"
-78.35,-0.83333,"Lachemilla hispidula"
-79.1,-2.71666,"Lachemilla hispidula"
-79.1,-2.716,"Lachemilla hispidula"
-74.035234,4.563762,"Lachemilla hispidula"
-77.926712,0.825663,"Lachemilla hispidula"
-74.005556,5.222222,"Lachemilla hispidula"
-77.718101,1.080458,"Lachemilla hispidula"
-77.718101,1.081458,"Lachemilla hispidula"
-74.175181,4.283804,"Lachemilla hispidula"
-74.047036,4.612401,"Lachemilla hispidula"
-76.083333,6.466667,"Lachemilla hispidula"
-77.718141,1.086803,"Lachemilla hispidula"
-78.01666,0.08333,"Lachemilla hispidula"
-78.016,0.083,"Lachemilla hispidula"
-77.353106,1.219819,"Lachemilla hispidula"
-77.367654,1.20802,"Lachemilla hispidula"
-78.53333,-1.8,"Lachemilla hispidula"
-78.38333,-1.48333,"Lachemilla hispidula"
-78.333333,0.583333,"Lachemilla hispidula"
-75.360556,4.835278,"Lachemilla hispidula"
-75.3767,4.91222,"Lachemilla hispidula"
-75.28,4.919444,"Lachemilla hispidula"
-77.966,0.783,"Lachemilla hispidula"
-77.96666,0.78333,"Lachemilla hispidula"
-78.8,-1.266,"Lachemilla hispidula"
-78.216,-0.35,"Lachemilla hispidula"
-78.21666,-0.35,"Lachemilla hispidula"
-78.8,-1.26666,"Lachemilla hispidula"
-78.7,-0.66666,"Lachemilla hispidula"
-78.7,-0.666,"Lachemilla hispidula"
-78.183,-0.316,"Lachemilla hispidula"
-78.18333,-0.31666,"Lachemilla hispidula"
-78.2,-0.31666,"Lachemilla hispidula"
-78.2,-0.316,"Lachemilla hispidula"
-76.0553,5.12917,"Lachemilla hispidula"
-76.055278,5.129167,"Lachemilla hispidula"
-78.2,-1.183,"Lachemilla hispidula"
-79.2,-2.716,"Lachemilla hispidula"
-79.2,-2.71666,"Lachemilla hispidula"
-78.2,-0.333,"Lachemilla hispidula"
-78.2,-0.33333,"Lachemilla hispidula"
-78.45,-1.433,"Lachemilla hispidula"
-78.2,-1.18333,"Lachemilla hispidula"
-78.3,-1.15,"Lachemilla hispidula"
-78.3,-1.13333,"Lachemilla hispidula"
-78.43333,-1.8,"Lachemilla hispidula"
-78.3,-1.133,"Lachemilla hispidula"
-78.416,-1.783,"Lachemilla hispidula"
-78.41666,-1.78333,"Lachemilla hispidula"
-78.28333,-1.15,"Lachemilla hispidula"
-78.283,-1.15,"Lachemilla hispidula"
-78.433,-1.8,"Lachemilla hispidula"
-74.1068,3.9447,"Lachemilla hispidula"
-74.2483,4.0764,"Lachemilla hispidula"
-74.1068,3.99447,"Lachemilla hispidula"
-77.25,1.2,"Lachemilla hispidula"
-77.362669,1.219916,"Lachemilla hispidula"
-74.146389,3.93,"Lachemilla hispidula"
-74.165,3.95639,"Lachemilla hispidula"
-74.1183,3.947,"Lachemilla hispidula"
-74.1464,3.93,"Lachemilla hispidula"
-74.145309,3.929336,"Lachemilla hispidula"
-75.395694,4.77412,"Lachemilla hispidula"
-75.398056,4.786389,"Lachemilla hispidula"
-75.405,4.77972,"Lachemilla hispidula"
-75.405047,4.779717,"Lachemilla hispidula"
-77.866,0.666,"Lachemilla hispidula"
-77.983,0.083,"Lachemilla hispidula"
-78,-0.05,"Lachemilla hispidula"
-77.98333,0.11666,"Lachemilla hispidula"
-77.983,0.116,"Lachemilla hispidula"
-78.316,-1.183,"Lachemilla hispidula"
-78.316,-1.2,"Lachemilla hispidula"
-78.31666,-1.2,"Lachemilla hispidula"
-78.3,-1.233,"Lachemilla hispidula"
-78.3,-1.23333,"Lachemilla hispidula"
-78.31666,-1.18333,"Lachemilla hispidula"
-77.86666,0.66666,"Lachemilla hispidula"
-77.98333,0.08333,"Lachemilla hispidula"
-78.15,-0.43333,"Lachemilla hispidula"
-72.347296,6.389392,"Lachemilla hispidula"
-78.35,-0.783,"Lachemilla hispidula"
-78.15,-0.26666,"Lachemilla hispidula"
-78.15,-0.266,"Lachemilla hispidula"
-78.35,-0.78333,"Lachemilla hispidula"
-77.71666,-0.56666,"Lachemilla hispidula"
-77.716,-0.566,"Lachemilla hispidula"
-77.65,-0.583,"Lachemilla hispidula"
-77.65,-0.58333,"Lachemilla hispidula"
