"lon","lat","species.name"
-71.373979,-37.852489,"Leucheria candidissima"
-70.66,-45.31,"Leucheria candidissima"
-69.37,-36.14,"Leucheria candidissima"
-69.68,-44.48,"Leucheria candidissima"
-70.47,-36.72,"Leucheria candidissima"
-70.73,-46.28,"Leucheria candidissima"
-69.09,-34.05,"Leucheria candidissima"
-67.82,-45.22,"Leucheria candidissima"
-70.5,-36.7,"Leucheria candidissima"
-70.583333,-35.25,"Leucheria candidissima"
-70.52,-35.2,"Leucheria candidissima"
-69.28,-45.53,"Leucheria candidissima"
-70.1,-35.1,"Leucheria candidissima"
-69.55,-44.47,"Leucheria candidissima"
-69.78,-44.67,"Leucheria candidissima"
