"lon","lat","species.name"
-72.283056,-50.380556,"Leucheria millefolium"
-71.47611,-44.00638,"Leucheria millefolium"
-71.37,-44.4,"Leucheria millefolium"
-71.44,-40.76,"Leucheria millefolium"
-70.82,-50.98,"Leucheria millefolium"
-70.4,-35.98,"Leucheria millefolium"
-70.66,-45.31,"Leucheria millefolium"
-71.99,-51.61,"Leucheria millefolium"
-70.43,-38.58,"Leucheria millefolium"
-71.55,-41.43,"Leucheria millefolium"
-70.12,-51.72,"Leucheria millefolium"
-70.24,-43.21,"Leucheria millefolium"
-70.62,-51.38,"Leucheria millefolium"
-69.61,-49.96,"Leucheria millefolium"
-68.95,-41.09,"Leucheria millefolium"
-71.23,-40.35,"Leucheria millefolium"
-70.54,-44.18,"Leucheria millefolium"
-72.28,-50.38,"Leucheria millefolium"
