"lon","lat","species.name"
171.562506,-42.910268,"Leucopogon fraseri"
171.775017,-43.048067,"Leucopogon fraseri"
168.741374,-44.794932,"Leucopogon fraseri"
172.744524,-43.690191,"Leucopogon fraseri"
171.686954,-43.30407,"Leucopogon fraseri"
171.775017,-43.05183,"Leucopogon fraseri"
171.759355,-43.033725,"Leucopogon fraseri"
171.67305,-43.306193,"Leucopogon fraseri"
171.742844,-43.008683,"Leucopogon fraseri"
172.770267,-43.817166,"Leucopogon fraseri"
175.744171,-39.215231,"Leucopogon fraseri"
172.769722,-43.817907,"Leucopogon fraseri"
170.07718,-46.20291,"Leucopogon fraseri"
172.676364,-42.857144,"Leucopogon fraseri"
172.929681,-34.656442,"Leucopogon fraseri"
168.656228,-45.028572,"Leucopogon fraseri"
169.05899,-44.208928,"Leucopogon fraseri"
169.249816,-45.237765,"Leucopogon fraseri"
172.677565,-42.856861,"Leucopogon fraseri"
172.784535,-41.955086,"Leucopogon fraseri"
169.164813,-44.693136,"Leucopogon fraseri"
174.730591,-41.328928,"Leucopogon fraseri"
174.774436,-41.235264,"Leucopogon fraseri"
169.27228,-44.609849,"Leucopogon fraseri"
171.47015,-43.4225,"Leucopogon fraseri"
171.726046,-43.299364,"Leucopogon fraseri"
173.385252,-41.310565,"Leucopogon fraseri"
171.654366,-43.518058,"Leucopogon fraseri"
169.326669,-44.587069,"Leucopogon fraseri"
172.696588,-43.591062,"Leucopogon fraseri"
174.777541,-41.231521,"Leucopogon fraseri"
171.655216,-43.310912,"Leucopogon fraseri"
168.300891,-44.373453,"Leucopogon fraseri"
174.765221,-41.23737,"Leucopogon fraseri"
172.693792,-41.217047,"Leucopogon fraseri"
173.113285,-34.735924,"Leucopogon fraseri"
149.20732,-36.91503,"Leucopogon fraseri"
148.713365,-36.249734,"Leucopogon fraseri"
148.819825,-37.046872,"Leucopogon fraseri"
176.339321,-39.355671,"Leucopogon fraseri"
149.204765,-36.921396,"Leucopogon fraseri"
175.503867,-38.621682,"Leucopogon fraseri"
148.887812,-37.038777,"Leucopogon fraseri"
172.748497,-42.019936,"Leucopogon fraseri"
169.344978,-44.645941,"Leucopogon fraseri"
148.887706,-36.138245,"Leucopogon fraseri"
150.206184,-34.598657,"Leucopogon fraseri"
170.09794,-43.747679,"Leucopogon fraseri"
170.570147,-45.266556,"Leucopogon fraseri"
148.645954,-36.163835,"Leucopogon fraseri"
148.66235,-36.25435,"Leucopogon fraseri"
148.6729,-36.5031,"Leucopogon fraseri"
172.939745,-41.574933,"Leucopogon fraseri"
167.984895,-44.381657,"Leucopogon fraseri"
170.561628,-45.812714,"Leucopogon fraseri"
172.969909,-43.851291,"Leucopogon fraseri"
174.849558,-41.089767,"Leucopogon fraseri"
172.614576,-43.663495,"Leucopogon fraseri"
172.645773,-43.604827,"Leucopogon fraseri"
170.670837,-45.888517,"Leucopogon fraseri"
173.112239,-34.735323,"Leucopogon fraseri"
173.341314,-34.980681,"Leucopogon fraseri"
172.501686,-43.496955,"Leucopogon fraseri"
172.443895,-43.472381,"Leucopogon fraseri"
176.836796,-39.147768,"Leucopogon fraseri"
169.228549,-44.475472,"Leucopogon fraseri"
172.70546,-34.448697,"Leucopogon fraseri"
172.446942,-43.472988,"Leucopogon fraseri"
169.555103,-44.805323,"Leucopogon fraseri"
172.999512,-43.82653,"Leucopogon fraseri"
175.810797,-39.015916,"Leucopogon fraseri"
172.681577,-34.430102,"Leucopogon fraseri"
169.887772,-44.892417,"Leucopogon fraseri"
169.274285,-44.934936,"Leucopogon fraseri"
171.531421,-43.54289,"Leucopogon fraseri"
172.500672,-43.478103,"Leucopogon fraseri"
170.467198,-45.832478,"Leucopogon fraseri"
171.867032,-43.654866,"Leucopogon fraseri"
172.666454,-41.758732,"Leucopogon fraseri"
171.799736,-42.981042,"Leucopogon fraseri"
175.356002,-41.082481,"Leucopogon fraseri"
149.428463,-36.677858,"Leucopogon fraseri"
149.1811,-36.9961,"Leucopogon fraseri"
176.808944,-39.106887,"Leucopogon fraseri"
176.819458,-39.105022,"Leucopogon fraseri"
171.385603,-44.059278,"Leucopogon fraseri"
167.634002,-45.563816,"Leucopogon fraseri"
171.530548,-43.544861,"Leucopogon fraseri"
172.510464,-43.476469,"Leucopogon fraseri"
173.008436,-43.820507,"Leucopogon fraseri"
172.494114,-43.480251,"Leucopogon fraseri"
172.97362,-43.846864,"Leucopogon fraseri"
172.501615,-43.496868,"Leucopogon fraseri"
174.813852,-41.338198,"Leucopogon fraseri"
173.368922,-35.536074,"Leucopogon fraseri"
171.608408,-43.936124,"Leucopogon fraseri"
173.033565,-43.810236,"Leucopogon fraseri"
174.734287,-41.336954,"Leucopogon fraseri"
168.260024,-45.380539,"Leucopogon fraseri"
173.362246,-34.958112,"Leucopogon fraseri"
172.782798,-43.816747,"Leucopogon fraseri"
172.783077,-43.81739,"Leucopogon fraseri"
168.823642,-44.939675,"Leucopogon fraseri"
174.758542,-41.267366,"Leucopogon fraseri"
172.49327,-43.468755,"Leucopogon fraseri"
170.955225,-43.282302,"Leucopogon fraseri"
148.913382,-36.910583,"Leucopogon fraseri"
170.076313,-46.203293,"Leucopogon fraseri"
172.513928,-43.482594,"Leucopogon fraseri"
172.775042,-34.485303,"Leucopogon fraseri"
173.138095,-34.752002,"Leucopogon fraseri"
173.975819,-36.021506,"Leucopogon fraseri"
148.174898,-36.748674,"Leucopogon fraseri"
172.63361,-41.10871,"Leucopogon fraseri"
169.258865,-44.429714,"Leucopogon fraseri"
173.024892,-42.385558,"Leucopogon fraseri"
172.783241,-43.817114,"Leucopogon fraseri"
171.169252,-43.59011,"Leucopogon fraseri"
172.388068,-42.516471,"Leucopogon fraseri"
168.167114,-45.172163,"Leucopogon fraseri"
170.130228,-43.976365,"Leucopogon fraseri"
174.849585,-41.089606,"Leucopogon fraseri"
171.151306,-43.47675,"Leucopogon fraseri"
150.254248,-33.519977,"Leucopogon fraseri"
172.335652,-43.476967,"Leucopogon fraseri"
151.595861,-30.325152,"Leucopogon fraseri"
170.463524,-45.833673,"Leucopogon fraseri"
171.489514,-43.130864,"Leucopogon fraseri"
171.083179,-43.28764,"Leucopogon fraseri"
151.592063,-30.294713,"Leucopogon fraseri"
151.585584,-30.300608,"Leucopogon fraseri"
172.439279,-43.470856,"Leucopogon fraseri"
168.665628,-44.801053,"Leucopogon fraseri"
149.490995,-36.185866,"Leucopogon fraseri"
172.270609,-41.424668,"Leucopogon fraseri"
169.880081,-44.775562,"Leucopogon fraseri"
170.671964,-45.891741,"Leucopogon fraseri"
170.726964,-45.825564,"Leucopogon fraseri"
170.721578,-45.823895,"Leucopogon fraseri"
171.516327,-42.946063,"Leucopogon fraseri"
172.705241,-43.81592,"Leucopogon fraseri"
171.282253,-44.023741,"Leucopogon fraseri"
171.861427,-43.64967,"Leucopogon fraseri"
172.696511,-43.629159,"Leucopogon fraseri"
170.720136,-45.820561,"Leucopogon fraseri"
170.098411,-43.747785,"Leucopogon fraseri"
171.565294,-42.945804,"Leucopogon fraseri"
169.467874,-44.733355,"Leucopogon fraseri"
