"lon","lat","species.name"
7.35221,44.11089,"Pachypleurum simplex"
7.411352,45.586834,"Pachypleurum simplex"
11.191579,47.543999,"Pachypleurum simplex"
13.05,47.57,"Pachypleurum simplex"
13.04,47.57,"Pachypleurum simplex"
6.46965,46.00155,"Pachypleurum simplex"
6.46783,46.00075,"Pachypleurum simplex"
6.51784,45.92468,"Pachypleurum simplex"
6.82906,46.11918,"Pachypleurum simplex"
6.83281,46.1226,"Pachypleurum simplex"
11.295962,47.430149,"Pachypleurum simplex"
6.40982,45.06407,"Pachypleurum simplex"
6.7054,45.65616,"Pachypleurum simplex"
8.449886,46.462551,"Pachypleurum simplex"
12.737703,47.08707,"Pachypleurum simplex"
6.58214,45.29481,"Pachypleurum simplex"
13.3684,47.17515,"Pachypleurum simplex"
7.393756,45.590618,"Pachypleurum simplex"
9.872911,46.588501,"Pachypleurum simplex"
6.40185,45.05891,"Pachypleurum simplex"
6.986,44.910333,"Pachypleurum simplex"
89.2364,49.990833,"Pachypleurum simplex"
13.6,47.2,"Pachypleurum simplex"
13.01556,46.95944,"Pachypleurum simplex"
12.7,47.2,"Pachypleurum simplex"
13.237495,46.554848,"Pachypleurum simplex"
10.166667,47.2,"Pachypleurum simplex"
12.934685,47.548264,"Pachypleurum simplex"
10.844879,51.977003,"Pachypleurum simplex"
8.912401,49.115119,"Pachypleurum simplex"
7.11217,45.35864,"Pachypleurum simplex"
6.96554,45.37771,"Pachypleurum simplex"
12.3,47.1,"Pachypleurum simplex"
12.2,47.2,"Pachypleurum simplex"
12.1,47.2,"Pachypleurum simplex"
87.717781,49.286667,"Pachypleurum simplex"
12.2,47,"Pachypleurum simplex"
60.711944,65.340833,"Pachypleurum simplex"
10.135,47.175556,"Pachypleurum simplex"
160.25,55.766667,"Pachypleurum simplex"
44.61,42.72,"Pachypleurum simplex"
44.58,42.65,"Pachypleurum simplex"
10.29,47.27,"Pachypleurum simplex"
14.13333,47.25833,"Pachypleurum simplex"
12.8,47.1,"Pachypleurum simplex"
99.75,50.783333,"Pachypleurum simplex"
10.29,47.32,"Pachypleurum simplex"
10.21,47.27,"Pachypleurum simplex"
13,47.2,"Pachypleurum simplex"
13,47.1,"Pachypleurum simplex"
10.12,47.37,"Pachypleurum simplex"
10.37,47.32,"Pachypleurum simplex"
11.866667,46.466667,"Pachypleurum simplex"
0,0,"Pachypleurum simplex"
13.14944,46.78972,"Pachypleurum simplex"
174.83,65.91,"Pachypleurum simplex"
