"lon","lat","species.name"
-0.15,40.78,"Linaria aeruginea"
-1.41,40.13,"Linaria aeruginea"
-1.06,39.96,"Linaria aeruginea"
-7.62788,41.22822,"Linaria aeruginea"
-7.62976,41.13817,"Linaria aeruginea"
-7.50034,41.58692,"Linaria aeruginea"
-6.66432,41.48291,"Linaria aeruginea"
-6.54465,41.48041,"Linaria aeruginea"
-7.74717,41.22958,"Linaria aeruginea"
-3.383709,37.094074,"Linaria aeruginea"
-7.5086,41.22674,"Linaria aeruginea"
-4.878,36.838,"Linaria aeruginea"
-6.42499,41.47779,"Linaria aeruginea"
-1.45,40.13,"Linaria aeruginea"
-1.38,40.08,"Linaria aeruginea"
-1.38,40.07,"Linaria aeruginea"
-1.45,40.14,"Linaria aeruginea"
-1.39,40.12,"Linaria aeruginea"
-1.44,40.15,"Linaria aeruginea"
-1.43,40.14,"Linaria aeruginea"
-1.44,40.14,"Linaria aeruginea"
-1.41,40.11,"Linaria aeruginea"
-4.845,36.829,"Linaria aeruginea"
-1.42,40.11,"Linaria aeruginea"
-0.32,40.44,"Linaria aeruginea"
-7.38933,41.22513,"Linaria aeruginea"
-7.15588,41.04148,"Linaria aeruginea"
-7.04229,40.85946,"Linaria aeruginea"
-6.80515,40.85519,"Linaria aeruginea"
-7.38712,41.31517,"Linaria aeruginea"
-6.66108,41.5729,"Linaria aeruginea"
-1.1,40.03,"Linaria aeruginea"
-1.107,40.036,"Linaria aeruginea"
-1.44,40.13,"Linaria aeruginea"
-1.388,40.068,"Linaria aeruginea"
-1.38,40.06,"Linaria aeruginea"
-6.89495,41.75756,"Linaria aeruginea"
-1.445,40.123,"Linaria aeruginea"
-0.944,40.79,"Linaria aeruginea"
-3.37,37.07,"Linaria aeruginea"
-1.44,40.12,"Linaria aeruginea"
0.08,40.63,"Linaria aeruginea"
-6.77475,41.75529,"Linaria aeruginea"
-5.027,36.934,"Linaria aeruginea"
-0.16,40.77,"Linaria aeruginea"
-0.18,40.7,"Linaria aeruginea"
17.595355,59.804618,"Linaria aeruginea"
-5.00689,36.61271,"Linaria aeruginea"
2.78283415046331,39.7981325915559,"Linaria aeruginea"
-1.07,40.07,"Linaria aeruginea"
-7.03697,41.03952,"Linaria aeruginea"
-0.26,40.47,"Linaria aeruginea"
-1.09,40.05,"Linaria aeruginea"
-1.08,40.07,"Linaria aeruginea"
-7.08424,42.14215,"Linaria aeruginea"
-1.09,40.03,"Linaria aeruginea"
-1.08,40.04,"Linaria aeruginea"
-7.51064,41.13669,"Linaria aeruginea"
-0.22,40.75,"Linaria aeruginea"
-0.29,40.39,"Linaria aeruginea"
-0.28,40.37,"Linaria aeruginea"
-0.2,40.64,"Linaria aeruginea"
-3.35345,36.94688,"Linaria aeruginea"
-0.32,40.34,"Linaria aeruginea"
-4.9944,36.69083,"Linaria aeruginea"
-1.9833,40.25,"Linaria aeruginea"
-2.88,41.75,"Linaria aeruginea"
-3.36,37.08,"Linaria aeruginea"
-3.42,37.11,"Linaria aeruginea"
-4.73,36.63,"Linaria aeruginea"
-1.33,40.02,"Linaria aeruginea"
-1.91,37.81,"Linaria aeruginea"
-1.81,37.91,"Linaria aeruginea"
-1.28,40.03,"Linaria aeruginea"
-1.71,37.91,"Linaria aeruginea"
-1.22,40.08,"Linaria aeruginea"
-0.17,40.72,"Linaria aeruginea"
-0.78,39.84,"Linaria aeruginea"
-6.21,42.94,"Linaria aeruginea"
-4.816,36.577,"Linaria aeruginea"
-1.2,39.83,"Linaria aeruginea"
-6.2131,42.9495,"Linaria aeruginea"
-1.09,39.96,"Linaria aeruginea"
-2.46,38.65,"Linaria aeruginea"
-7.08954,42.13727,"Linaria aeruginea"
-1.39,39.67,"Linaria aeruginea"
-1.42,40.14,"Linaria aeruginea"
-1.805,41.667,"Linaria aeruginea"
-2.39525,37.421994,"Linaria aeruginea"
-1.594,40.863,"Linaria aeruginea"
-0.15,40.77,"Linaria aeruginea"
-3.926,39.589,"Linaria aeruginea"
-1.696,41.711,"Linaria aeruginea"
-4.24,37.400002,"Linaria aeruginea"
0.341,40.742,"Linaria aeruginea"
-0.17,40.7,"Linaria aeruginea"
-1.445,40.132,"Linaria aeruginea"
-1.592,40.413,"Linaria aeruginea"
-2.21,38.01,"Linaria aeruginea"
-2.520606,37.253858,"Linaria aeruginea"
-1.532,40.421,"Linaria aeruginea"
-1.960525,37.17498,"Linaria aeruginea"
-0.83,39.51,"Linaria aeruginea"
-0.83,39.518,"Linaria aeruginea"
-3.701,36.887,"Linaria aeruginea"
-2.418371,37.230747,"Linaria aeruginea"
-4.998,36.71,"Linaria aeruginea"
-2.687,37.997,"Linaria aeruginea"
-2.926,37.898,"Linaria aeruginea"
-2.744,37.844,"Linaria aeruginea"
-1.39,40.11,"Linaria aeruginea"
-1.41,40.1,"Linaria aeruginea"
-1.39,40.1,"Linaria aeruginea"
-1.956139,37.17359,"Linaria aeruginea"
-1.8,37.310001,"Linaria aeruginea"
-1.22,40.11,"Linaria aeruginea"
-1.23,40.12,"Linaria aeruginea"
-1.2,39.14,"Linaria aeruginea"
-2.223,37.706,"Linaria aeruginea"
-3.358985,37.262847,"Linaria aeruginea"
-2.664842,38.074191,"Linaria aeruginea"
-2.342742,37.62849,"Linaria aeruginea"
-2.467833,37.647418,"Linaria aeruginea"
-2.75,37.93,"Linaria aeruginea"
-3.505399,37.234874,"Linaria aeruginea"
-2.81539,36.878467,"Linaria aeruginea"
-3.456104,37.246928,"Linaria aeruginea"
-3.505598,37.235955,"Linaria aeruginea"
0.231,40.829,"Linaria aeruginea"
-3.500982,37.816349,"Linaria aeruginea"
-0.15,40.62,"Linaria aeruginea"
0.243,40.821,"Linaria aeruginea"
-3.21,41.475,"Linaria aeruginea"
-1.37,40.03,"Linaria aeruginea"
-1.36,40.02,"Linaria aeruginea"
-3.993,36.894,"Linaria aeruginea"
-1.37,40.02,"Linaria aeruginea"
-1.36,40.03,"Linaria aeruginea"
-1.36,40.01,"Linaria aeruginea"
-1.3,40.2,"Linaria aeruginea"
-2.31,38.11,"Linaria aeruginea"
-4.016,36.911,"Linaria aeruginea"
