"lon","lat","species.name"
-0.75774,42.97554,"Linaria alpina"
11.299911,47.520477,"Linaria alpina"
6.70861,44.23733,"Linaria alpina"
6.59674,44.29197,"Linaria alpina"
7.390538,45.575237,"Linaria alpina"
12.68105,47.207997,"Linaria alpina"
12.860725,47.067722,"Linaria alpina"
10.786076,46.231144,"Linaria alpina"
7.089089,45.069591,"Linaria alpina"
7.336466,45.580284,"Linaria alpina"
7.411352,45.586834,"Linaria alpina"
13.686889,47.443544,"Linaria alpina"
1.906415,42.577495,"Linaria alpina"
1.947286,42.571043,"Linaria alpina"
5.912282,44.895288,"Linaria alpina"
6.984714,44.946125,"Linaria alpina"
-0.3833,42.83995,"Linaria alpina"
-0.27412,43.01916,"Linaria alpina"
7.120725,44.390335,"Linaria alpina"
6.02833,45.05417,"Linaria alpina"
6.7346,45.27049,"Linaria alpina"
10.423579,46.547291,"Linaria alpina"
6.84791,46.01961,"Linaria alpina"
10.481338,47.056431,"Linaria alpina"
10.115453,46.664421,"Linaria alpina"
-0.73914,42.99326,"Linaria alpina"
6.23626,45.96047,"Linaria alpina"
9.752512,47.064159,"Linaria alpina"
9.747899,47.058048,"Linaria alpina"
7.46471,44.11774,"Linaria alpina"
10.216448,46.644192,"Linaria alpina"
10.214945,46.490288,"Linaria alpina"
10.581702,46.343174,"Linaria alpina"
7.746305,46.016753,"Linaria alpina"
10.11137,47.366966,"Linaria alpina"
11.067352,47.369526,"Linaria alpina"
11.297224,47.429482,"Linaria alpina"
0.54554,42.70154,"Linaria alpina"
6.44206,45.98752,"Linaria alpina"
6.51646,45.92876,"Linaria alpina"
7.075874,45.18946,"Linaria alpina"
10.412292,47.421001,"Linaria alpina"
7.968521,46.837532,"Linaria alpina"
7.656934,46.493001,"Linaria alpina"
11.260986,47.338123,"Linaria alpina"
10.615969,51.799461,"Linaria alpina"
12.754719,47.066441,"Linaria alpina"
7.980475,46.580547,"Linaria alpina"
-0.11424,42.88905,"Linaria alpina"
12.947946,47.124664,"Linaria alpina"
10.87,47.58,"Linaria alpina"
1.33028,44.25667,"Linaria alpina"
8.248715,46.795506,"Linaria alpina"
8.430333,46.427696,"Linaria alpina"
6.90792,44.65563,"Linaria alpina"
10.177237,47.278587,"Linaria alpina"
6.54403,44.329,"Linaria alpina"
11.297293,47.306297,"Linaria alpina"
-6.98119,45.57341,"Linaria alpina"
6.86839,44.6295,"Linaria alpina"
14.66444,47.55667,"Linaria alpina"
11.021667,46.844417,"Linaria alpina"
13.304272,46.571518,"Linaria alpina"
6.58965,44.30485,"Linaria alpina"
7.04331,45.41981,"Linaria alpina"
6.40822,45.06413,"Linaria alpina"
11.34201,47.425301,"Linaria alpina"
6.59422,44.22694,"Linaria alpina"
14.485602,46.504036,"Linaria alpina"
6.87945,46.0485,"Linaria alpina"
6.674709,44.828787,"Linaria alpina"
0.02,42.6,"Linaria alpina"
2.43537,42.506229,"Linaria alpina"
9.124146,47.18388,"Linaria alpina"
0.20068,42.86597,"Linaria alpina"
8.449886,46.462551,"Linaria alpina"
14.634113,56.066293,"Linaria alpina"
10.093679,46.907181,"Linaria alpina"
11.812782,46.490549,"Linaria alpina"
10.453098,46.528636,"Linaria alpina"
11.81571,46.570663,"Linaria alpina"
13.528193,46.468898,"Linaria alpina"
13.528957,46.469092,"Linaria alpina"
-0.38302,42.84027,"Linaria alpina"
10.503874,47.467964,"Linaria alpina"
-0.00984,42.71664,"Linaria alpina"
7.133678,44.803581,"Linaria alpina"
7.067792,44.800278,"Linaria alpina"
2.34999,42.42637,"Linaria alpina"
6.7817,46.10079,"Linaria alpina"
11.395912,47.313225,"Linaria alpina"
-4.809566,43.160053,"Linaria alpina"
12.690381,47.040833,"Linaria alpina"
6.70799,44.95384,"Linaria alpina"
6.2942,44.93736,"Linaria alpina"
12.737703,47.08707,"Linaria alpina"
7.04874,44.889,"Linaria alpina"
6.69877,44.83416,"Linaria alpina"
6.74585,44.8424,"Linaria alpina"
10.361326,47.42524,"Linaria alpina"
-0.03178,42.69527,"Linaria alpina"
0.42834,42.71829,"Linaria alpina"
6.682949,45.114361,"Linaria alpina"
6.32539,44.9355,"Linaria alpina"
11.489983,47.334633,"Linaria alpina"
7.835207,46.557202,"Linaria alpina"
-0.00941,42.73222,"Linaria alpina"
11.520367,47.309326,"Linaria alpina"
11.655722,47.442543,"Linaria alpina"
5.28087,44.174217,"Linaria alpina"
-7.85,31.19,"Linaria alpina"
2.07939,42.39622,"Linaria alpina"
7.393756,45.590618,"Linaria alpina"
7.12785,45.35997,"Linaria alpina"
7.173461,45.510887,"Linaria alpina"
0.21603,42.75094,"Linaria alpina"
6.33505,45.04296,"Linaria alpina"
14.777298,46.497448,"Linaria alpina"
10.33592,47.43932,"Linaria alpina"
-1.006338,42.986121,"Linaria alpina"
6.27115,45.05196,"Linaria alpina"
0.13943,42.74099,"Linaria alpina"
-0.8887,42.951404,"Linaria alpina"
11.497021,47.392654,"Linaria alpina"
-0.33211,42.95884,"Linaria alpina"
0.13999,42.73724,"Linaria alpina"
1.93162,42.5699,"Linaria alpina"
