"lon","lat","species.name"
-117.287778,49.213333,"Lomatium sandbergii"
-115.31218,47.443513,"Lomatium sandbergii"
-115.110278,49.460556,"Lomatium sandbergii"
-114,49,"Lomatium sandbergii"
-114.05,49.15,"Lomatium sandbergii"
-114.8,49.033333,"Lomatium sandbergii"
-113.916667,49.066667,"Lomatium sandbergii"
-114.1,49.15,"Lomatium sandbergii"
-113.783333,49.033333,"Lomatium sandbergii"
-114,49.033333,"Lomatium sandbergii"
-113.95,49.033333,"Lomatium sandbergii"
-114,49.083333,"Lomatium sandbergii"
-113.933333,49.083333,"Lomatium sandbergii"
-114.05,49.633333,"Lomatium sandbergii"
-113.583333,49.1499999990669,"Lomatium sandbergii"
-115.83361,47.56333,"Lomatium sandbergii"
-115.597405,47.316591,"Lomatium sandbergii"
-115,49,"Lomatium sandbergii"
-115.111655,46.932968,"Lomatium sandbergii"
-116.7167,47.6667,"Lomatium sandbergii"
-115,45,"Lomatium sandbergii"
-116.704931,47.675052,"Lomatium sandbergii"
0,13,"Lomatium sandbergii"
