"lon","lat","species.name"
9.97395,59.768734,"Lotus corniculatus"
173.024497,-43.811354,"Lotus corniculatus"
171.559067,-42.912395,"Lotus corniculatus"
10.653606,59.599479,"Lotus corniculatus"
9.982026,59.7673,"Lotus corniculatus"
9.97359,59.771226,"Lotus corniculatus"
-74.487734,40.555336,"Lotus corniculatus"
149.087494,-37.155628,"Lotus corniculatus"
149.437432,-36.66531,"Lotus corniculatus"
7.684187,45.024381,"Lotus corniculatus"
7.973592,49.930462,"Lotus corniculatus"
-74.574401,40.625785,"Lotus corniculatus"
-122.3982,37.448505,"Lotus corniculatus"
-122.390827,37.26378,"Lotus corniculatus"
-122.30444,37.470892,"Lotus corniculatus"
-74.23076,40.542088,"Lotus corniculatus"
-122.30715,37.119512,"Lotus corniculatus"
-122.16383,37.789365,"Lotus corniculatus"
11.773527,58.334805,"Lotus corniculatus"
-122.255902,38.140651,"Lotus corniculatus"
-122.50614,37.924762,"Lotus corniculatus"
-74.558405,40.620231,"Lotus corniculatus"
-122.201272,37.856369,"Lotus corniculatus"
-122.399203,37.447498,"Lotus corniculatus"
7.833202,58.112494,"Lotus corniculatus"
-122.249806,37.343414,"Lotus corniculatus"
-122.290233,37.465378,"Lotus corniculatus"
3.115326,39.785034,"Lotus corniculatus"
-122.193089,37.854725,"Lotus corniculatus"
7.745533,48.446171,"Lotus corniculatus"
-74.466641,40.708962,"Lotus corniculatus"
-122.319593,37.311879,"Lotus corniculatus"
8.663546,49.311409,"Lotus corniculatus"
14.488521,41.556435,"Lotus corniculatus"
7.691331,48.095165,"Lotus corniculatus"
-122.202561,37.913625,"Lotus corniculatus"
2.39463,42.54519,"Lotus corniculatus"
8.839853,48.804615,"Lotus corniculatus"
8.624182,49.353085,"Lotus corniculatus"
-122.485445,38.006886,"Lotus corniculatus"
-122.348639,37.297092,"Lotus corniculatus"
-122.325369,37.79985,"Lotus corniculatus"
23.583161,46.835413,"Lotus corniculatus"
7.151993,45.008039,"Lotus corniculatus"
8.773441,49.064419,"Lotus corniculatus"
-122.398333,37.448333,"Lotus corniculatus"
-122.282747,37.464398,"Lotus corniculatus"
-122.230141,37.54121,"Lotus corniculatus"
-122.30853,37.118953,"Lotus corniculatus"
-122.552574,37.889554,"Lotus corniculatus"
-122.220793,37.875435,"Lotus corniculatus"
-122.508202,37.834598,"Lotus corniculatus"
-89.901208,43.920795,"Lotus corniculatus"
8.927488,45.785755,"Lotus corniculatus"
7.120707,49.345501,"Lotus corniculatus"
-123.070814,44.645595,"Lotus corniculatus"
-73.909744,40.597783,"Lotus corniculatus"
10.351761,59.819063,"Lotus corniculatus"
5.68682,45.17323,"Lotus corniculatus"
10.413837,48.863697,"Lotus corniculatus"
9.360137,48.861046,"Lotus corniculatus"
-122.352118,37.14855,"Lotus corniculatus"
11.525487,47.54864,"Lotus corniculatus"
7.784899,50.060329,"Lotus corniculatus"
2.685,43.46317,"Lotus corniculatus"
13.455248,52.459251,"Lotus corniculatus"
6.569438,50.859711,"Lotus corniculatus"
-80.066616,39.595192,"Lotus corniculatus"
9.43342,48.89312,"Lotus corniculatus"
8.819219,52.936111,"Lotus corniculatus"
-122.36878,37.513245,"Lotus corniculatus"
-122.295915,37.953273,"Lotus corniculatus"
10.263677,48.909435,"Lotus corniculatus"
13.467264,52.447952,"Lotus corniculatus"
-74.49254,40.635874,"Lotus corniculatus"
-74.649782,40.663126,"Lotus corniculatus"
8.900728,49.002998,"Lotus corniculatus"
5.69453,45.16506,"Lotus corniculatus"
7.027409,49.198145,"Lotus corniculatus"
8.841248,52.885811,"Lotus corniculatus"
6.558881,50.680443,"Lotus corniculatus"
-0.0831,50.864467,"Lotus corniculatus"
5.96006,50.66006,"Lotus corniculatus"
10.767632,50.0895,"Lotus corniculatus"
10.356331,48.712032,"Lotus corniculatus"
-123.137367,44.662533,"Lotus corniculatus"
