"lon","lat","species.name"
-72.28122,6.363,"Belloa kunthiana"
-70.691111,-16.223889,"Belloa kunthiana"
-70.711944,-16.165556,"Belloa kunthiana"
-69.11611,-14.66333,"Belloa kunthiana"
134.097,35.0889,"Belloa kunthiana"
-78.16666,-0.48333,"Belloa kunthiana"
-78.17,-0.48,"Belloa kunthiana"
-78.77,-1.47,"Belloa kunthiana"
-78.45,-1.75,"Belloa kunthiana"
-79.25,-2.75,"Belloa kunthiana"
-78.17,-0.5,"Belloa kunthiana"
-68.05,-16.3,"Belloa kunthiana"
-78.3,-1.23,"Belloa kunthiana"
-68.15,-16.32,"Belloa kunthiana"
-78.57,-0.17,"Belloa kunthiana"
-78.7,-0.67,"Belloa kunthiana"
-78.02,0.02,"Belloa kunthiana"
-78.7,-0.65,"Belloa kunthiana"
-78.4,-1.68,"Belloa kunthiana"
-67.58,-16.58,"Belloa kunthiana"
-67.75,-16.75,"Belloa kunthiana"
-67.75,-16.58,"Belloa kunthiana"
-75.37823,5.070875,"Belloa kunthiana"
-78.96666,-1.38333,"Belloa kunthiana"
-78.97,-1.38,"Belloa kunthiana"
-78.86666,-1.38333,"Belloa kunthiana"
-72.066667,-13.266667,"Belloa kunthiana"
-78.2,-0.25,"Belloa kunthiana"
-75.3606,4.8353,"Belloa kunthiana"
-75.3144,4.9375,"Belloa kunthiana"
-73.788815,4.678701,"Belloa kunthiana"
-77.788815,4.678701,"Belloa kunthiana"
-68.05,-16.333333,"Belloa kunthiana"
0,0,"Belloa kunthiana"
-68.05,-16.33,"Belloa kunthiana"
-67.9,-16.48333,"Belloa kunthiana"
-67.9,-16.483333,"Belloa kunthiana"
-77.41666,-9.38333,"Belloa kunthiana"
-68.11666,-16.26666,"Belloa kunthiana"
-78.833,-1.5,"Belloa kunthiana"
-78.83,-1.5,"Belloa kunthiana"
-67.966667,-16.533333,"Belloa kunthiana"
-67.96666,-16.53333,"Belloa kunthiana"
-74.1068,3.99447,"Belloa kunthiana"
-74.1323,3.9399,"Belloa kunthiana"
-78.28,-1.22,"Belloa kunthiana"
-78.28333,-1.21666,"Belloa kunthiana"
-78.283,-1.216,"Belloa kunthiana"
-78.283333,-1.216667,"Belloa kunthiana"
-78.16666,-0.5,"Belloa kunthiana"
-72.7262,6.9922,"Belloa kunthiana"
-72.177635,6.499535,"Belloa kunthiana"
-72.310537,6.396408,"Belloa kunthiana"
-72.315038,6.407487,"Belloa kunthiana"
-72.3105,6.4049,"Belloa kunthiana"
-72.312038,6.405871,"Belloa kunthiana"
-72.310076,6.403448,"Belloa kunthiana"
-72.297496,6.351052,"Belloa kunthiana"
-72.302574,6.350128,"Belloa kunthiana"
-72.298073,6.351052,"Belloa kunthiana"
-72.295534,6.350705,"Belloa kunthiana"
-72.324665,6.34632,"Belloa kunthiana"
-72.292072,6.35082,"Belloa kunthiana"
-72.287559,6.329109,"Belloa kunthiana"
-74.1068,3.9447,"Belloa kunthiana"
-71.1667,8.5,"Belloa kunthiana"
-78.767071,-1.427421,"Belloa kunthiana"
-74.14,-9.1839,"Belloa kunthiana"
-78.1869,-1.4628,"Belloa kunthiana"
-75.34949,4.75673,"Belloa kunthiana"
-65.73,-22.76,"Belloa kunthiana"
-68.19111,-14.82278,"Belloa kunthiana"
-75.25,4.791667,"Belloa kunthiana"
-66.35,-17.31666,"Belloa kunthiana"
-75.333333,4.791667,"Belloa kunthiana"
-73.737244,4.51643,"Belloa kunthiana"
-75.350278,4.934444,"Belloa kunthiana"
-75.360556,4.835278,"Belloa kunthiana"
-73.48,4.73,"Belloa kunthiana"
-65.9,-22.74,"Belloa kunthiana"
-52.8731,-10.8339,"Belloa kunthiana"
-72.315229,6.330108,"Belloa kunthiana"
-75.405833,4.793333,"Belloa kunthiana"
-72.321447,6.488054,"Belloa kunthiana"
-74.145309,3.929336,"Belloa kunthiana"
