"lon","lat","species.name"
8.85033,40.037601,"Lupinus microphyllus"
-76.078139,3.536944,"Lupinus microphyllus"
-76.077972,3.537583,"Lupinus microphyllus"
-76.077861,3.537278,"Lupinus microphyllus"
-78.183056,-0.463611,"Lupinus microphyllus"
-75.487553,4.813687,"Lupinus microphyllus"
-75.592833,4.366833,"Lupinus microphyllus"
-75.487934,4.813478,"Lupinus microphyllus"
-75.413995,4.652873,"Lupinus microphyllus"
-75.797861,4.001417,"Lupinus microphyllus"
-75.797833,4.001861,"Lupinus microphyllus"
-75.967722,3.975222,"Lupinus microphyllus"
-75.800639,4.000833,"Lupinus microphyllus"
-75.966722,3.976167,"Lupinus microphyllus"
14.833117,37.127266,"Lupinus microphyllus"
-78.200972,-0.492305,"Lupinus microphyllus"
-64.57305,-21.90361,"Lupinus microphyllus"
-77.881226,0.668263,"Lupinus microphyllus"
-79.205,-2.785833,"Lupinus microphyllus"
-78.43805,-1.08694,"Lupinus microphyllus"
-78.21666,-0.41666,"Lupinus microphyllus"
-78.16666,-0.46666,"Lupinus microphyllus"
-78.19111,-0.49666,"Lupinus microphyllus"
-78.16944,-0.49166,"Lupinus microphyllus"
-78.58333,-0.18333,"Lupinus microphyllus"
-78.76666,-1.46666,"Lupinus microphyllus"
-79.25,-2.75,"Lupinus microphyllus"
-78.45,-1.75,"Lupinus microphyllus"
-78.75,-1.33333,"Lupinus microphyllus"
-78.81666,-1.35,"Lupinus microphyllus"
-78.13333,-0.45,"Lupinus microphyllus"
-78.583,-0.166,"Lupinus microphyllus"
-78.41666,-0.66666,"Lupinus microphyllus"
-78.58333,-0.16666,"Lupinus microphyllus"
-78.68333,-0.63333,"Lupinus microphyllus"
-78.01666,0.03333,"Lupinus microphyllus"
-78.05,0.01666,"Lupinus microphyllus"
-78.6,-0.18333,"Lupinus microphyllus"
-78.866667,-1.416667,"Lupinus microphyllus"
-78.86666,-1.41666,"Lupinus microphyllus"
-78.78333,-1.4,"Lupinus microphyllus"
-78.56666,-0.16666,"Lupinus microphyllus"
-78.7,-0.66666,"Lupinus microphyllus"
-78.01666,0.01666,"Lupinus microphyllus"
-78.43333,-0.65,"Lupinus microphyllus"
-78.35,0.35,"Lupinus microphyllus"
-78.8,-1.46666,"Lupinus microphyllus"
-78.51666,-0.58333,"Lupinus microphyllus"
-78.96666,-1.38333,"Lupinus microphyllus"
-78.81666,-1.4,"Lupinus microphyllus"
-78.4,0.51666,"Lupinus microphyllus"
-78.16666,-0.43333,"Lupinus microphyllus"
-78.08333,-0.46666,"Lupinus microphyllus"
-78.366667,0.3,"Lupinus microphyllus"
-78.616,-0.666,"Lupinus microphyllus"
-78.61666,-0.66666,"Lupinus microphyllus"
-78.55,-0.18333,"Lupinus microphyllus"
-78.55,-0.183,"Lupinus microphyllus"
-79,-1.41666,"Lupinus microphyllus"
-78.483333,-0.633333,"Lupinus microphyllus"
-78.33333,-0.75,"Lupinus microphyllus"
-78.333,-0.75,"Lupinus microphyllus"
-78.55,-0.63333,"Lupinus microphyllus"
-78.8,-1.4,"Lupinus microphyllus"
-68.11666,-16.28333,"Lupinus microphyllus"
-72.066667,-13.266667,"Lupinus microphyllus"
-67.96666,-16.3,"Lupinus microphyllus"
-79.38333,-2.66666,"Lupinus microphyllus"
-79.383,-2.666,"Lupinus microphyllus"
-78.53333,-1.8,"Lupinus microphyllus"
-78.25,-0.333333,"Lupinus microphyllus"
-78.26666,0.11666,"Lupinus microphyllus"
-78.7,-0.633333,"Lupinus microphyllus"
-77.95,-8.81666,"Lupinus microphyllus"
-77.36666,-9.53333,"Lupinus microphyllus"
-77.25,-9.48333,"Lupinus microphyllus"
-77.6,-8.91666,"Lupinus microphyllus"
-77.41666,-9.36666,"Lupinus microphyllus"
-77.416667,-9.366667,"Lupinus microphyllus"
-68.13333,-16.3,"Lupinus microphyllus"
-77.18333,-9.86666,"Lupinus microphyllus"
-77.76666,-8.88333,"Lupinus microphyllus"
-77.233333,-9.683333,"Lupinus microphyllus"
-77.683333,-8.883333,"Lupinus microphyllus"
-77.68333,-8.88333,"Lupinus microphyllus"
-71.93333,-13.5,"Lupinus microphyllus"
-77.4,-9.5,"Lupinus microphyllus"
-77.45,-9.45,"Lupinus microphyllus"
-77.21666,-9.96666,"Lupinus microphyllus"
