"lon","lat","species.name"
-112.459275,42.827642,"Lupinus sericeus"
-119.587782,49.016456,"Lupinus sericeus"
-119.582509,49.022837,"Lupinus sericeus"
-114.251237,46.085974,"Lupinus sericeus"
-113.911467,49.036165,"Lupinus sericeus"
-119.342937,47.586446,"Lupinus sericeus"
-106.2586,37.19912,"Lupinus sericeus"
-113.514084,43.39867,"Lupinus sericeus"
-113.49369,48.9979199990662,"Lupinus sericeus"
-121.502,46.94627,"Lupinus sericeus"
-120.189558,48.463663,"Lupinus sericeus"
-112.22722,32.71482,"Lupinus sericeus"
8.06242,50.900002,"Lupinus sericeus"
-112.343192,48.639983,"Lupinus sericeus"
-103.850278,43.922222,"Lupinus sericeus"
-118.721033,47.757578,"Lupinus sericeus"
-111.24601,39.66248,"Lupinus sericeus"
-110.03675,49.6790169990696,"Lupinus sericeus"
-114.05234,43.16369,"Lupinus sericeus"
-104.436667,44.466639,"Lupinus sericeus"
-114.5489,43.3421,"Lupinus sericeus"
-119.90066,47.48786,"Lupinus sericeus"
-118.55721,47.5004,"Lupinus sericeus"
-108.317532,38.086618,"Lupinus sericeus"
-112.270554,37.819035,"Lupinus sericeus"
-113.57106,46.23473,"Lupinus sericeus"
-113.34479,46.13425,"Lupinus sericeus"
-120.842033,47.09935,"Lupinus sericeus"
-121.143817,46.763733,"Lupinus sericeus"
-114.311849,49.8005999990703,"Lupinus sericeus"
-120.94285,47.444083,"Lupinus sericeus"
-105,39,"Lupinus sericeus"
-111.708333,38.113889,"Lupinus sericeus"
-120.6034,42.655633,"Lupinus sericeus"
-114.933333,42.866667,"Lupinus sericeus"
-109.6,39.17,"Lupinus sericeus"
-119.942033,48.662033,"Lupinus sericeus"
-115.069167,44.255278,"Lupinus sericeus"
-115.069,44.2553,"Lupinus sericeus"
-115.03,44.26,"Lupinus sericeus"
0,0,"Lupinus sericeus"
-113.3273,43.493478,"Lupinus sericeus"
-118.04,46.95,"Lupinus sericeus"
-112.17,38.07,"Lupinus sericeus"
-117.113833,45.337333,"Lupinus sericeus"
-117.1138,45.3374,"Lupinus sericeus"
-118.930556,44.953889,"Lupinus sericeus"
-111.71,40.44,"Lupinus sericeus"
-111.175,40.1218999990701,"Lupinus sericeus"
-112.272117,39.295617,"Lupinus sericeus"
-112.25,37.78,"Lupinus sericeus"
-113.98,37.5,"Lupinus sericeus"
-113.75,36.81,"Lupinus sericeus"
-112.14,37.7,"Lupinus sericeus"
-110,47,"Lupinus sericeus"
-113.5,37.4,"Lupinus sericeus"
-114.67635,43.69435,"Lupinus sericeus"
-118.215556,48.556111,"Lupinus sericeus"
-114.233333,49.5,"Lupinus sericeus"
