"lon","lat","species.name"
168.531586,-45.321868,"Luzula pumila"
168.294703,-44.451837,"Luzula pumila"
167.437069,-45.065587,"Luzula pumila"
167.38658,-45.750828,"Luzula pumila"
169.914808,-44.649801,"Luzula pumila"
169.174573,-45.37734,"Luzula pumila"
172.944975,-41.609731,"Luzula pumila"
169.19176,-45.30301,"Luzula pumila"
166.9517,-45.2656,"Luzula pumila"
166.9519,-45.2653,"Luzula pumila"
167.5093,-45.6769,"Luzula pumila"
167.5279,-45.6629,"Luzula pumila"
167.5286,-45.6635,"Luzula pumila"
167.5201,-45.6867,"Luzula pumila"
167.5307,-45.6426,"Luzula pumila"
167.5277,-45.6505,"Luzula pumila"
167.5286,-45.6666,"Luzula pumila"
167.527,-45.6689,"Luzula pumila"
167.5204,-45.6869,"Luzula pumila"
167.5249,-45.6867,"Luzula pumila"
167.5248,-45.6861,"Luzula pumila"
167.5274,-45.6501,"Luzula pumila"
167.5085,-45.6775,"Luzula pumila"
167.5079,-45.6783,"Luzula pumila"
167.5268,-45.6598,"Luzula pumila"
167.5145,-45.6772,"Luzula pumila"
167.5279,-45.6674,"Luzula pumila"
167.5282,-45.647,"Luzula pumila"
167.5284,-45.6589,"Luzula pumila"
167.5265,-45.6596,"Luzula pumila"
167.5267,-45.6589,"Luzula pumila"
167.5274,-45.6636,"Luzula pumila"
167.5274,-45.6662,"Luzula pumila"
167.5101,-45.677,"Luzula pumila"
167.5278,-45.6586,"Luzula pumila"
167.5197,-45.6867,"Luzula pumila"
167.5285,-45.647,"Luzula pumila"
167.5097,-45.677,"Luzula pumila"
167.508,-45.6781,"Luzula pumila"
167.5196,-45.6869,"Luzula pumila"
167.5276,-45.6691,"Luzula pumila"
167.5268,-45.6494,"Luzula pumila"
167.5288,-45.6633,"Luzula pumila"
167.5282,-45.6627,"Luzula pumila"
167.5269,-45.6668,"Luzula pumila"
167.5294,-45.6414,"Luzula pumila"
167.5242,-45.6861,"Luzula pumila"
167.5304,-45.6405,"Luzula pumila"
167.5152,-45.6467,"Luzula pumila"
167.51,-45.6767,"Luzula pumila"
167.5085,-45.6789,"Luzula pumila"
167.5228,-45.687,"Luzula pumila"
167.52,-45.6872,"Luzula pumila"
167.5273,-45.666,"Luzula pumila"
167.5298,-45.6409,"Luzula pumila"
167.5275,-45.65,"Luzula pumila"
167.5272,-45.669,"Luzula pumila"
167.5082,-45.6797,"Luzula pumila"
167.5079,-45.6795,"Luzula pumila"
167.5219,-45.6873,"Luzula pumila"
167.5272,-45.6677,"Luzula pumila"
167.5139,-45.6686,"Luzula pumila"
167.5306,-45.6397,"Luzula pumila"
167.529,-45.6623,"Luzula pumila"
167.522,-45.6885,"Luzula pumila"
