"lon","lat","species.name"
-77.822111,-7.108917,"Luzula racemosa"
-68.915833,-17.543333,"Luzula racemosa"
-72.28122,6.363,"Luzula racemosa"
-72.34501,6.49066,"Luzula racemosa"
-72.27377,6.45468,"Luzula racemosa"
-72.30242,6.34935,"Luzula racemosa"
-77.678806,-7.071361,"Luzula racemosa"
-77.719139,-6.98125,"Luzula racemosa"
-65.108333,-22.483611,"Luzula racemosa"
-77.708667,-7.077556,"Luzula racemosa"
-70.8275,8.845,"Luzula racemosa"
-74.207535,4.289578,"Luzula racemosa"
-68.981611,-14.897944,"Luzula racemosa"
-70.707222,-16.172222,"Luzula racemosa"
-68.786639,-14.892194,"Luzula racemosa"
-72.98,-49.34,"Luzula racemosa"
-72.06756,-47.73192,"Luzula racemosa"
-72.23098,-47.73932,"Luzula racemosa"
-72.36557,-47.74994,"Luzula racemosa"
-72.11786,-47.92071,"Luzula racemosa"
-69.08694,-14.72,"Luzula racemosa"
-69.093333,-14.684444,"Luzula racemosa"
-69.1075,-14.585555,"Luzula racemosa"
-69.10916,-14.67527,"Luzula racemosa"
-69.087222,-15.465556,"Luzula racemosa"
-66.720278,-18.933889,"Luzula racemosa"
-66.14527,-17.32638,"Luzula racemosa"
-72,-13.11666,"Luzula racemosa"
-103.617,19.566,"Luzula racemosa"
-71.9575,-15.402778,"Luzula racemosa"
-68.97777,-14.69083,"Luzula racemosa"
-78.57,-7.03,"Luzula racemosa"
-71.41,-37.38,"Luzula racemosa"
-99.760389,19.106472,"Luzula racemosa"
-99.76,19.106,"Luzula racemosa"
-91.89833,15.20361,"Luzula racemosa"
-78.98333,-2.46666,"Luzula racemosa"
-78.983,-2.466,"Luzula racemosa"
-79.466,-3.5,"Luzula racemosa"
-79.46666,-3.5,"Luzula racemosa"
-78.45,-1.71666,"Luzula racemosa"
-78.16666,-0.46666,"Luzula racemosa"
-74.204722,4.276667,"Luzula racemosa"
-78.16666,-0.48333,"Luzula racemosa"
-78.33333,0.41666,"Luzula racemosa"
-102.24,19.422,"Luzula racemosa"
-102.258509955601,19.4117196317107,"Luzula racemosa"
-102.233333,19.421667,"Luzula racemosa"
-102.258,19.411,"Luzula racemosa"
-102.24,19.421667,"Luzula racemosa"
-91.59861,15.52722,"Luzula racemosa"
-65.2,-22.2,"Luzula racemosa"
-78.566,-0.166,"Luzula racemosa"
-78.56666,-0.16666,"Luzula racemosa"
-74.187927,4.188878,"Luzula racemosa"
-99.083333,19.130556,"Luzula racemosa"
-99.083,19.131,"Luzula racemosa"
-78.51666,-0.58333,"Luzula racemosa"
-70.828333,8.799444,"Luzula racemosa"
-78.183,-0.333,"Luzula racemosa"
-78.466,-0.633,"Luzula racemosa"
-78.18333,-0.33333,"Luzula racemosa"
-78.46666,-0.63333,"Luzula racemosa"
-78.966667,-1.383333,"Luzula racemosa"
-78.96666,-1.38333,"Luzula racemosa"
-78.8,-0.88333,"Luzula racemosa"
-78.916,-1,"Luzula racemosa"
-78.8,-0.883,"Luzula racemosa"
-78.91666,-1,"Luzula racemosa"
-78.96666,-1.45,"Luzula racemosa"
-67.31666,-16.91666,"Luzula racemosa"
-67.31666,-16.9,"Luzula racemosa"
-75.2994,4.9194,"Luzula racemosa"
-72.541905,6.069914,"Luzula racemosa"
-67.26666,-16.76666,"Luzula racemosa"
-70.533333,-36.016667,"Luzula racemosa"
-72.5,-12.5,"Luzula racemosa"
-68.65,-15.75,"Luzula racemosa"
-106.181389,25.1,"Luzula racemosa"
-106.408333,25.108333,"Luzula racemosa"
-106.4,25.1,"Luzula racemosa"
-78.38333,-0.63333,"Luzula racemosa"
-77.718101,1.081458,"Luzula racemosa"
-77.718101,1.080458,"Luzula racemosa"
-73.9992,5.2196,"Luzula racemosa"
-72.06527,-13.35416,"Luzula racemosa"
-77.926712,0.825663,"Luzula racemosa"
-75.409862,4.687316,"Luzula racemosa"
-73.800876,4.567145,"Luzula racemosa"
-72.06666,-13.26666,"Luzula racemosa"
-72.2,-40.766667,"Luzula racemosa"
-68,-16.56666,"Luzula racemosa"
-77.5,-7.66666,"Luzula racemosa"
-73.756585,4.636355,"Luzula racemosa"
-73.950777,5.197629,"Luzula racemosa"
-78.55,-0.63333,"Luzula racemosa"
-78.466,-0.616,"Luzula racemosa"
-68.06666,-16.5,"Luzula racemosa"
-78.55,-0.633,"Luzula racemosa"
-78.466667,-0.616667,"Luzula racemosa"
-78.2,-0.35,"Luzula racemosa"
-68.11666,-16.28333,"Luzula racemosa"
-77.353106,1.219819,"Luzula racemosa"
-77.367654,1.20802,"Luzula racemosa"
-68.116667,-16.283333,"Luzula racemosa"
-64.883331,-21.483334,"Luzula racemosa"
-72.066667,-13.266667,"Luzula racemosa"
-71.5,-13.08333,"Luzula racemosa"
-68.11666,-16.2,"Luzula racemosa"
-100.6,19.817,"Luzula racemosa"
-74.12113,4.314381,"Luzula racemosa"
-101.943333,19.466667,"Luzula racemosa"
-78.38333,-1.48333,"Luzula racemosa"
-74.007854,5.228401,"Luzula racemosa"
-67.98333,-16.31666,"Luzula racemosa"
-77.28333,-9.88333,"Luzula racemosa"
-72.05,-13.35,"Luzula racemosa"
-77.966667,-8.833333,"Luzula racemosa"
-77.95,-8.81666,"Luzula racemosa"
-77.25,-9.466667,"Luzula racemosa"
-77.25,-9.46666,"Luzula racemosa"
0,0,"Luzula racemosa"
-77.28333,-9.36666,"Luzula racemosa"
-77.26666,-9.38333,"Luzula racemosa"
-99.3024,19.06405,"Luzula racemosa"
-103.608333,19.563333,"Luzula racemosa"
-103.6,19.563333,"Luzula racemosa"
-103.608,19.563,"Luzula racemosa"
-67.83333,-16.3,"Luzula racemosa"
-97.26,19.04,"Luzula racemosa"
-97.26666,19.05,"Luzula racemosa"
-71.9,-13.166667,"Luzula racemosa"
-76.409386,2.3326,"Luzula racemosa"
-77.56666,-8.98333,"Luzula racemosa"
-68.11666,-16.21666,"Luzula racemosa"
-77.55,-9,"Luzula racemosa"
-77.68333,-9.08333,"Luzula racemosa"
-77.433333,-9.483333,"Luzula racemosa"
-77.41666,-9.38333,"Luzula racemosa"
-68.13333,-16.3,"Luzula racemosa"
-79.033,-3.166,"Luzula racemosa"
-78.61666,-0.03333,"Luzula racemosa"
-77.73333,-8.83333,"Luzula racemosa"
-77.683333,-8.883333,"Luzula racemosa"
-78.18333,-0.28333,"Luzula racemosa"
-77.75,-8.85,"Luzula racemosa"
-77.75,-8.75,"Luzula racemosa"
-77.18333,-9.86666,"Luzula racemosa"
-68.15,-16.43333,"Luzula racemosa"
-77.6,-9.01666,"Luzula racemosa"
-68.11666,-16.26666,"Luzula racemosa"
-68.116667,-16.3,"Luzula racemosa"
-68.11666,-16.3,"Luzula racemosa"
-77.566667,-8.983333,"Luzula racemosa"
-77.45,-9.45,"Luzula racemosa"
-77.21666,-9.96666,"Luzula racemosa"
-78.66666,-0.61666,"Luzula racemosa"
-78.666,-0.616,"Luzula racemosa"
-78.58333,-0.23333,"Luzula racemosa"
-78.583,-0.233,"Luzula racemosa"
-77.58333,-9.05,"Luzula racemosa"
-77.75,-9.5,"Luzula racemosa"
-77.5,-9.11666,"Luzula racemosa"
-77.51666,-9.11666,"Luzula racemosa"
-77.25,-9.7,"Luzula racemosa"
-99.325,19.275,"Luzula racemosa"
