"lon","lat","species.name"
168.531303,-45.324055,"Marsippospermum gracile"
168.294703,-44.451837,"Marsippospermum gracile"
169.210244,-45.406574,"Marsippospermum gracile"
169.752545,-43.637231,"Marsippospermum gracile"
169.720268,-43.958358,"Marsippospermum gracile"
169.156,-52.5098,"Marsippospermum gracile"
171.277544,-42.914776,"Marsippospermum gracile"
171.272557,-42.922265,"Marsippospermum gracile"
171.274799,-42.920948,"Marsippospermum gracile"
171.269419,-42.924919,"Marsippospermum gracile"
171.525228,-42.906168,"Marsippospermum gracile"
171.522113,-42.903247,"Marsippospermum gracile"
170.6099,-44.2824,"Marsippospermum gracile"
171.277669,-42.914687,"Marsippospermum gracile"
171.280601,-42.915002,"Marsippospermum gracile"
171.275275,-42.91267,"Marsippospermum gracile"
171.1461,-43.2306,"Marsippospermum gracile"
169.21,-45.36,"Marsippospermum gracile"
171.1165,-43.1984,"Marsippospermum gracile"
171.2391,-43.3445,"Marsippospermum gracile"
168.826,-45.0724,"Marsippospermum gracile"
171.274815,-42.911583,"Marsippospermum gracile"
171.341,-42.9458,"Marsippospermum gracile"
170.845,-43.1968,"Marsippospermum gracile"
170.584,-43.1997,"Marsippospermum gracile"
170.6392,-43.4984,"Marsippospermum gracile"
170.6479,-43.5215,"Marsippospermum gracile"
170.6358,-43.5009,"Marsippospermum gracile"
170.654,-43.4903,"Marsippospermum gracile"
170.6811,-43.4922,"Marsippospermum gracile"
170.6552,-43.487,"Marsippospermum gracile"
171.1286,-43.1554,"Marsippospermum gracile"
171.1263,-43.1529,"Marsippospermum gracile"
171.607,-43.1934,"Marsippospermum gracile"
170.0811,-43.7694,"Marsippospermum gracile"
170.6232,-43.5082,"Marsippospermum gracile"
170.0219,-43.7744,"Marsippospermum gracile"
170.08,-43.7677,"Marsippospermum gracile"
169.9909,-43.788,"Marsippospermum gracile"
169.9643,-43.8535,"Marsippospermum gracile"
170.1976,-43.7379,"Marsippospermum gracile"
170.1954,-43.7354,"Marsippospermum gracile"
170.0256,-43.8115,"Marsippospermum gracile"
170.2682,-43.5617,"Marsippospermum gracile"
170.5741,-43.5415,"Marsippospermum gracile"
170.0253,-43.7769,"Marsippospermum gracile"
169.9631,-43.8526,"Marsippospermum gracile"
170.0156,-43.8467,"Marsippospermum gracile"
170.6221,-43.509,"Marsippospermum gracile"
170.2671,-43.5625,"Marsippospermum gracile"
169.199,-45.388,"Marsippospermum gracile"
169.8467,-44.0345,"Marsippospermum gracile"
169.8018,-43.9672,"Marsippospermum gracile"
171.132,-43.1381,"Marsippospermum gracile"
171.1332,-43.1373,"Marsippospermum gracile"
172.381,-42.2624,"Marsippospermum gracile"
170.76,-43.5655,"Marsippospermum gracile"
169.5815,-44.1925,"Marsippospermum gracile"
169.5781,-44.1908,"Marsippospermum gracile"
169.96,-43.9736,"Marsippospermum gracile"
169.5694,-44.2129,"Marsippospermum gracile"
169.5681,-44.2169,"Marsippospermum gracile"
169.568,-44.2194,"Marsippospermum gracile"
169.762,-44.2411,"Marsippospermum gracile"
168.1147,-44.4604,"Marsippospermum gracile"
168.1143,-44.467,"Marsippospermum gracile"
168.1171,-44.4588,"Marsippospermum gracile"
168.1765,-44.4244,"Marsippospermum gracile"
167.07,-45.312,"Marsippospermum gracile"
172.0877,-43.0516,"Marsippospermum gracile"
168.3676,-44.5904,"Marsippospermum gracile"
168.3065,-44.5654,"Marsippospermum gracile"
168.335,-44.5566,"Marsippospermum gracile"
168.3651,-44.5903,"Marsippospermum gracile"
172.2163,-42.9184,"Marsippospermum gracile"
172.291,-42.2984,"Marsippospermum gracile"
168.3335,-44.543,"Marsippospermum gracile"
168.3068,-44.578,"Marsippospermum gracile"
