"lon","lat","species.name"
10.380645,51.917347,"Sabulina verna"
3.17799,45.77407,"Sabulina verna"
2.23469,47.0504,"Sabulina verna"
-9.353263,53.074269,"Sabulina verna"
8.904198,51.531326,"Sabulina verna"
5.76017,45.31939,"Sabulina verna"
-9.755904,53.123378,"Sabulina verna"
-9.695476,53.106281,"Sabulina verna"
0.27006,42.89502,"Sabulina verna"
13.04,47.57,"Sabulina verna"
13.05,47.57,"Sabulina verna"
-0.74047,42.9769,"Sabulina verna"
5.59317,44.76167,"Sabulina verna"
5.62746,44.7488,"Sabulina verna"
7.10836,45.36737,"Sabulina verna"
6.94659,45.56024,"Sabulina verna"
6.73366,44.82,"Sabulina verna"
6.59219,44.30089,"Sabulina verna"
11.46035,47.339267,"Sabulina verna"
6.40106,45.03681,"Sabulina verna"
19.75885,42.419933,"Sabulina verna"
20.189433,40.618717,"Sabulina verna"
10.351667,47.40667,"Sabulina verna"
10.494473,51.924561,"Sabulina verna"
-8.993018,53.078269,"Sabulina verna"
24.077167,41.295717,"Sabulina verna"
12.95,47.49,"Sabulina verna"
6.40153,45.05891,"Sabulina verna"
-4.8266442831892,43.1692737112356,"Sabulina verna"
-4.80425352780042,43.1537986046313,"Sabulina verna"
10.188889,51.850277,"Sabulina verna"
6.51296,43.70564,"Sabulina verna"
7.956751,52.2099,"Sabulina verna"
12.2,47.3,"Sabulina verna"
24.62222,45.6025,"Sabulina verna"
1.40946,42.55509,"Sabulina verna"
25.475,45.40667,"Sabulina verna"
6.86373,44.30264,"Sabulina verna"
10.49002,59.84298,"Sabulina verna"
5.829,50.54,"Sabulina verna"
7.51528,44.07028,"Sabulina verna"
13.5,47.2,"Sabulina verna"
6.244306,50.737473,"Sabulina verna"
6.231389,50.749722,"Sabulina verna"
12.7,47.2,"Sabulina verna"
5.92958,45.05338,"Sabulina verna"
9.8,45.9,"Sabulina verna"
13.1,47.6,"Sabulina verna"
12.99222,46.94889,"Sabulina verna"
-2.342068,54.878926,"Sabulina verna"
-2.336587,54.875796,"Sabulina verna"
20.0353,48.7497,"Sabulina verna"
-2.493412,54.956138,"Sabulina verna"
7.49568,44.069,"Sabulina verna"
-2.567,42.6,"Sabulina verna"
5.91144,44.66084,"Sabulina verna"
12.8,47.1,"Sabulina verna"
5.91132,44.66064,"Sabulina verna"
0.08557,42.86892,"Sabulina verna"
6.000139,50.69989,"Sabulina verna"
12.3,47.2,"Sabulina verna"
12.2,47.2,"Sabulina verna"
1.496,42.585,"Sabulina verna"
12.625,47.0417,"Sabulina verna"
12.1,47.2,"Sabulina verna"
10.8,45.7,"Sabulina verna"
12.7,47,"Sabulina verna"
88.059448,49.305279,"Sabulina verna"
88.152222,49.43639,"Sabulina verna"
8.876953,48.21232,"Sabulina verna"
12.8,47.2,"Sabulina verna"
6.63111,44.07587,"Sabulina verna"
7.0201,44.81821,"Sabulina verna"
13.7,46.4,"Sabulina verna"
7.716667,44.061389,"Sabulina verna"
22.33389,37.09528,"Sabulina verna"
15.625,47.675,"Sabulina verna"
1.45,42.54,"Sabulina verna"
-4.700677,43.20055,"Sabulina verna"
-4.78,43.169998,"Sabulina verna"
-4.63,43.299999,"Sabulina verna"
-4.79,43.080002,"Sabulina verna"
8.08362,47.4954,"Sabulina verna"
11.413511,47.269668,"Sabulina verna"
11.499166,46.518949,"Sabulina verna"
-4.82,43.220001,"Sabulina verna"
1.704,42.559,"Sabulina verna"
1.716,42.532,"Sabulina verna"
1.448,42.539,"Sabulina verna"
1.691,42.568,"Sabulina verna"
1.716,42.541,"Sabulina verna"
-4.81,43.16,"Sabulina verna"
0.916,42.771,"Sabulina verna"
1.632,42.46,"Sabulina verna"
1.046822,42.603035,"Sabulina verna"
1.045637,42.600394,"Sabulina verna"
1.581,42.585,"Sabulina verna"
1.63,42.559,"Sabulina verna"
1.57,42.558,"Sabulina verna"
-4.7,43.200001,"Sabulina verna"
1.545,42.576,"Sabulina verna"
10.528717,51.710018,"Sabulina verna"
9.364043,52.100974,"Sabulina verna"
1.448,42.557,"Sabulina verna"
1.436,42.557,"Sabulina verna"
88.12611,49.50556,"Sabulina verna"
6.6251,44.08832,"Sabulina verna"
143.289167,50.756617,"Sabulina verna"
6.70578,44.10435,"Sabulina verna"
-0.13,42.82,"Sabulina verna"
12.6,47.1,"Sabulina verna"
13.61,42.33,"Sabulina verna"
13.55,42.43,"Sabulina verna"
13.43,42.65,"Sabulina verna"
13.4333,42.65,"Sabulina verna"
14.45833,47.475,"Sabulina verna"
10.232,46.989,"Sabulina verna"
-4.97,43.220001,"Sabulina verna"
139.153,36.8728,"Sabulina verna"
11.052933,49.771509,"Sabulina verna"
13.713,46.552,"Sabulina verna"
142.811067,54.2803,"Sabulina verna"
142.818517,54.274717,"Sabulina verna"
13.683333,46.55,"Sabulina verna"
13.7,46.9,"Sabulina verna"
-2.71,41.61,"Sabulina verna"
1.655,42.523,"Sabulina verna"
1.704,42.505,"Sabulina verna"
1.655,42.505,"Sabulina verna"
14.911851,46.499652,"Sabulina verna"
27.98,42.06,"Sabulina verna"
27.67,42.4,"Sabulina verna"
28.8,37.07,"Sabulina verna"
11.5525,51.631111,"Sabulina verna"
-0.787,42.967,"Sabulina verna"
-0.79,42.959999,"Sabulina verna"
-0.77,42.96,"Sabulina verna"
-0.787,42.966999,"Sabulina verna"
-0.774,42.967,"Sabulina verna"
-0.79,42.95,"Sabulina verna"
10.54,47.52,"Sabulina verna"
21.283333,40.783333,"Sabulina verna"
14.48667,46.50667,"Sabulina verna"
21.9,40.95,"Sabulina verna"
-2.73,42.25,"Sabulina verna"
6.010722,50.710804,"Sabulina verna"
13.066667,47.054167,"Sabulina verna"
-2.77,42.15,"Sabulina verna"
-7.86,31.2,"Sabulina verna"
13.5631,47.6147,"Sabulina verna"
137.754,36.7946,"Sabulina verna"
10.12,47.37,"Sabulina verna"
10.21,47.32,"Sabulina verna"
10.46,47.47,"Sabulina verna"
10.46,47.52,"Sabulina verna"
-0.755,42.821999,"Sabulina verna"
0.38,42.58,"Sabulina verna"
0.2,42.61,"Sabulina verna"
14.0333,47.6667,"Sabulina verna"
139.18,36.9064,"Sabulina verna"
11.79,47.62,"Sabulina verna"
-5.95,43.060001,"Sabulina verna"
-4.85,43.16,"Sabulina verna"
11.04167,46.825,"Sabulina verna"
12.9,47.1,"Sabulina verna"
1.55,42.54,"Sabulina verna"
11.29,47.47,"Sabulina verna"
11.37,47.47,"Sabulina verna"
11.37,47.52,"Sabulina verna"
10.37,47.37,"Sabulina verna"
1.448,42.548,"Sabulina verna"
14.1772,47.6347,"Sabulina verna"
14.2319,47.6483,"Sabulina verna"
14.1828,47.6303,"Sabulina verna"
12.54,47.72,"Sabulina verna"
11.29,47.42,"Sabulina verna"
14.02,37.88,"Sabulina verna"
13.48,37.7,"Sabulina verna"
-3.75,43.97,"Sabulina verna"
12.79,47.62,"Sabulina verna"
13.04,47.62,"Sabulina verna"
12.79,47.52,"Sabulina verna"
10.96,47.52,"Sabulina verna"
10.29,47.32,"Sabulina verna"
-0.836,42.959,"Sabulina verna"
139.151,36.915,"Sabulina verna"
-0.73,42.97,"Sabulina verna"
11.04,47.52,"Sabulina verna"
10.87,47.52,"Sabulina verna"
0,0,"Sabulina verna"
23.683333,41.35,"Sabulina verna"
24.266667,41.383333,"Sabulina verna"
-0.801966,42.920132,"Sabulina verna"
-1.17755,42.647583,"Sabulina verna"
10.87,47.57,"Sabulina verna"
-1.991352,42.864765,"Sabulina verna"
-2.336602,42.633152,"Sabulina verna"
-0.777479,42.919659,"Sabulina verna"
13.3,47.5,"Sabulina verna"
24.166667,40.916667,"Sabulina verna"
-4.84,43.15,"Sabulina verna"
-0.813254,42.947365,"Sabulina verna"
-0.837752,42.94783,"Sabulina verna"
-0.841211,42.848843,"Sabulina verna"
-2.026085,42.991138,"Sabulina verna"
-1.008095,42.986942,"Sabulina verna"
-0.886751,42.948746,"Sabulina verna"
-2.050893,42.973339,"Sabulina verna"
0.58,42.54,"Sabulina verna"
-0.739763,42.945934,"Sabulina verna"
11.96,47.67,"Sabulina verna"
-2.003592,42.864876,"Sabulina verna"
-2.187316,42.857323,"Sabulina verna"
-3.81,42.7,"Sabulina verna"
-5.90778,42.99139,"Sabulina verna"
-1.07,40.05,"Sabulina verna"
12.87,47.62,"Sabulina verna"
-1.965365,42.954586,"Sabulina verna"
12.87,47.57,"Sabulina verna"
11.674645,49.276062,"Sabulina verna"
-4.86,43.220001,"Sabulina verna"
-4.74,43.200001,"Sabulina verna"
12.71,47.67,"Sabulina verna"
-0.766862,42.874432,"Sabulina verna"
