"lon","lat","species.name"
-107.3166,39.76599,"Sabulina macrantha"
-110.6019,40.5786,"Sabulina macrantha"
-111.4856,39.1506,"Sabulina macrantha"
-112.291121040853,36.3410473701787,"Sabulina macrantha"
-107.811731,37.80944,"Sabulina macrantha"
-114.32,38.92,"Sabulina macrantha"
-106.073858,39.305628,"Sabulina macrantha"
-109.99,40.95,"Sabulina macrantha"
-107.55302,37.933465,"Sabulina macrantha"
-107.333341,37.848151,"Sabulina macrantha"
-107.547815,37.793422,"Sabulina macrantha"
-107.625096,37.95499,"Sabulina macrantha"
-111.37,39.32,"Sabulina macrantha"
-115.687678,36.272853,"Sabulina macrantha"
-115.69,36.27,"Sabulina macrantha"
-106.99038,38.95884,"Sabulina macrantha"
-106.6265,37.3214,"Sabulina macrantha"
-106.1172,39.296,"Sabulina macrantha"
0,1,"Sabulina macrantha"
-106.0802,39.3972,"Sabulina macrantha"
-106.7556,39.0203,"Sabulina macrantha"
