"lon","lat","species.name"
24.771738,40.967136,"Minuartia verna"
25.663605,45.728951,"Minuartia verna"
7.411352,45.586834,"Minuartia verna"
-3.95219,51.63756,"Minuartia verna"
24.680141,41.090477,"Minuartia verna"
14.485602,46.504036,"Minuartia verna"
10.423579,46.547291,"Minuartia verna"
7.968521,46.837532,"Minuartia verna"
-2.78267,54.16825,"Minuartia verna"
-5.227631,49.974213,"Minuartia verna"
10.494473,51.924561,"Minuartia verna"
12.822418,47.241016,"Minuartia verna"
10.526533,51.949608,"Minuartia verna"
-4.86518,55.1998,"Minuartia verna"
-4.87414,55.1933,"Minuartia verna"
-4.86374,55.20163,"Minuartia verna"
-4.86956,55.1952,"Minuartia verna"
12.231388,46.198326,"Minuartia verna"
8.449886,46.462551,"Minuartia verna"
-1.71715,53.18176,"Minuartia verna"
-2.8133,54.16805,"Minuartia verna"
-2.81366,54.18602,"Minuartia verna"
-2.78233,54.15028,"Minuartia verna"
-2.81295,54.15007,"Minuartia verna"
-1.59829,53.09153,"Minuartia verna"
11.402349,51.314869,"Minuartia verna"
-1.56806,53.12738,"Minuartia verna"
18.955433,43.13185,"Minuartia verna"
-1.77663,53.2538,"Minuartia verna"
-1.56842,53.09143,"Minuartia verna"
-1.74655,53.27172,"Minuartia verna"
10.412292,47.421001,"Minuartia verna"
-1.74708,53.18183,"Minuartia verna"
-1.71668,53.25367,"Minuartia verna"
-1.77719,53.14594,"Minuartia verna"
12.737703,47.08707,"Minuartia verna"
-3.00783,57.30996,"Minuartia verna"
-1.95651,53.23602,"Minuartia verna"
-4.86962,55.1961,"Minuartia verna"
-5.230554,49.975307,"Minuartia verna"
-1.77645,53.28976,"Minuartia verna"
-1.56825,53.10941,"Minuartia verna"
10.11137,47.366966,"Minuartia verna"
-4.51117,54.37834,"Minuartia verna"
10.899017,48.364731,"Minuartia verna"
-1.74623,53.32565,"Minuartia verna"
10.361326,47.42524,"Minuartia verna"
-1.59795,53.12749,"Minuartia verna"
7.336466,45.580284,"Minuartia verna"
-1.77626,53.32571,"Minuartia verna"
-3.27584,53.26516,"Minuartia verna"
-3.27317,53.17529,"Minuartia verna"
-2.84357,54.14986,"Minuartia verna"
-1.62769,53.14556,"Minuartia verna"
-1.80628,53.32576,"Minuartia verna"
-4.01662,53.07512,"Minuartia verna"
-1.59812,53.10951,"Minuartia verna"
-4.76866,54.085,"Minuartia verna"
-2.4833,54.95932,"Minuartia verna"
-2.4786,54.95844,"Minuartia verna"
-1.68723,53.18169,"Minuartia verna"
