"lon","lat","species.name"
-70.43333,-33.16666,"Montiopsis potentilloides"
-70.28333,-33.31666,"Montiopsis potentilloides"
-70.25,-33.36666,"Montiopsis potentilloides"
-70.43333,-33.18333,"Montiopsis potentilloides"
-70.41666,-33.13333,"Montiopsis potentilloides"
-70.31666,-33.08333,"Montiopsis potentilloides"
-70.43333,-33.15,"Montiopsis potentilloides"
-70.5,-31.71666,"Montiopsis potentilloides"
-70.33333,-33.16666,"Montiopsis potentilloides"
-70.26666,-33.31666,"Montiopsis potentilloides"
-70.28333,-33.33333,"Montiopsis potentilloides"
-70.33333,-33.13333,"Montiopsis potentilloides"
-70.36666,-30.73333,"Montiopsis potentilloides"
-70.38333,-30.73333,"Montiopsis potentilloides"
-70.41666,-30.73333,"Montiopsis potentilloides"
-70.31666,-33.1,"Montiopsis potentilloides"
-70.51666,-30.71666,"Montiopsis potentilloides"
-70.25,-32.51666,"Montiopsis potentilloides"
-70.48333,-31.08333,"Montiopsis potentilloides"
-70.8906,-35.8156,"Montiopsis potentilloides"
-70.76639,-30.54583,"Montiopsis potentilloides"
