"lon","lat","species.name"
-71.260709,-40.754829,"Mulinum spinosum"
-71.332765,-39.067244,"Mulinum spinosum"
-64.498901,-42.464634,"Mulinum spinosum"
-71.211491,-39.794029,"Mulinum spinosum"
-72.979431,-51.137138,"Mulinum spinosum"
-71.37475,-37.381889,"Mulinum spinosum"
-70.558222,-36.011056,"Mulinum spinosum"
-70.020833,-32.981944,"Mulinum spinosum"
-70.020889,-32.981889,"Mulinum spinosum"
-67.734806,-48.522028,"Mulinum spinosum"
-72.06756,-47.73192,"Mulinum spinosum"
-72.11786,-47.92071,"Mulinum spinosum"
-70.42111,-30.74944,"Mulinum spinosum"
-70.45694,-30.74167,"Mulinum spinosum"
-70.4875,-30.73583,"Mulinum spinosum"
-72.95,-50.96666,"Mulinum spinosum"
-70.999722,-35.4725,"Mulinum spinosum"
-69.058056,-32.491944,"Mulinum spinosum"
0,0,"Mulinum spinosum"
-70.508056,-35.945278,"Mulinum spinosum"
-70.374167,-33.303611,"Mulinum spinosum"
-67.08333,-42.45,"Mulinum spinosum"
-69,-32.833333,"Mulinum spinosum"
-72.58333,-51.08333,"Mulinum spinosum"
-69,-33,"Mulinum spinosum"
-70,-38.55,"Mulinum spinosum"
-70.65,-30.166667,"Mulinum spinosum"
-72.75,-45.5,"Mulinum spinosum"
-73,-45,"Mulinum spinosum"
-70.55,-36.183333,"Mulinum spinosum"
-71.166667,-35.5,"Mulinum spinosum"
-71.533333,-38.4,"Mulinum spinosum"
-71.05,-38.733333,"Mulinum spinosum"
-73.48416,-49.32444,"Mulinum spinosum"
-71.37,-37.34,"Mulinum spinosum"
-65.38333,-41.63333,"Mulinum spinosum"
-64.42083,-42.46805,"Mulinum spinosum"
-64.05,-42.68333,"Mulinum spinosum"
-72.17583,-43.53083,"Mulinum spinosum"
-61.95,-38.16666,"Mulinum spinosum"
-67.616667,-49,"Mulinum spinosum"
-71,-41.216,"Mulinum spinosum"
-71.6667,-33.0833,"Mulinum spinosum"
-70.6667,-33.45,"Mulinum spinosum"
-70.16,-32.88,"Mulinum spinosum"
-71.373979,-37.852489,"Mulinum spinosum"
-70.166667,-32.866667,"Mulinum spinosum"
-72.133333,-47.85,"Mulinum spinosum"
-71,-30,"Mulinum spinosum"
-72.09,-49.76,"Mulinum spinosum"
-71.88,-49.19,"Mulinum spinosum"
-68.52,-42.94,"Mulinum spinosum"
-69.18,-44.53,"Mulinum spinosum"
-72.47,-50.34,"Mulinum spinosum"
-69.14,-43.99,"Mulinum spinosum"
-69.59,-35.75,"Mulinum spinosum"
-70.17,-35.59,"Mulinum spinosum"
-69.09,-34.05,"Mulinum spinosum"
-68.41,-39.67,"Mulinum spinosum"
-71.87,-46.85,"Mulinum spinosum"
-71.08,-43.22,"Mulinum spinosum"
-66.58,-48.32,"Mulinum spinosum"
-69.25,-32.41,"Mulinum spinosum"
-69.3,-40.89,"Mulinum spinosum"
-69.39,-33.93,"Mulinum spinosum"
-66.55,-47.82,"Mulinum spinosum"
-68.17,-45.14,"Mulinum spinosum"
-69.7,-31.7,"Mulinum spinosum"
-70.97,-51.05,"Mulinum spinosum"
-69.69,-44.6,"Mulinum spinosum"
-71.1,-40.99,"Mulinum spinosum"
-68.62,-35.93,"Mulinum spinosum"
-71.68,-46.1,"Mulinum spinosum"
-70.74,-39.93,"Mulinum spinosum"
-69.8,-36.4,"Mulinum spinosum"
-68.46,-39.41,"Mulinum spinosum"
-70.73,-44.85,"Mulinum spinosum"
-69.62,-36.28,"Mulinum spinosum"
-68.36,-34.94,"Mulinum spinosum"
