"lon","lat","species.name"
12.673502,47.022514,"Myosotis alpestris"
-138.303547,60.934705,"Myosotis alpestris"
44.454288,42.504219,"Myosotis alpestris"
-135.287085,60.632074,"Myosotis alpestris"
8.550282,46.220554,"Myosotis alpestris"
-105.827866,40.418724,"Myosotis alpestris"
-106.317525,39.776988,"Myosotis alpestris"
-137.92595,60.627272,"Myosotis alpestris"
11.209059,47.559238,"Myosotis alpestris"
7.645369,46.452049,"Myosotis alpestris"
7.328181,45.583321,"Myosotis alpestris"
13.687381,47.448164,"Myosotis alpestris"
-113.673764,61.172054,"Myosotis alpestris"
-0.40822,42.81909,"Myosotis alpestris"
8.0309,58.14488,"Myosotis alpestris"
6.44367,44.0478,"Myosotis alpestris"
10.86668,45.774406,"Myosotis alpestris"
1.14207,42.78939,"Myosotis alpestris"
-0.40731,42.81927,"Myosotis alpestris"
10.77673,47.156105,"Myosotis alpestris"
7.154975,45.868587,"Myosotis alpestris"
5.75572,45.31761,"Myosotis alpestris"
-107.913182,44.823142,"Myosotis alpestris"
-110.165324,44.869298,"Myosotis alpestris"
5.76017,45.31939,"Myosotis alpestris"
-105.753276,40.424181,"Myosotis alpestris"
13.04,47.57,"Myosotis alpestris"
10.423579,46.547291,"Myosotis alpestris"
10.216448,46.644192,"Myosotis alpestris"
10.21555,46.490353,"Myosotis alpestris"
11.816343,46.56126,"Myosotis alpestris"
11.395912,47.313225,"Myosotis alpestris"
6.85984,44.53787,"Myosotis alpestris"
11.297224,47.429482,"Myosotis alpestris"
6.51827,45.92431,"Myosotis alpestris"
2.39495,48.75015,"Myosotis alpestris"
11.520367,47.309326,"Myosotis alpestris"
-134.412797,58.301983,"Myosotis alpestris"
11.612463,46.554375,"Myosotis alpestris"
12.947946,47.124664,"Myosotis alpestris"
5.62746,44.7488,"Myosotis alpestris"
11.649971,46.519421,"Myosotis alpestris"
11.655464,46.543041,"Myosotis alpestris"
6.77795,45.40413,"Myosotis alpestris"
6.40507,45.06265,"Myosotis alpestris"
-135.6915,58.0556,"Myosotis alpestris"
-4.25337,56.54368,"Myosotis alpestris"
7.06023,45.41121,"Myosotis alpestris"
-4.24828,56.54018,"Myosotis alpestris"
-4.25343,56.54458,"Myosotis alpestris"
11.297293,47.306297,"Myosotis alpestris"
13.304272,46.571518,"Myosotis alpestris"
14.485602,46.504036,"Myosotis alpestris"
6.70947,45.26488,"Myosotis alpestris"
-4.25305,56.5383,"Myosotis alpestris"
10.11137,47.366966,"Myosotis alpestris"
-4.25348,56.54548,"Myosotis alpestris"
-4.25175,56.54371,"Myosotis alpestris"
-106.55766,37.462263,"Myosotis alpestris"
-105.062687,38.856111,"Myosotis alpestris"
-4.23513,56.53772,"Myosotis alpestris"
