"lon","lat","species.name"
10.941202,59.590099,"Nardus stricta"
10.659301,59.345498,"Nardus stricta"
6.079573,58.987446,"Nardus stricta"
14.313414,55.59249,"Nardus stricta"
14.313172,55.575598,"Nardus stricta"
18.275551,59.270773,"Nardus stricta"
15.83048,57.238048,"Nardus stricta"
16.563281,57.968685,"Nardus stricta"
11.949201,57.66926,"Nardus stricta"
16.056999,59.768146,"Nardus stricta"
12.481228,57.689197,"Nardus stricta"
11.245192,58.403889,"Nardus stricta"
16.038907,59.827905,"Nardus stricta"
12.148834,57.838382,"Nardus stricta"
16.232431,58.962148,"Nardus stricta"
12.663811,59.091708,"Nardus stricta"
13.962784,60.003207,"Nardus stricta"
16.038449,59.825941,"Nardus stricta"
14.676244,59.095266,"Nardus stricta"
12.673502,47.022514,"Nardus stricta"
-0.74444,42.97563,"Nardus stricta"
14.725534,56.085369,"Nardus stricta"
11.99059,47.703003,"Nardus stricta"
7.985001,47.731472,"Nardus stricta"
11.969196,50.056313,"Nardus stricta"
26.728411,55.302494,"Nardus stricta"
7.008805,48.03138,"Nardus stricta"
7.461691,44.109283,"Nardus stricta"
7.336466,45.580284,"Nardus stricta"
8.072548,47.721081,"Nardus stricta"
24.781792,54.807198,"Nardus stricta"
22.266722,50.573612,"Nardus stricta"
24.599934,45.615719,"Nardus stricta"
3.80488,44.40991,"Nardus stricta"
5.42156,50.92713,"Nardus stricta"
4.97204,51.36178,"Nardus stricta"
-3.51887,51.64396,"Nardus stricta"
8.165237,62.856703,"Nardus stricta"
5.36776,51.07144,"Nardus stricta"
-4.0966,51.63507,"Nardus stricta"
8.31557,62.955036,"Nardus stricta"
6.109963,58.782013,"Nardus stricta"
5.42238,50.96308,"Nardus stricta"
6.126277,58.787591,"Nardus stricta"
5.961005,59.227704,"Nardus stricta"
4.45515,51.36328,"Nardus stricta"
19.218934,57.985323,"Nardus stricta"
12.959105,56.27839,"Nardus stricta"
5.945581,59.23172,"Nardus stricta"
4.45522,51.39924,"Nardus stricta"
17.862981,58.769426,"Nardus stricta"
5.48189,51.07042,"Nardus stricta"
5.02433,51.00193,"Nardus stricta"
4.51247,51.32727,"Nardus stricta"
10.933952,59.050371,"Nardus stricta"
11.104731,59.210427,"Nardus stricta"
5.898015,58.926706,"Nardus stricta"
11.293907,58.493754,"Nardus stricta"
5.48536,51.21422,"Nardus stricta"
16.434813,56.610913,"Nardus stricta"
10.900894,59.158233,"Nardus stricta"
5.815639,58.852581,"Nardus stricta"
4.51259,51.36323,"Nardus stricta"
10.933,59.050108,"Nardus stricta"
16.409597,58.809407,"Nardus stricta"
17.707824,60.503686,"Nardus stricta"
16.434723,56.610369,"Nardus stricta"
-3.95606,51.72742,"Nardus stricta"
12.954605,56.545116,"Nardus stricta"
16.767243,59.205576,"Nardus stricta"
7.592184,58.337668,"Nardus stricta"
6.405868,59.035977,"Nardus stricta"
6.445116,59.045386,"Nardus stricta"
13.186253,56.039284,"Nardus stricta"
3.3099,51.21478,"Nardus stricta"
5.953962,59.255935,"Nardus stricta"
13.276902,55.719918,"Nardus stricta"
15.353187,58.402807,"Nardus stricta"
5.953746,59.250336,"Nardus stricta"
6.448296,59.04661,"Nardus stricta"
6.090569,58.988821,"Nardus stricta"
6.79359,58.552935,"Nardus stricta"
6.411698,59.037475,"Nardus stricta"
13.654877,56.349156,"Nardus stricta"
19.189919,69.733166,"Nardus stricta"
