"lon","lat","species.name"
-70.161944,-51.741389,"Nassauvia aculeata"
-72.06756,-47.73192,"Nassauvia aculeata"
-72.11786,-47.92071,"Nassauvia aculeata"
-71.335,-40.01194,"Nassauvia aculeata"
-71.00777,-38.84222,"Nassauvia aculeata"
-70.99555,-39.70944,"Nassauvia aculeata"
-71.47861,-50.82305,"Nassauvia aculeata"
-71.405556,-36.903611,"Nassauvia aculeata"
-70.661667,-35.881944,"Nassauvia aculeata"
-70,-38.55,"Nassauvia aculeata"
-67.95,-53.75,"Nassauvia aculeata"
-69.564722,-50.969722,"Nassauvia aculeata"
-71.383333,-36.9,"Nassauvia aculeata"
-71.166667,-35.5,"Nassauvia aculeata"
-70.083333,-33.816667,"Nassauvia aculeata"
0,0,"Nassauvia aculeata"
-67.616667,-54.466667,"Nassauvia aculeata"
-67.5,-48.55,"Nassauvia aculeata"
-70.82,-36.6,"Nassauvia aculeata"
-55.92,-27.48,"Nassauvia aculeata"
-70.07,-35.15,"Nassauvia aculeata"
-71.49,-43.02,"Nassauvia aculeata"
-70.64,-36.44,"Nassauvia aculeata"
-70.5,-36.97,"Nassauvia aculeata"
-68.09,-49.26,"Nassauvia aculeata"
-72.09,-49.76,"Nassauvia aculeata"
-69.42,-51.62,"Nassauvia aculeata"
-68.96,-50.29,"Nassauvia aculeata"
-72.1378,-47.8356,"Nassauvia aculeata"
-70.31,-43.91,"Nassauvia aculeata"
-70.68,-37.61,"Nassauvia aculeata"
-70.2,-36.9,"Nassauvia aculeata"
-70.8,-36.47,"Nassauvia aculeata"
-72.02,-50.77,"Nassauvia aculeata"
-71.55,-41.43,"Nassauvia aculeata"
-71.33,-51.73,"Nassauvia aculeata"
-70.88,-51.05,"Nassauvia aculeata"
-70.58,-51.33,"Nassauvia aculeata"
-70.68,-41.8,"Nassauvia aculeata"
-69.61,-51.56,"Nassauvia aculeata"
-70.43,-38.58,"Nassauvia aculeata"
-70.33,-36.85,"Nassauvia aculeata"
-69.68,-54.18,"Nassauvia aculeata"
-70.66,-45.31,"Nassauvia aculeata"
-71.28,-51.77,"Nassauvia aculeata"
-69.74,-51.52,"Nassauvia aculeata"
-71.3,-39.73,"Nassauvia aculeata"
-71.85,-48.36,"Nassauvia aculeata"
-70.83,-38.66,"Nassauvia aculeata"
-71.08,-36.83,"Nassauvia aculeata"
-71.1,-35.85,"Nassauvia aculeata"
-69.45,-45.49,"Nassauvia aculeata"
-71.25,-45.87,"Nassauvia aculeata"
-71.32,-51.75,"Nassauvia aculeata"
-71.57,-51.4,"Nassauvia aculeata"
-71.4,-36.9,"Nassauvia aculeata"
-72.83333,-51.16666,"Nassauvia aculeata"
-72.02,-51.58,"Nassauvia aculeata"
-68.03,-49.53,"Nassauvia aculeata"
-70.62,-51.38,"Nassauvia aculeata"
-70.68,-43.52,"Nassauvia aculeata"
-70.77,-36.43,"Nassauvia aculeata"
-71.8,-51.04,"Nassauvia aculeata"
-69.15,-50.28,"Nassauvia aculeata"
-72.22,-50.88,"Nassauvia aculeata"
-70.54,-44.18,"Nassauvia aculeata"
-69.39,-45.63,"Nassauvia aculeata"
-71.15,-40.59,"Nassauvia aculeata"
-70.61,-40.97,"Nassauvia aculeata"
-70.16,-51.74,"Nassauvia aculeata"
-69.56,-50.8,"Nassauvia aculeata"
-67.82,-45.22,"Nassauvia aculeata"
-71.15,-48.69,"Nassauvia aculeata"
-69.9,-35.18,"Nassauvia aculeata"
-71.55,-51.73,"Nassauvia aculeata"
-72.13,-50.77,"Nassauvia aculeata"
-72.83,-51.17,"Nassauvia aculeata"
