"lon","lat","species.name"
-69.812222,-34.905833,"Nassauvia axillaris"
-70.496944,-32.659167,"Nassauvia axillaris"
-69.35527,-32.98,"Nassauvia axillaris"
-65.22611,-22.21833,"Nassauvia axillaris"
-69.2146,-44.8881,"Nassauvia axillaris"
0,0,"Nassauvia axillaris"
-65.03333,-23.16666,"Nassauvia axillaris"
-70.166667,-33.333333,"Nassauvia axillaris"
-69.25,-32.41,"Nassauvia axillaris"
-68.27,-35.75,"Nassauvia axillaris"
-70.24,-43.21,"Nassauvia axillaris"
-69.52,-33.61,"Nassauvia axillaris"
-70.48,-39.73,"Nassauvia axillaris"
-66.34,-27.36,"Nassauvia axillaris"
-66.35,-27.53,"Nassauvia axillaris"
-68.46,-39.41,"Nassauvia axillaris"
-69.09,-34.05,"Nassauvia axillaris"
-65.65,-23.74,"Nassauvia axillaris"
-69.24,-33.33,"Nassauvia axillaris"
-65.39,-23.07,"Nassauvia axillaris"
-70.07,-35.15,"Nassauvia axillaris"
-69.49,-30.36,"Nassauvia axillaris"
-69.47,-41.33,"Nassauvia axillaris"
-68.38,-41.06,"Nassauvia axillaris"
-68.41,-45.88,"Nassauvia axillaris"
-65.78,-24.02,"Nassauvia axillaris"
-68.46,-39.5,"Nassauvia axillaris"
-70.58,-38.87,"Nassauvia axillaris"
-69.88,-36.78,"Nassauvia axillaris"
-69.37,-36.14,"Nassauvia axillaris"
-69.28,-33.09,"Nassauvia axillaris"
-69.89,-35.51,"Nassauvia axillaris"
-70.03,-44.53,"Nassauvia axillaris"
-69.87,-41.55,"Nassauvia axillaris"
-69.37,-40.32,"Nassauvia axillaris"
-65.21,-22.21,"Nassauvia axillaris"
-70.5,-37.71,"Nassauvia axillaris"
-65.77,-27.27,"Nassauvia axillaris"
-69.6,-30.39,"Nassauvia axillaris"
-70.45,-39.43,"Nassauvia axillaris"
-69.65,-42.4,"Nassauvia axillaris"
-69.42,-34.23,"Nassauvia axillaris"
-70.35,-33.25,"Nassauvia axillaris"
-68.92,-40.29,"Nassauvia axillaris"
-69.52,-42.07,"Nassauvia axillaris"
-66.39,-27.46,"Nassauvia axillaris"
-69.06,-45.3,"Nassauvia axillaris"
-70.36,-40.01,"Nassauvia axillaris"
-69.83,-32.17,"Nassauvia axillaris"
-64.08,-29.23,"Nassauvia axillaris"
-69.83,-38.92,"Nassauvia axillaris"
-65.29,-23.54,"Nassauvia axillaris"
-65.03,-23.17,"Nassauvia axillaris"
-70.07,-37.34,"Nassauvia axillaris"
-65.2,-32.71,"Nassauvia axillaris"
-69.72,-42.75,"Nassauvia axillaris"
-65.77,-26.75,"Nassauvia axillaris"
-69.48,-32.87,"Nassauvia axillaris"
-70.15,-42.69,"Nassauvia axillaris"
-70.24,-37.67,"Nassauvia axillaris"
-65.05,-23.17,"Nassauvia axillaris"
-69.12,-44.69,"Nassauvia axillaris"
-69.42,-41.23,"Nassauvia axillaris"
-65.01,-23.47,"Nassauvia axillaris"
-70.33,-36.9,"Nassauvia axillaris"
-69.81,-34.91,"Nassauvia axillaris"
-70.05,-43.72,"Nassauvia axillaris"
-68.62,-35.93,"Nassauvia axillaris"
-70.61,-40.97,"Nassauvia axillaris"
-65.71,-23.15,"Nassauvia axillaris"
-70.27,-41.03,"Nassauvia axillaris"
-68.94,-40.13,"Nassauvia axillaris"
-69.09,-38.07,"Nassauvia axillaris"
-70.31,-42.03,"Nassauvia axillaris"
-65.71,-23.73,"Nassauvia axillaris"
-69.59,-30.39,"Nassauvia axillaris"
-69.05,-39.94,"Nassauvia axillaris"
-68.66,-43.47,"Nassauvia axillaris"
-66.95,-26.72,"Nassauvia axillaris"
-70.33,-33.22,"Nassauvia axillaris"
-69.16,-40.74,"Nassauvia axillaris"
-69.5,-31.17,"Nassauvia axillaris"
-68.36,-34.94,"Nassauvia axillaris"
-68.19,-40.53,"Nassauvia axillaris"
