"lon","lat","species.name"
-78.861083,-1.472972,"Nototriche jamesonii"
-79.24,-2.78,"Nototriche jamesonii"
-79.24,-2.77,"Nototriche jamesonii"
-78.86666,-1.46666,"Nototriche jamesonii"
-79,-1.6,"Nototriche jamesonii"
-78.93333,-1.5,"Nototriche jamesonii"
-77.83333,-1.5,"Nototriche jamesonii"
-78.9,-1.433,"Nototriche jamesonii"
-78.9,-1.43333,"Nototriche jamesonii"
-78.92,-1.47,"Nototriche jamesonii"
-78.916,-1.466,"Nototriche jamesonii"
-78.91666,-1.46666,"Nototriche jamesonii"
-78.15,-0.28,"Nototriche jamesonii"
-77.99,0.03,"Nototriche jamesonii"
-78.76694,-1.4275,"Nototriche jamesonii"
-78.75,-1.9167,"Nototriche jamesonii"
-78.8,-1.46666,"Nototriche jamesonii"
-78.14083,-0.41839,"Nototriche jamesonii"
-79.14646,-3.01381,"Nototriche jamesonii"
-78.1869,-1.4628,"Nototriche jamesonii"
0,0,"Nototriche jamesonii"
-78.5,-0.21666,"Nototriche jamesonii"
