"lon","lat","species.name"
-75.44525,4.596944,"Oritrophium peruvianum"
-79.240722,-2.777278,"Oritrophium peruvianum"
-75.488789,4.813138,"Oritrophium peruvianum"
-75.487553,4.813687,"Oritrophium peruvianum"
-75.487934,4.813478,"Oritrophium peruvianum"
-75.482473,4.818311,"Oritrophium peruvianum"
-75.482134,4.818047,"Oritrophium peruvianum"
-76.132553,6.569308,"Oritrophium peruvianum"
-73.86375,4.732139,"Oritrophium peruvianum"
-73.863908,4.732458,"Oritrophium peruvianum"
-72.83425,7.294306,"Oritrophium peruvianum"
-73.147361,5.855583,"Oritrophium peruvianum"
-74.042,5.174,"Oritrophium peruvianum"
-75.55675,4.242333,"Oritrophium peruvianum"
-76.715278,1.975,"Oritrophium peruvianum"
-72.264717,6.3949,"Oritrophium peruvianum"
-72.26485,6.394883,"Oritrophium peruvianum"
-79.016667,-8.116667,"Oritrophium peruvianum"
-77.774194,-7.080111,"Oritrophium peruvianum"
-76.087958,6.448536,"Oritrophium peruvianum"
-77.716283,-6.81215,"Oritrophium peruvianum"
-75.985833,5.549806,"Oritrophium peruvianum"
-77.722217,-6.89805,"Oritrophium peruvianum"
-77.7365,-6.659533,"Oritrophium peruvianum"
-73.083333,5.916556,"Oritrophium peruvianum"
-75.357944,4.958194,"Oritrophium peruvianum"
-72.579889,5.942667,"Oritrophium peruvianum"
-72.967167,6.012778,"Oritrophium peruvianum"
-77.4212,0.85655,"Oritrophium peruvianum"
-77.35384,1.06683,"Oritrophium peruvianum"
-77.8717,0.879722,"Oritrophium peruvianum"
-77.8684,0.882778,"Oritrophium peruvianum"
-77.59648,0.93554,"Oritrophium peruvianum"
-75.645,-10.338889,"Oritrophium peruvianum"
-73.187778,5.515,"Oritrophium peruvianum"
-77.696342,0.591878,"Oritrophium peruvianum"
-77.881226,0.668263,"Oritrophium peruvianum"
-79.223333,-2.782222,"Oritrophium peruvianum"
-72.885878,7.369683,"Oritrophium peruvianum"
-73.787217,4.677016,"Oritrophium peruvianum"
-77.441111,1.261389,"Oritrophium peruvianum"
