"lon","lat","species.name"
-72.283056,-50.380556,"Oxalis enneaphylla"
-71,-41.216,"Oxalis enneaphylla"
-57.83,-51.72,"Oxalis enneaphylla"
-57.77,-51.7,"Oxalis enneaphylla"
-59.5,-51.75,"Oxalis enneaphylla"
-69.6575,-49.045,"Oxalis enneaphylla"
0,0,"Oxalis enneaphylla"
-72.09,-49.76,"Oxalis enneaphylla"
-60.069246,-51.954858,"Oxalis enneaphylla"
-72,-51.59,"Oxalis enneaphylla"
-72.28,-50.38,"Oxalis enneaphylla"
-70.8906,-35.8156,"Oxalis enneaphylla"
-71.56472,-53.49278,"Oxalis enneaphylla"
-67.93,-54.04,"Oxalis enneaphylla"
-70.78,-51.92,"Oxalis enneaphylla"
-64.9208,-35.3869,"Oxalis enneaphylla"
-58.992775,-51.503016,"Oxalis enneaphylla"
-72,-50.93,"Oxalis enneaphylla"
-71,-30,"Oxalis enneaphylla"
-72.23,-50.85,"Oxalis enneaphylla"
-70.24,-43.21,"Oxalis enneaphylla"
-69.65,-51.56,"Oxalis enneaphylla"
-71.66,-46.14,"Oxalis enneaphylla"
-72,-50.93333,"Oxalis enneaphylla"
