"lon","lat","species.name"
10.129652,47.457691,"Oxytropis jacquinii"
7.411352,45.586834,"Oxytropis jacquinii"
6.02833,45.05417,"Oxytropis jacquinii"
13.04,47.57,"Oxytropis jacquinii"
13.05,47.57,"Oxytropis jacquinii"
10.358949,47.398319,"Oxytropis jacquinii"
10.115453,46.664421,"Oxytropis jacquinii"
9.761288,47.061031,"Oxytropis jacquinii"
10.423579,46.547291,"Oxytropis jacquinii"
6.83015,46.11897,"Oxytropis jacquinii"
12.754719,47.066441,"Oxytropis jacquinii"
12.822418,47.241016,"Oxytropis jacquinii"
8.427844,46.43499,"Oxytropis jacquinii"
8.430333,46.427696,"Oxytropis jacquinii"
10.361326,47.42524,"Oxytropis jacquinii"
10.412292,47.421001,"Oxytropis jacquinii"
8.449886,46.462551,"Oxytropis jacquinii"
12.6,47,"Oxytropis jacquinii"
10.232048,47.34906,"Oxytropis jacquinii"
12.95,47.49,"Oxytropis jacquinii"
10.522413,47.468777,"Oxytropis jacquinii"
13.671134,46.604462,"Oxytropis jacquinii"
10.661383,47.2903,"Oxytropis jacquinii"
15.41014,47.64161,"Oxytropis jacquinii"
12.324257,47.549644,"Oxytropis jacquinii"
7.643333,46.491667,"Oxytropis jacquinii"
12.9,47.5,"Oxytropis jacquinii"
12.013733,46.528133,"Oxytropis jacquinii"
11.295962,47.430149,"Oxytropis jacquinii"
13.1,47.3,"Oxytropis jacquinii"
12.7,47.5,"Oxytropis jacquinii"
13.5,47.2,"Oxytropis jacquinii"
10.156622,47.529499,"Oxytropis jacquinii"
12.934685,47.548264,"Oxytropis jacquinii"
6.57035,45.98964,"Oxytropis jacquinii"
13.075,47.61222,"Oxytropis jacquinii"
11.812367,46.488478,"Oxytropis jacquinii"
12.783334,46.783333,"Oxytropis jacquinii"
7.64789,44.05959,"Oxytropis jacquinii"
5.52549,44.87329,"Oxytropis jacquinii"
6.81788,44.56523,"Oxytropis jacquinii"
6.6302,44.26714,"Oxytropis jacquinii"
7.09083,45.38127,"Oxytropis jacquinii"
7.73,44.06,"Oxytropis jacquinii"
15.625,47.675,"Oxytropis jacquinii"
6.67102,44.32017,"Oxytropis jacquinii"
6.65834,44.16017,"Oxytropis jacquinii"
10.1,47.264,"Oxytropis jacquinii"
12.8,47.1,"Oxytropis jacquinii"
14.3917,47.6489,"Oxytropis jacquinii"
5.79335,45.33145,"Oxytropis jacquinii"
10.37,47.42,"Oxytropis jacquinii"
10.54,47.52,"Oxytropis jacquinii"
10.37,47.37,"Oxytropis jacquinii"
12.54,47.77,"Oxytropis jacquinii"
12.54,47.72,"Oxytropis jacquinii"
6.92766,44.25982,"Oxytropis jacquinii"
10.12,47.47,"Oxytropis jacquinii"
10.21,47.27,"Oxytropis jacquinii"
10.79,47.57,"Oxytropis jacquinii"
10.29,47.32,"Oxytropis jacquinii"
12.62,47.72,"Oxytropis jacquinii"
11.37,47.52,"Oxytropis jacquinii"
11.37,47.47,"Oxytropis jacquinii"
15.45,48.1167,"Oxytropis jacquinii"
11.46,47.52,"Oxytropis jacquinii"
14.2586,47.6583,"Oxytropis jacquinii"
14.2483,47.6531,"Oxytropis jacquinii"
12.79,47.52,"Oxytropis jacquinii"
13.04,47.62,"Oxytropis jacquinii"
10.96,47.52,"Oxytropis jacquinii"
6.05064,46.35086,"Oxytropis jacquinii"
10.29,47.42,"Oxytropis jacquinii"
12.29,47.72,"Oxytropis jacquinii"
12.71,47.67,"Oxytropis jacquinii"
12.606389,46.746944,"Oxytropis jacquinii"
12.487,46.68,"Oxytropis jacquinii"
13.07056,16.69944,"Oxytropis jacquinii"
9.59805,46.59638,"Oxytropis jacquinii"
11.21,47.52,"Oxytropis jacquinii"
13.2,47.5,"Oxytropis jacquinii"
12.8,47.5,"Oxytropis jacquinii"
12.87,47.52,"Oxytropis jacquinii"
12.96,47.47,"Oxytropis jacquinii"
12.96,47.52,"Oxytropis jacquinii"
13.04,47.47,"Oxytropis jacquinii"
13.04,47.52,"Oxytropis jacquinii"
10.21,47.32,"Oxytropis jacquinii"
13.7,46.6,"Oxytropis jacquinii"
13.95305,48.13362,"Oxytropis jacquinii"
10.12,47.52,"Oxytropis jacquinii"
10.29,47.37,"Oxytropis jacquinii"
9.746327,47.202972,"Oxytropis jacquinii"
10.21,47.37,"Oxytropis jacquinii"
11.12,47.42,"Oxytropis jacquinii"
11.29,47.42,"Oxytropis jacquinii"
10.46,47.37,"Oxytropis jacquinii"
10.04,47.47,"Oxytropis jacquinii"
12.37,47.72,"Oxytropis jacquinii"
10.37,47.32,"Oxytropis jacquinii"
10.46,47.47,"Oxytropis jacquinii"
11.04,47.37,"Oxytropis jacquinii"
10.29,47.27,"Oxytropis jacquinii"
12.79,47.62,"Oxytropis jacquinii"
10.46,47.42,"Oxytropis jacquinii"
12.9,46.7,"Oxytropis jacquinii"
9.836389,46.5325,"Oxytropis jacquinii"
9.989087,47.185321,"Oxytropis jacquinii"
12.3,47.6,"Oxytropis jacquinii"
13.6,47.5,"Oxytropis jacquinii"
10.030879,47.375073,"Oxytropis jacquinii"
13.4,47.8,"Oxytropis jacquinii"
9.8847,47.312042,"Oxytropis jacquinii"
10.160168,47.141433,"Oxytropis jacquinii"
10.126897,47.175917,"Oxytropis jacquinii"
11.79,47.62,"Oxytropis jacquinii"
9.651472,47.085787,"Oxytropis jacquinii"
9.986778,47.130744,"Oxytropis jacquinii"
9.657069,47.05898,"Oxytropis jacquinii"
11.62222,46.52833,"Oxytropis jacquinii"
11.59167,46.53556,"Oxytropis jacquinii"
15.805278,47.767222,"Oxytropis jacquinii"
9.785255,47.122228,"Oxytropis jacquinii"
14.23861,46.41667,"Oxytropis jacquinii"
12.95833,46.725,"Oxytropis jacquinii"
9.723008,47.271004,"Oxytropis jacquinii"
10.166456,47.170923,"Oxytropis jacquinii"
10.163926,47.169103,"Oxytropis jacquinii"
9.64859,47.095192,"Oxytropis jacquinii"
14.5209,47.54728,"Oxytropis jacquinii"
14.23583,47.32944,"Oxytropis jacquinii"
12.94472,46.64722,"Oxytropis jacquinii"
9.778359,47.308658,"Oxytropis jacquinii"
9.693985,47.081544,"Oxytropis jacquinii"
9.637211,47.090495,"Oxytropis jacquinii"
13.670278,46.603611,"Oxytropis jacquinii"
0,0,"Oxytropis jacquinii"
11.709167,47.461944,"Oxytropis jacquinii"
6.286347,45.826879,"Oxytropis jacquinii"
