"lon","lat","species.name"
16.583233,56.585143,"Parnassia palustris"
18.674205,57.658079,"Parnassia palustris"
4.749699,53.006054,"Parnassia palustris"
8.277097,46.322547,"Parnassia palustris"
-133.717439,68.353639,"Parnassia palustris"
10.007172,47.580868,"Parnassia palustris"
-147.745086,64.806031,"Parnassia palustris"
-133.717906,68.356139,"Parnassia palustris"
18.771314,68.36003,"Parnassia palustris"
11.34201,47.425301,"Parnassia palustris"
8.2815,46.333387,"Parnassia palustris"
-133.723018,68.360744,"Parnassia palustris"
11.191579,47.543999,"Parnassia palustris"
-148.896525,63.742777,"Parnassia palustris"
9.933,46.430212,"Parnassia palustris"
7.461691,44.109283,"Parnassia palustris"
11.907778,46.586667,"Parnassia palustris"
-151.192595,63.114803,"Parnassia palustris"
11.72366,47.154926,"Parnassia palustris"
7.336466,45.580284,"Parnassia palustris"
12.354067,47.760643,"Parnassia palustris"
6.014196,44.95879,"Parnassia palustris"
11.156155,47.517071,"Parnassia palustris"
-114.36284,62.446644,"Parnassia palustris"
6.785419,44.914658,"Parnassia palustris"
7.25643,44.07014,"Parnassia palustris"
9.816195,45.92454,"Parnassia palustris"
10.906242,46.554081,"Parnassia palustris"
-149.828893,63.536082,"Parnassia palustris"
-133.718536,68.355147,"Parnassia palustris"
13.981948,52.559708,"Parnassia palustris"
7.058235,48.081773,"Parnassia palustris"
18.724988,68.365291,"Parnassia palustris"
6.975585,44.949665,"Parnassia palustris"
9.685281,46.766907,"Parnassia palustris"
-126.821822,65.283119,"Parnassia palustris"
-0.48862,42.9454,"Parnassia palustris"
-149.534158,61.245508,"Parnassia palustris"
19.769641,42.395927,"Parnassia palustris"
-149.534085,61.245518,"Parnassia palustris"
26.410685,68.750181,"Parnassia palustris"
11.620734,46.880902,"Parnassia palustris"
24.599934,45.615719,"Parnassia palustris"
7.839217,47.825115,"Parnassia palustris"
-149.534055,61.24544,"Parnassia palustris"
11.838887,47.675873,"Parnassia palustris"
29.348425,69.874712,"Parnassia palustris"
11.16349,45.72605,"Parnassia palustris"
-126.813989,65.278381,"Parnassia palustris"
-149.534065,61.245347,"Parnassia palustris"
18.315894,57.314683,"Parnassia palustris"
16.585568,56.772101,"Parnassia palustris"
2.68297,51.1356,"Parnassia palustris"
19.6727,63.991618,"Parnassia palustris"
10.96,48.32,"Parnassia palustris"
15.855849,60.054273,"Parnassia palustris"
15.698554,59.925226,"Parnassia palustris"
13.962865,60.00327,"Parnassia palustris"
16.937555,57.180051,"Parnassia palustris"
28.545656,70.188856,"Parnassia palustris"
15.24035,66.492827,"Parnassia palustris"
16.621716,56.672505,"Parnassia palustris"
13.970465,60.001676,"Parnassia palustris"
10.714073,51.543839,"Parnassia palustris"
16.612239,56.63792,"Parnassia palustris"
14.733188,60.014797,"Parnassia palustris"
5.520381,58.73629,"Parnassia palustris"
18.001124,60.535503,"Parnassia palustris"
16.297802,64.223231,"Parnassia palustris"
15.339695,58.139384,"Parnassia palustris"
15.280271,60.448333,"Parnassia palustris"
5.754923,60.123178,"Parnassia palustris"
5.516635,58.73698,"Parnassia palustris"
13.828378,58.333843,"Parnassia palustris"
10.56585,61.083477,"Parnassia palustris"
17.506781,62.162205,"Parnassia palustris"
10.962222,59.044822,"Parnassia palustris"
16.612706,56.638681,"Parnassia palustris"
14.880826,63.375491,"Parnassia palustris"
17.25042,63.097898,"Parnassia palustris"
15.715047,59.95867,"Parnassia palustris"
15.156582,61.197484,"Parnassia palustris"
14.913193,57.529587,"Parnassia palustris"
14.616659,61.037544,"Parnassia palustris"
17.606629,62.240614,"Parnassia palustris"
14.197586,55.969357,"Parnassia palustris"
28.560894,70.19033,"Parnassia palustris"
18.889513,69.835854,"Parnassia palustris"
17.796353,60.552139,"Parnassia palustris"
28.616393,70.204361,"Parnassia palustris"
20.864037,63.807597,"Parnassia palustris"
5.42647,51.14284,"Parnassia palustris"
28.552952,70.210975,"Parnassia palustris"
4.56814,50.93168,"Parnassia palustris"
16.61435,56.637169,"Parnassia palustris"
15.715208,59.961751,"Parnassia palustris"
17.460563,64.87185,"Parnassia palustris"
15.355164,58.142533,"Parnassia palustris"
8.741822,47.156597,"Parnassia palustris"
2.57775,51.08459,"Parnassia palustris"
7.16472,62.995298,"Parnassia palustris"
15.995797,60.141169,"Parnassia palustris"
15.478817,58.133357,"Parnassia palustris"
15.758597,67.257969,"Parnassia palustris"
15.439794,58.121883,"Parnassia palustris"
19.670832,69.715633,"Parnassia palustris"
16.661584,66.293635,"Parnassia palustris"
14.608259,57.627988,"Parnassia palustris"
12.399284,58.847735,"Parnassia palustris"
16.24366,58.846247,"Parnassia palustris"
15.331385,58.141238,"Parnassia palustris"
25.177235,70.304205,"Parnassia palustris"
5.520543,58.736281,"Parnassia palustris"
16.618159,56.641986,"Parnassia palustris"
16.614808,56.637807,"Parnassia palustris"
9.563941,59.530329,"Parnassia palustris"
14.197595,55.969121,"Parnassia palustris"
21.701743,68.464998,"Parnassia palustris"
19.412818,65.467755,"Parnassia palustris"
17.114757,61.412656,"Parnassia palustris"
13.804249,66.152156,"Parnassia palustris"
20.25904,63.681792,"Parnassia palustris"
14.656194,57.381592,"Parnassia palustris"
17.953711,60.328345,"Parnassia palustris"
15.834612,60.060388,"Parnassia palustris"
16.615114,56.679305,"Parnassia palustris"
15.716448,65.239517,"Parnassia palustris"
17.704698,59.920701,"Parnassia palustris"
15.282912,65.317587,"Parnassia palustris"
12.7072,62.877248,"Parnassia palustris"
16.59421,56.65175,"Parnassia palustris"
15.152809,60.768991,"Parnassia palustris"
11.604248,59.306279,"Parnassia palustris"
10.246382,63.360684,"Parnassia palustris"
9.010803,61.637202,"Parnassia palustris"
13.905579,57.920378,"Parnassia palustris"
23.281592,70.054474,"Parnassia palustris"
7.23169,62.596477,"Parnassia palustris"
15.337548,63.456976,"Parnassia palustris"
19.468936,65.887238,"Parnassia palustris"
13.245785,61.088159,"Parnassia palustris"
13.225375,61.120186,"Parnassia palustris"
3.37636,50.78385,"Parnassia palustris"
11.793074,65.663985,"Parnassia palustris"
15.425699,67.610575,"Parnassia palustris"
