"lon","lat","species.name"
98.948889,28.484444,"Pedicularis roylei"
90.281333,27.712733,"Pedicularis roylei"
90.306533,27.725933,"Pedicularis roylei"
89.341667,27.782433,"Pedicularis roylei"
89.362683,27.799733,"Pedicularis roylei"
94.6531,29.6131,"Pedicularis roylei"
95.6854,29.7692,"Pedicularis roylei"
81.012778,29.626389,"Pedicularis roylei"
98.610556,28.647167,"Pedicularis roylei"
97.4981,33.14,"Pedicularis roylei"
97.498056,33.14,"Pedicularis roylei"
80.25,30.3,"Pedicularis roylei"
99.2158,28.8164,"Pedicularis roylei"
99.215833,28.816389,"Pedicularis roylei"
98.7925,28.363056,"Pedicularis roylei"
98.7925,28.36305,"Pedicularis roylei"
103.347778,32.961389,"Pedicularis roylei"
99.28,35.37,"Pedicularis roylei"
99.7428,29.0019,"Pedicularis roylei"
97.0386,32.075,"Pedicularis roylei"
103.891767,36.519977,"Pedicularis roylei"
97.2944,32.675,"Pedicularis roylei"
97.288056,32.677778,"Pedicularis roylei"
93.2,30.63,"Pedicularis roylei"
99.55,30.3,"Pedicularis roylei"
92.42,28.53,"Pedicularis roylei"
90.9,28.35,"Pedicularis roylei"
92.22,28.63,"Pedicularis roylei"
98,29.7,"Pedicularis roylei"
96.9,31.13,"Pedicularis roylei"
93.98,30.05,"Pedicularis roylei"
92.13,28.38,"Pedicularis roylei"
93.95,29.05,"Pedicularis roylei"
96.97,31.08,"Pedicularis roylei"
100.393,34.4692,"Pedicularis roylei"
81.33,30.13,"Pedicularis roylei"
85.3,28.55,"Pedicularis roylei"
99.4508,34.5808,"Pedicularis roylei"
100.402,34.4606,"Pedicularis roylei"
88.183333,27.55,"Pedicularis roylei"
90.62,30.28,"Pedicularis roylei"
91.23,33.47,"Pedicularis roylei"
91.83,32.63,"Pedicularis roylei"
91.68,31.05,"Pedicularis roylei"
98.911543,28.48611,"Pedicularis roylei"
100.229945,26.876096,"Pedicularis roylei"
99.28717,27.177166,"Pedicularis roylei"
99.706013,27.82308,"Pedicularis roylei"
82.95,28.833333,"Pedicularis roylei"
100.298406,29.037008,"Pedicularis roylei"
91.125101,29.656843,"Pedicularis roylei"
94.716667,29.333333,"Pedicularis roylei"
94.716667,29.583333,"Pedicularis roylei"
98.66582,27.740736,"Pedicularis roylei"
100.84,28.15,"Pedicularis roylei"
77.58,34.17,"Pedicularis roylei"
76.38,35.45,"Pedicularis roylei"
77.47,34.92,"Pedicularis roylei"
74.38,34.05,"Pedicularis roylei"
73.25,34.67,"Pedicularis roylei"
76.17,35.18,"Pedicularis roylei"
74.3,35.9,"Pedicularis roylei"
76.5,34.65,"Pedicularis roylei"
77,33,"Pedicularis roylei"
73.53,34.78,"Pedicularis roylei"
73.57,34.38,"Pedicularis roylei"
77.5,34.83,"Pedicularis roylei"
75.12,34.85,"Pedicularis roylei"
77.5,34.95,"Pedicularis roylei"
76.82,34.33,"Pedicularis roylei"
