"lon","lat","species.name"
-120.589371,47.323,"Penstemon fruticosus"
-121.65864,46.90069,"Penstemon fruticosus"
-121.6973,46.7747,"Penstemon fruticosus"
-121.6885,46.77067,"Penstemon fruticosus"
-41.6039,43.04103,"Penstemon fruticosus"
-121.096614,46.976098,"Penstemon fruticosus"
-123.233333,49.25,"Penstemon fruticosus"
-117.42378,45.38594,"Penstemon fruticosus"
-120.578899,47.319974,"Penstemon fruticosus"
-118.422073,47.800804,"Penstemon fruticosus"
-121.170317,47.272426,"Penstemon fruticosus"
-118.66513,44.30411,"Penstemon fruticosus"
-121.664,45.4577,"Penstemon fruticosus"
0,0,"Penstemon fruticosus"
-115.31545,43.3015,"Penstemon fruticosus"
-113.638683,46.197167,"Penstemon fruticosus"
-120.99185,47.096067,"Penstemon fruticosus"
-121.143817,46.763733,"Penstemon fruticosus"
-120.59045,47.18765,"Penstemon fruticosus"
-120.348889,47.576111,"Penstemon fruticosus"
-120.764167,47.059444,"Penstemon fruticosus"
-117.914722,46.066389,"Penstemon fruticosus"
-117.103611,48.968056,"Penstemon fruticosus"
-111.57,44.59,"Penstemon fruticosus"
-120.899778,49.536333,"Penstemon fruticosus"
-121.479444,46.093333,"Penstemon fruticosus"
-121.479467,46.093433,"Penstemon fruticosus"
-120.374667,44.512667,"Penstemon fruticosus"
-122,50.666667,"Penstemon fruticosus"
-118.833067,48.827533,"Penstemon fruticosus"
-118.43125,48.72283,"Penstemon fruticosus"
-118.491389,48.615556,"Penstemon fruticosus"
-120.605278,47.450833,"Penstemon fruticosus"
-117.694722,46.181111,"Penstemon fruticosus"
-117.76244,46.15836,"Penstemon fruticosus"
-114.159246,43.705756,"Penstemon fruticosus"
-119.305,48.768333,"Penstemon fruticosus"
-122.40444,48.54528,"Penstemon fruticosus"
-11.166667,44.5,"Penstemon fruticosus"
-118.6797,44.284,"Penstemon fruticosus"
-116.72,43.03,"Penstemon fruticosus"
-116.96,42.53,"Penstemon fruticosus"
-120.6308,44.509,"Penstemon fruticosus"
-120.85,46.816667,"Penstemon fruticosus"
-119.055148,48.60484,"Penstemon fruticosus"
-120.5,49.466667,"Penstemon fruticosus"
-119.65,49.125,"Penstemon fruticosus"
-115.5253,44.2878,"Penstemon fruticosus"
-122.783333,49.1,"Penstemon fruticosus"
-122.766667,49.25,"Penstemon fruticosus"
-115.4,49.85,"Penstemon fruticosus"
-120.52778,47.342011,"Penstemon fruticosus"
-114.7496,50.0018,"Penstemon fruticosus"
-120.083333,50.65,"Penstemon fruticosus"
-120.566667,50.65,"Penstemon fruticosus"
-121.6252,44.3126,"Penstemon fruticosus"
-114.71354,44.381563,"Penstemon fruticosus"
-115.479487,43.646681,"Penstemon fruticosus"
-121.6161,44.189,"Penstemon fruticosus"
-121.666667,49.25,"Penstemon fruticosus"
-121.457,43.8648,"Penstemon fruticosus"
-121.4375,43.8842,"Penstemon fruticosus"
-117.33,45.35,"Penstemon fruticosus"
-119.65,49.433333,"Penstemon fruticosus"
-121.533,45.3373,"Penstemon fruticosus"
-120.45,52.9,"Penstemon fruticosus"
-116.9736,45.1577,"Penstemon fruticosus"
-119.78523,48.95759,"Penstemon fruticosus"
-119.25,50.25,"Penstemon fruticosus"
-120.736169,47.545189,"Penstemon fruticosus"
-124,52,"Penstemon fruticosus"
-122.966667,51.183333,"Penstemon fruticosus"
-121.62972,45.78111,"Penstemon fruticosus"
-121.7475,45.88389,"Penstemon fruticosus"
-119.78788,48.96237,"Penstemon fruticosus"
-119.72361,48.99944,"Penstemon fruticosus"
-115.166667,50.75,"Penstemon fruticosus"
-117.3429,45.3146,"Penstemon fruticosus"
-122.23543,47.234623,"Penstemon fruticosus"
-118.69583,48.65278,"Penstemon fruticosus"
-113.473848,44.743294,"Penstemon fruticosus"
-119.866667,49.783333,"Penstemon fruticosus"
