"lon","lat","species.name"
-120.119378,39.302168,"Penstemon rydbergii"
-120.117969,39.314147,"Penstemon rydbergii"
-120.243783,39.44711,"Penstemon rydbergii"
-120.236098,39.432208,"Penstemon rydbergii"
-120.240518,39.430508,"Penstemon rydbergii"
-104.600892,38.869472,"Penstemon rydbergii"
-120.056053,38.939812,"Penstemon rydbergii"
-120.682961,39.306842,"Penstemon rydbergii"
-119.925762,38.781543,"Penstemon rydbergii"
-120.20288,39.432785,"Penstemon rydbergii"
-120.029025,38.915379,"Penstemon rydbergii"
-120.118919,39.302203,"Penstemon rydbergii"
-120.128202,39.301577,"Penstemon rydbergii"
-120.02718,38.86885,"Penstemon rydbergii"
-120.030098,38.873982,"Penstemon rydbergii"
-120.176911,39.45379,"Penstemon rydbergii"
-118.969236,37.633793,"Penstemon rydbergii"
-120.2406,39.430345,"Penstemon rydbergii"
-120.183497,39.450373,"Penstemon rydbergii"
-120.260575,39.433582,"Penstemon rydbergii"
-119.99548,38.882214,"Penstemon rydbergii"
-120.257218,39.432098,"Penstemon rydbergii"
-118.965981,37.635431,"Penstemon rydbergii"
-106.491165,35.839724,"Penstemon rydbergii"
-119.974053,38.029655,"Penstemon rydbergii"
-120.178746,39.452514,"Penstemon rydbergii"
-120.362134,39.316304,"Penstemon rydbergii"
-120.238827,39.431678,"Penstemon rydbergii"
-120.260353,39.373983,"Penstemon rydbergii"
-120.656662,39.420427,"Penstemon rydbergii"
-120.2399,39.430086,"Penstemon rydbergii"
-120.23893,39.431579,"Penstemon rydbergii"
-119.17833,38.14944,"Penstemon rydbergii"
-120.257473,39.366211,"Penstemon rydbergii"
-119.17828,38.1495,"Penstemon rydbergii"
-120.181756,39.453038,"Penstemon rydbergii"
-120.248217,39.43318,"Penstemon rydbergii"
-120.240293,39.430574,"Penstemon rydbergii"
-120.263485,39.374573,"Penstemon rydbergii"
-120.3325,41.711667,"Penstemon rydbergii"
-120.231389,39.470278,"Penstemon rydbergii"
-120.180087,39.375279,"Penstemon rydbergii"
-118.568889,37.321667,"Penstemon rydbergii"
-121.175556,39.8775,"Penstemon rydbergii"
-119.090556,37.769722,"Penstemon rydbergii"
-119.116389,37.873611,"Penstemon rydbergii"
-118.711667,37.519167,"Penstemon rydbergii"
-119.015278,38.194444,"Penstemon rydbergii"
-121.084722,40.170833,"Penstemon rydbergii"
-120.160278,39.319444,"Penstemon rydbergii"
-120.436667,39.668611,"Penstemon rydbergii"
-120.396111,39.595833,"Penstemon rydbergii"
-106.85886,37.67741,"Penstemon rydbergii"
-115.05238,44.183806,"Penstemon rydbergii"
-120.241,39.430333,"Penstemon rydbergii"
-120.268158,39.496149,"Penstemon rydbergii"
-120.110092,39.403836,"Penstemon rydbergii"
-120.240781,39.430449,"Penstemon rydbergii"
-120.12125,39.297842,"Penstemon rydbergii"
-120.242679,39.431155,"Penstemon rydbergii"
-120.24078,39.430341,"Penstemon rydbergii"
-120.293181,39.462801,"Penstemon rydbergii"
-120.238484,39.432049,"Penstemon rydbergii"
-120.239686,39.431584,"Penstemon rydbergii"
-106.55572,38.81939,"Penstemon rydbergii"
-119.91667,38.6577799990795,"Penstemon rydbergii"
-120.12639,38.6405599990796,"Penstemon rydbergii"
-106.44062,38.73256,"Penstemon rydbergii"
-106.31135,39.36295,"Penstemon rydbergii"
-106.14834,39.09302,"Penstemon rydbergii"
-106.97435,38.8783,"Penstemon rydbergii"
-120.12639,38.64056,"Penstemon rydbergii"
-105.71205,39.62997,"Penstemon rydbergii"
-119.91667,38.65778,"Penstemon rydbergii"
-106.85825,37.68273,"Penstemon rydbergii"
-106.859217,37.67242,"Penstemon rydbergii"
-119.1193,37.875,"Penstemon rydbergii"
-119.1193,37.8749999990854,"Penstemon rydbergii"
-120.069615,38.86226,"Penstemon rydbergii"
-106.895144,37.441758999089,"Penstemon rydbergii"
-120.069615,38.862259999078,"Penstemon rydbergii"
-120.80861,41.1216659990652,"Penstemon rydbergii"
-120.80861,41.121666,"Penstemon rydbergii"
-120.808639,41.121778,"Penstemon rydbergii"
-120.808611,41.121667,"Penstemon rydbergii"
-120.808611,41.1216669990652,"Penstemon rydbergii"
-118.90382,37.8663,"Penstemon rydbergii"
-121.15371,46.91046,"Penstemon rydbergii"
-118.90382,37.8662999990855,"Penstemon rydbergii"
-105.71084,39.5107799990737,"Penstemon rydbergii"
-120.04083,38.4625,"Penstemon rydbergii"
-119.92889,38.68944,"Penstemon rydbergii"
-119.9289,38.6894,"Penstemon rydbergii"
-119.92889,38.6894399990792,"Penstemon rydbergii"
-120.04083,38.4624999990809,"Penstemon rydbergii"
-119.928889,38.6894439990792,"Penstemon rydbergii"
-119.20945,38.055877999084,"Penstemon rydbergii"
-119.20945,38.055878,"Penstemon rydbergii"
-118.3525,37.073611,"Penstemon rydbergii"
-118.3525,37.0736109990922,"Penstemon rydbergii"
-117.26679,45.62762,"Penstemon rydbergii"
-118.35258,37.07387,"Penstemon rydbergii"
-118.35258,37.0738699990922,"Penstemon rydbergii"
-119.84423,38.6974899990792,"Penstemon rydbergii"
-118.35258,37.0738599990922,"Penstemon rydbergii"
-115.90769,43.53014,"Penstemon rydbergii"
-105.655092,40.352105,"Penstemon rydbergii"
-120.255,38.8274999990782,"Penstemon rydbergii"
-120.255,38.8275,"Penstemon rydbergii"
-120.235,38.8424999990782,"Penstemon rydbergii"
-118.82715,37.6154499990876,"Penstemon rydbergii"
-120.235,38.8425,"Penstemon rydbergii"
-113.742205,44.189577,"Penstemon rydbergii"
-118.498133,37.2400999990908,"Penstemon rydbergii"
-120.23611,38.8449999990781,"Penstemon rydbergii"
-120.23611,38.845,"Penstemon rydbergii"
-118.498056,37.235,"Penstemon rydbergii"
-118.82715,37.61545,"Penstemon rydbergii"
-118.498056,37.2349999990908,"Penstemon rydbergii"
-118.48077,37.25192,"Penstemon rydbergii"
-118.48077,37.2519199990907,"Penstemon rydbergii"
-120.419148,39.6667439990728,"Penstemon rydbergii"
-116.1081,41.6788,"Penstemon rydbergii"
-120.177857,39.376577,"Penstemon rydbergii"
-120.177857,39.3765769990746,"Penstemon rydbergii"
