"lon","lat","species.name"
0,0,"Perezia recurvata"
-69.5,-51.833333,"Perezia recurvata"
-71.583333,-41,"Perezia recurvata"
-70.8906,-35.8156,"Perezia recurvata"
-64.9208,-35.3869,"Perezia recurvata"
-70.78,-36.87,"Perezia recurvata"
-71.55,-41.43,"Perezia recurvata"
-70.61,-40.97,"Perezia recurvata"
-69.37,-36.14,"Perezia recurvata"
-70.12,-51.72,"Perezia recurvata"
-68.73,-45.82,"Perezia recurvata"
-70.33,-36.9,"Perezia recurvata"
-70.2,-36.9,"Perezia recurvata"
-64.36,-40.07,"Perezia recurvata"
-71.44,-40.76,"Perezia recurvata"
-72.09,-49.76,"Perezia recurvata"
-67.08,-46.05,"Perezia recurvata"
-71.15,-41.28,"Perezia recurvata"
-68.85,-50.17,"Perezia recurvata"
-67.93,-54.04,"Perezia recurvata"
-70.62,-51.38,"Perezia recurvata"
-70.62,-36.37,"Perezia recurvata"
-69.63,-51.61,"Perezia recurvata"
-70.77,-36.43,"Perezia recurvata"
-71.95,-50.18,"Perezia recurvata"
-70.75,-40.67,"Perezia recurvata"
-68.092662,-45.772437,"Perezia recurvata"
-67.41,-45.4,"Perezia recurvata"
-71.12,-48.22,"Perezia recurvata"
-71.49,-43.02,"Perezia recurvata"
-70.54,-44.18,"Perezia recurvata"
-70.36,-40.01,"Perezia recurvata"
-71.23,-40.35,"Perezia recurvata"
-59.3633,-51.73712,"Perezia recurvata"
-68.06,-45.8,"Perezia recurvata"
-68.36,-34.94,"Perezia recurvata"
-70.74,-42.29,"Perezia recurvata"
-69.65,-51.56,"Perezia recurvata"
