"lon","lat","species.name"
-96.506438,17.578289,"Pernettya prostrata"
-97.447242,19.268506,"Pernettya prostrata"
-97.446511,19.278683,"Pernettya prostrata"
-83.889021,9.655698,"Pernettya prostrata"
-97.979256,19.220878,"Pernettya prostrata"
-98.093491,19.834539,"Pernettya prostrata"
-73.333333,5.283333,"Pernettya prostrata"
-77.482639,1.575083,"Pernettya prostrata"
-103.606707,19.565369,"Pernettya prostrata"
-73.780722,4.7605,"Pernettya prostrata"
-75.995139,3.315556,"Pernettya prostrata"
-75.993667,3.316,"Pernettya prostrata"
-75.995611,3.315333,"Pernettya prostrata"
-75.993667,3.315722,"Pernettya prostrata"
-73.777417,4.767861,"Pernettya prostrata"
-76.000056,3.31625,"Pernettya prostrata"
-75.999556,3.315444,"Pernettya prostrata"
-75.993556,3.3165,"Pernettya prostrata"
-75.999611,3.315722,"Pernettya prostrata"
-75.993944,3.315611,"Pernettya prostrata"
-75.997889,3.314778,"Pernettya prostrata"
-75.998222,3.315194,"Pernettya prostrata"
-73.76225,4.895933,"Pernettya prostrata"
-73.197583,5.834083,"Pernettya prostrata"
-73.383278,5.741056,"Pernettya prostrata"
-73.1985,5.833806,"Pernettya prostrata"
-73.376333,5.753611,"Pernettya prostrata"
-73.383278,5.742028,"Pernettya prostrata"
-73.752539,4.895719,"Pernettya prostrata"
-73.190639,5.829611,"Pernettya prostrata"
-73.383444,5.742,"Pernettya prostrata"
-73.38375,5.740833,"Pernettya prostrata"
-73.376333,5.754028,"Pernettya prostrata"
-73.384278,5.739639,"Pernettya prostrata"
-73.37675,5.752583,"Pernettya prostrata"
-73.383639,5.741,"Pernettya prostrata"
-73.383694,5.741917,"Pernettya prostrata"
-76.077972,3.537583,"Pernettya prostrata"
-76.075361,3.539722,"Pernettya prostrata"
-76.075028,3.539778,"Pernettya prostrata"
-76.07675,3.537833,"Pernettya prostrata"
-76.077861,3.537278,"Pernettya prostrata"
-75.3469,4.63344,"Pernettya prostrata"
-76.076944,3.537917,"Pernettya prostrata"
-76.078139,3.536944,"Pernettya prostrata"
-72.992,9.985347,"Pernettya prostrata"
-72.915417,10.362944,"Pernettya prostrata"
-72.91525,10.362917,"Pernettya prostrata"
-73.256944,5.812944,"Pernettya prostrata"
-72.994611,9.985519,"Pernettya prostrata"
-72.994667,9.985525,"Pernettya prostrata"
-72.9155,10.362972,"Pernettya prostrata"
-73.257278,5.813194,"Pernettya prostrata"
-73.251528,5.813611,"Pernettya prostrata"
-73.251,5.813944,"Pernettya prostrata"
-73.257,5.813083,"Pernettya prostrata"
-72.994528,9.9855,"Pernettya prostrata"
-72.991833,9.985311,"Pernettya prostrata"
-73.258528,5.813583,"Pernettya prostrata"
-73.258056,5.813778,"Pernettya prostrata"
-73.258306,5.813667,"Pernettya prostrata"
-76.033318,5.641974,"Pernettya prostrata"
-75.233627,4.642485,"Pernettya prostrata"
-75.261505,4.876531,"Pernettya prostrata"
-75.256761,4.881321,"Pernettya prostrata"
-75.419083,4.616692,"Pernettya prostrata"
-75.238551,4.642704,"Pernettya prostrata"
-75.262103,4.876493,"Pernettya prostrata"
-75.263286,4.873075,"Pernettya prostrata"
-75.263526,4.87299,"Pernettya prostrata"
-75.261434,4.876664,"Pernettya prostrata"
-75.420694,4.618,"Pernettya prostrata"
-75.418528,4.616967,"Pernettya prostrata"
-75.263142,4.873445,"Pernettya prostrata"
-75.42075,4.617861,"Pernettya prostrata"
-75.238133,4.642632,"Pernettya prostrata"
-76.039292,6.50425,"Pernettya prostrata"
-75.237871,4.644308,"Pernettya prostrata"
-75.486115,4.81133,"Pernettya prostrata"
-75.482134,4.818047,"Pernettya prostrata"
-74.0936,4.346217,"Pernettya prostrata"
-75.323968,4.994741,"Pernettya prostrata"
-75.592833,4.366833,"Pernettya prostrata"
-75.600778,4.374639,"Pernettya prostrata"
-75.489255,4.806818,"Pernettya prostrata"
-75.482872,4.81837,"Pernettya prostrata"
-75.306963,4.741182,"Pernettya prostrata"
-75.489251,4.807125,"Pernettya prostrata"
-75.593306,4.366806,"Pernettya prostrata"
-75.323517,4.994498,"Pernettya prostrata"
-75.307314,4.741317,"Pernettya prostrata"
-75.487553,4.813687,"Pernettya prostrata"
-75.486491,4.811278,"Pernettya prostrata"
-74.09285,4.3465,"Pernettya prostrata"
-74.09605,4.3438,"Pernettya prostrata"
-74.095683,4.34415,"Pernettya prostrata"
-75.589083,4.368806,"Pernettya prostrata"
-74.097883,4.342817,"Pernettya prostrata"
-75.488808,4.80735,"Pernettya prostrata"
-75.598333,4.371361,"Pernettya prostrata"
-75.598472,4.371444,"Pernettya prostrata"
-75.324427,4.994458,"Pernettya prostrata"
-75.482473,4.818311,"Pernettya prostrata"
-75.597944,4.370861,"Pernettya prostrata"
-75.305433,4.737186,"Pernettya prostrata"
-75.6025,4.384472,"Pernettya prostrata"
-75.485795,4.811088,"Pernettya prostrata"
-75.600083,4.391972,"Pernettya prostrata"
-75.249848,4.726029,"Pernettya prostrata"
-75.257667,5.728617,"Pernettya prostrata"
-75.305018,4.737561,"Pernettya prostrata"
-75.593,4.366667,"Pernettya prostrata"
-74.092883,4.346483,"Pernettya prostrata"
