"lon","lat","species.name"
17.640442,59.833141,"Bistorta officinalis"
10.15965,48.905296,"Bistorta officinalis"
9.946854,47.717342,"Bistorta officinalis"
12.525093,56.891277,"Bistorta officinalis"
9.54984,48.814781,"Bistorta officinalis"
9.352498,51.270943,"Bistorta officinalis"
12.519667,56.894589,"Bistorta officinalis"
10.213766,48.985905,"Bistorta officinalis"
9.301658,51.3004,"Bistorta officinalis"
8.382963,51.256802,"Bistorta officinalis"
8.072548,47.721081,"Bistorta officinalis"
6.264353,51.298557,"Bistorta officinalis"
11.060122,47.597511,"Bistorta officinalis"
9.919615,50.485767,"Bistorta officinalis"
7.934207,48.459549,"Bistorta officinalis"
8.42396,48.069031,"Bistorta officinalis"
11.275906,47.724582,"Bistorta officinalis"
8.460159,48.124451,"Bistorta officinalis"
7.985001,47.731472,"Bistorta officinalis"
10.341954,51.76667,"Bistorta officinalis"
25.371147,54.675159,"Bistorta officinalis"
10.270114,51.737339,"Bistorta officinalis"
5.93795,50.66179,"Bistorta officinalis"
10.854084,51.690132,"Bistorta officinalis"
13.467865,52.486961,"Bistorta officinalis"
12.228727,54.056263,"Bistorta officinalis"
9.092649,48.728157,"Bistorta officinalis"
10.290799,51.749775,"Bistorta officinalis"
8.379006,48.129135,"Bistorta officinalis"
9.750581,51.34375,"Bistorta officinalis"
6.556456,50.399847,"Bistorta officinalis"
10.263677,48.909435,"Bistorta officinalis"
8.392138,48.121586,"Bistorta officinalis"
13.401003,54.06435,"Bistorta officinalis"
7.007635,46.344875,"Bistorta officinalis"
8.529339,48.042427,"Bistorta officinalis"
8.366137,51.256786,"Bistorta officinalis"
12.28587,51.86171,"Bistorta officinalis"
6.413269,51.268147,"Bistorta officinalis"
10.360279,48.88435,"Bistorta officinalis"
10.363283,51.782604,"Bistorta officinalis"
7.959766,50.616795,"Bistorta officinalis"
8.564483,51.153938,"Bistorta officinalis"
9.919697,50.462986,"Bistorta officinalis"
13.417997,52.43409,"Bistorta officinalis"
8.487151,51.183186,"Bistorta officinalis"
11.000233,52.920185,"Bistorta officinalis"
10.290451,48.923981,"Bistorta officinalis"
9.22637,50.522377,"Bistorta officinalis"
9.282568,50.754894,"Bistorta officinalis"
9.356543,48.876225,"Bistorta officinalis"
9.811392,46.802292,"Bistorta officinalis"
6.524591,50.445698,"Bistorta officinalis"
43.49979,41.742744,"Bistorta officinalis"
6.251478,50.513863,"Bistorta officinalis"
43.499367,41.714272,"Bistorta officinalis"
10.703859,48.315166,"Bistorta officinalis"
43.506496,41.70377,"Bistorta officinalis"
44.622032,42.664993,"Bistorta officinalis"
10.526925,51.766568,"Bistorta officinalis"
10.823078,51.58699,"Bistorta officinalis"
39.31662,55.89157,"Bistorta officinalis"
39.31932,55.89077,"Bistorta officinalis"
10.7024,51.64753,"Bistorta officinalis"
12.643204,48.211433,"Bistorta officinalis"
5.47532,45.029,"Bistorta officinalis"
7.900372,47.911194,"Bistorta officinalis"
7.008805,48.03138,"Bistorta officinalis"
10.715876,51.641567,"Bistorta officinalis"
10.303888,47.474636,"Bistorta officinalis"
10.231018,47.629074,"Bistorta officinalis"
10.329466,51.794338,"Bistorta officinalis"
8.438379,50.231808,"Bistorta officinalis"
10.531769,51.718147,"Bistorta officinalis"
44.75275,42.580971,"Bistorta officinalis"
8.207421,48.07407,"Bistorta officinalis"
43.835609,41.432293,"Bistorta officinalis"
6.259975,50.496777,"Bistorta officinalis"
11.988745,50.277714,"Bistorta officinalis"
10.771312,51.679035,"Bistorta officinalis"
7.067833,48.109791,"Bistorta officinalis"
12.054255,50.31308,"Bistorta officinalis"
8.137297,50.637554,"Bistorta officinalis"
6.861261,47.065044,"Bistorta officinalis"
7.447751,49.391338,"Bistorta officinalis"
11.649971,46.519421,"Bistorta officinalis"
8.588753,50.303841,"Bistorta officinalis"
8.005257,47.876923,"Bistorta officinalis"
11.279612,47.383705,"Bistorta officinalis"
8.151772,50.658482,"Bistorta officinalis"
10.965385,51.586029,"Bistorta officinalis"
6.35701,46.72759,"Bistorta officinalis"
9.24624,50.525761,"Bistorta officinalis"
43.521019,41.757839,"Bistorta officinalis"
9.957148,50.473804,"Bistorta officinalis"
9.236841,50.531052,"Bistorta officinalis"
11.612463,46.554375,"Bistorta officinalis"
12.12805,54.012733,"Bistorta officinalis"
9.24131,50.440842,"Bistorta officinalis"
10.558064,47.52803,"Bistorta officinalis"
10.22501,47.483685,"Bistorta officinalis"
10.688602,51.744144,"Bistorta officinalis"
24.871696,54.781746,"Bistorta officinalis"
1.93965,42.74738,"Bistorta officinalis"
7.602882,46.469078,"Bistorta officinalis"
7.459373,44.077229,"Bistorta officinalis"
8.528824,46.999748,"Bistorta officinalis"
7.37154,45.602871,"Bistorta officinalis"
8.441663,48.60854,"Bistorta officinalis"
7.561641,46.45826,"Bistorta officinalis"
11.156155,47.517071,"Bistorta officinalis"
8.064827,46.667036,"Bistorta officinalis"
1.99001,42.561031,"Bistorta officinalis"
7.052882,45.077053,"Bistorta officinalis"
8.104305,47.733089,"Bistorta officinalis"
10.007172,47.580868,"Bistorta officinalis"
9.824438,53.092892,"Bistorta officinalis"
9.598618,48.081978,"Bistorta officinalis"
7.839217,47.825115,"Bistorta officinalis"
24.599934,45.615719,"Bistorta officinalis"
8.071541,47.821003,"Bistorta officinalis"
9.08947,48.744473,"Bistorta officinalis"
12.421417,51.848503,"Bistorta officinalis"
13.62854,46.192665,"Bistorta officinalis"
5.19979,51.25253,"Bistorta officinalis"
5.19239,51.2391,"Bistorta officinalis"
4.97157,51.32582,"Bistorta officinalis"
4.85189,50.85894,"Bistorta officinalis"
4.90911,50.89464,"Bistorta officinalis"
5.25089,50.92854,"Bistorta officinalis"
5.38493,50.87801,"Bistorta officinalis"
4.62424,50.78774,"Bistorta officinalis"
17.640388,59.833182,"Bistorta officinalis"
4.62664,51.21921,"Bistorta officinalis"
3.60381,50.74958,"Bistorta officinalis"
3.25869,50.9626,"Bistorta officinalis"
4.51191,51.1475,"Bistorta officinalis"
5.41914,50.81927,"Bistorta officinalis"
