"lon","lat","species.name"
77.62,33.02,"Piptatherum laterale"
77.86,32.7,"Piptatherum laterale"
77.52,33.52,"Piptatherum laterale"
90.05,29.33,"Piptatherum laterale"
72.15,35.88,"Piptatherum laterale"
92.13,30.12,"Piptatherum laterale"
75.6,35.12,"Piptatherum laterale"
77.63,33.05,"Piptatherum laterale"
77.55,32.92,"Piptatherum laterale"
77.17,32.58,"Piptatherum laterale"
91.47,29.75,"Piptatherum laterale"
76.7,34.28,"Piptatherum laterale"
75.93,34.5,"Piptatherum laterale"
60,28,"Piptatherum laterale"
56.416667,28.816667,"Piptatherum laterale"
51.833333,30.333333,"Piptatherum laterale"
67.866667,33.566667,"Piptatherum laterale"
67.85,33.566667,"Piptatherum laterale"
101.865706,30.14136,"Piptatherum laterale"
74.32,37.05,"Piptatherum laterale"
72.95,37.13,"Piptatherum laterale"
72.82,37.02,"Piptatherum laterale"
72.83,37.04,"Piptatherum laterale"
68.97,35.45,"Piptatherum laterale"
68.133333,33.733333,"Piptatherum laterale"
70,35.68,"Piptatherum laterale"
68.25,34.416667,"Piptatherum laterale"
67.916667,33.833333,"Piptatherum laterale"
68.916667,34,"Piptatherum laterale"
48.33333,34.75,"Piptatherum laterale"
48.35,34.75,"Piptatherum laterale"
51.51667,30.9,"Piptatherum laterale"
75.97,34.3,"Piptatherum laterale"
77.63,34.13,"Piptatherum laterale"
76.8,33.53,"Piptatherum laterale"
76.45,34.55,"Piptatherum laterale"
76.08,34.33,"Piptatherum laterale"
77.58,34.17,"Piptatherum laterale"
75.6,34.37,"Piptatherum laterale"
76.17,34.08,"Piptatherum laterale"
77.03,34.33,"Piptatherum laterale"
77,33,"Piptatherum laterale"
71.38,39.25,"Piptatherum laterale"
76.35,33.87,"Piptatherum laterale"
76.02,34.27,"Piptatherum laterale"
77.22,34.28,"Piptatherum laterale"
77.82,33.83,"Piptatherum laterale"
77.12,34.22,"Piptatherum laterale"
77.33,35.03,"Piptatherum laterale"
77.67,34,"Piptatherum laterale"
54.19778,32.73944,"Piptatherum laterale"
72.58,35.33,"Piptatherum laterale"
75.77,34.43,"Piptatherum laterale"
73.33,36.85,"Piptatherum laterale"
76.37,34.38,"Piptatherum laterale"
73,37,"Piptatherum laterale"
75.72,34.3,"Piptatherum laterale"
77.13,34.28,"Piptatherum laterale"
76.1,34.57,"Piptatherum laterale"
77.55,34.08,"Piptatherum laterale"
73.33,37.03,"Piptatherum laterale"
76.13,34.08,"Piptatherum laterale"
