"lon","lat","species.name"
-69.1844,-55.02064,"Plantago barbata"
-70.320556,-35.967222,"Plantago barbata"
-70.143889,-35.109167,"Plantago barbata"
-70.521111,-36.678056,"Plantago barbata"
-72.06756,-47.73192,"Plantago barbata"
-72.11786,-47.92071,"Plantago barbata"
-72.23098,-47.73932,"Plantago barbata"
-72.36557,-47.74994,"Plantago barbata"
-70.05,-29.78,"Plantago barbata"
-69.000289,-31.000781,"Plantago barbata"
-70.08333,-33.81666,"Plantago barbata"
-68.3,-54.78333,"Plantago barbata"
-68.9,-49.96666,"Plantago barbata"
-67.78333,-53.83333,"Plantago barbata"
-70.766667,-51.033333,"Plantago barbata"
-67.58333,-46.61666,"Plantago barbata"
-71.666667,-46.066667,"Plantago barbata"
-67.583333,-46.616667,"Plantago barbata"
-69.8,-45.98333,"Plantago barbata"
-70,-49.36666,"Plantago barbata"
-70.61666,-46.03333,"Plantago barbata"
-67.7,-54.66666,"Plantago barbata"
-70.88333,-38.66666,"Plantago barbata"
-69.5,-51.13333,"Plantago barbata"
-70.76666,-51.03333,"Plantago barbata"
-64.12,-54.82,"Plantago barbata"
-64.68,-54.8,"Plantago barbata"
-64.03,-54.75,"Plantago barbata"
-68.03333,-54.71666,"Plantago barbata"
-59.5,-51.75,"Plantago barbata"
-71.55,-41.43,"Plantago barbata"
-70.14,-35.11,"Plantago barbata"
-70.52,-36.68,"Plantago barbata"
-71.666667,-36.9,"Plantago barbata"
-70.76639,-30.54583,"Plantago barbata"
-59.925424,-51.975279,"Plantago barbata"
-70.32,-35.97,"Plantago barbata"
-69.83,-31,"Plantago barbata"
-71.81,-47.04,"Plantago barbata"
-70.75,-46.63,"Plantago barbata"
-69.61,-49.96,"Plantago barbata"
-72.83,-51.17,"Plantago barbata"
-60.069246,-51.954858,"Plantago barbata"
-57.84889,-51.694662,"Plantago barbata"
-71.37389,-37.8525,"Plantago barbata"
-69.75,-30.32,"Plantago barbata"
-68.14,-47.22,"Plantago barbata"
-67.93,-54.04,"Plantago barbata"
-69.59,-30.39,"Plantago barbata"
-71.56472,-53.49278,"Plantago barbata"
-70.583333,-35.25,"Plantago barbata"
-71.373979,-37.852489,"Plantago barbata"
-69.39,-29.25,"Plantago barbata"
