"lon","lat","species.name"
10.973259,46.66328,"Plantago holosteum"
-3.09433,47.28307,"Plantago holosteum"
2.45587,47.31883,"Plantago holosteum"
3.88314,44.27849,"Plantago holosteum"
9.409404,44.5037,"Plantago holosteum"
3.68557,44.182327,"Plantago holosteum"
-6.903484,37.481227,"Plantago holosteum"
26.05,41.1,"Plantago holosteum"
21.15,39.766667,"Plantago holosteum"
3.62757,44.23559,"Plantago holosteum"
1.67,42.4,"Plantago holosteum"
21.65,40.2,"Plantago holosteum"
1.474,42.431,"Plantago holosteum"
-7.23,42.72,"Plantago holosteum"
1.474,42.449,"Plantago holosteum"
1.486,42.459,"Plantago holosteum"
9.3,40.02,"Plantago holosteum"
9.3,40.0167,"Plantago holosteum"
22.744722,37.383611,"Plantago holosteum"
22.7475,37.445,"Plantago holosteum"
22.983889,36.519722,"Plantago holosteum"
25.95,41.166667,"Plantago holosteum"
-4.17,40.72,"Plantago holosteum"
21.2,40.733333,"Plantago holosteum"
22.283333,41.033333,"Plantago holosteum"
21.666667,40.666667,"Plantago holosteum"
21.683333,40.866667,"Plantago holosteum"
21.783333,40.866667,"Plantago holosteum"
21.4,40.6,"Plantago holosteum"
-4.44,38.63,"Plantago holosteum"
-5.84,42.74,"Plantago holosteum"
-1.499,41.393,"Plantago holosteum"
24.316667,41.483333,"Plantago holosteum"
-1.75,40.58,"Plantago holosteum"
1.85,42.4,"Plantago holosteum"
24.216667,41.35,"Plantago holosteum"
23.583333,41.25,"Plantago holosteum"
21.95,40.65,"Plantago holosteum"
21.65,40.166667,"Plantago holosteum"
3.4997,44.51756,"Plantago holosteum"
22.166667,40.266667,"Plantago holosteum"
24.316667,41.5,"Plantago holosteum"
21.566667,38.7,"Plantago holosteum"
21.7,38.816667,"Plantago holosteum"
22.316667,38.5,"Plantago holosteum"
21.933333,38.783333,"Plantago holosteum"
21.183333,39.6,"Plantago holosteum"
21.166667,39.866667,"Plantago holosteum"
21.183333,39.866667,"Plantago holosteum"
21.85,38.95,"Plantago holosteum"
3.75789,46.6248,"Plantago holosteum"
21.8,38.95,"Plantago holosteum"
22.133333,38.7,"Plantago holosteum"
22.283333,38.816667,"Plantago holosteum"
22.230278,42.529167,"Plantago holosteum"
21.183333,39.8,"Plantago holosteum"
21.216667,39.783333,"Plantago holosteum"
22.416667,37.95,"Plantago holosteum"
22.616667,37.283333,"Plantago holosteum"
22.35,36.95,"Plantago holosteum"
21.85,38.2,"Plantago holosteum"
22.366667,36.95,"Plantago holosteum"
1.312,46.7216,"Plantago holosteum"
1.42798,46.6915,"Plantago holosteum"
22.616667,37.233333,"Plantago holosteum"
3.73505,44.36203,"Plantago holosteum"
21.666667,40.2,"Plantago holosteum"
11.965181,57.704499,"Plantago holosteum"
0.188991,47.1982,"Plantago holosteum"
0.243576,47.1741,"Plantago holosteum"
0.129847,47.3054,"Plantago holosteum"
0.178828,47.3168,"Plantago holosteum"
0.323438,47.2136,"Plantago holosteum"
2.03384,47.3235,"Plantago holosteum"
2.30433,47.508,"Plantago holosteum"
21.233333,39.783333,"Plantago holosteum"
2.29751,47.458,"Plantago holosteum"
2.14412,47.5391,"Plantago holosteum"
2.33088,47.5508,"Plantago holosteum"
2.17738,47.3775,"Plantago holosteum"
2.16244,47.4663,"Plantago holosteum"
2.04371,47.4275,"Plantago holosteum"
1.73715,47.3781,"Plantago holosteum"
1.15161,47.8721,"Plantago holosteum"
1.48288,47.2936,"Plantago holosteum"
1.2761,48.0658,"Plantago holosteum"
1.37711,48.1825,"Plantago holosteum"
1.37063,48.1352,"Plantago holosteum"
1.30537,48.1141,"Plantago holosteum"
1.35419,48.2282,"Plantago holosteum"
1.24983,48.4554,"Plantago holosteum"
2.40589,47.426,"Plantago holosteum"
2.25396,47.3073,"Plantago holosteum"
-3.45,37.11,"Plantago holosteum"
1.79,42.360001,"Plantago holosteum"
-5.64419,40.214556,"Plantago holosteum"
-5.76524,40.301804,"Plantago holosteum"
-5.180279,40.404392,"Plantago holosteum"
-5.558562,42.898044,"Plantago holosteum"
-6.61,40.330002,"Plantago holosteum"
-5.86,42.84,"Plantago holosteum"
-6.470098,40.307186,"Plantago holosteum"
-6.59,40.349998,"Plantago holosteum"
0.903525,41.486851,"Plantago holosteum"
