"lon","lat","species.name"
-75.354012,4.953103,"Plantago rigida"
-75.263526,4.87299,"Plantago rigida"
-75.263142,4.873445,"Plantago rigida"
-75.348511,5.249721,"Plantago rigida"
-75.798861,4.091139,"Plantago rigida"
-75.79825,4.091694,"Plantago rigida"
-78.018667,0.006417,"Plantago rigida"
-78.884722,-1.544722,"Plantago rigida"
-76.23,-10.69,"Plantago rigida"
-77.881226,0.668263,"Plantago rigida"
-79.205,-2.785833,"Plantago rigida"
-72.900014,7.258353,"Plantago rigida"
-74.213056,4.289444,"Plantago rigida"
-78.81666,-1.48333,"Plantago rigida"
-77.01666,-0.73333,"Plantago rigida"
-75.32363,4.892594,"Plantago rigida"
-78.96666,-1.38333,"Plantago rigida"
-78.81666,-1.4,"Plantago rigida"
-78.96666,-1.45,"Plantago rigida"
-76.74115,3.2913,"Plantago rigida"
-72.5,-12.5,"Plantago rigida"
-78.61666,-0.66666,"Plantago rigida"
-78.25,0.13333,"Plantago rigida"
-74.175181,4.283804,"Plantago rigida"
-77.926712,0.825663,"Plantago rigida"
-74.121881,4.159002,"Plantago rigida"
-74.005556,5.222222,"Plantago rigida"
-74.1911,4.195,"Plantago rigida"
-74.205222,4.292192,"Plantago rigida"
-67.96666,-16.3,"Plantago rigida"
-74.12113,4.314381,"Plantago rigida"
-77.788815,4.678701,"Plantago rigida"
-73.788815,4.678701,"Plantago rigida"
-77.45,-9.45,"Plantago rigida"
-77.75,-9.5,"Plantago rigida"
-77.683333,-8.883333,"Plantago rigida"
-77.21666,-9.96666,"Plantago rigida"
-77.51666,-9.11666,"Plantago rigida"
-77.63333,-8.96666,"Plantago rigida"
-75.65,-10.36666,"Plantago rigida"
-76.5943,3.4622,"Plantago rigida"
-74.2314,4.1826,"Plantago rigida"
-78.2,-0.46666,"Plantago rigida"
-78.43333,-1.8,"Plantago rigida"
-78.3,-1.15,"Plantago rigida"
-78.5,-0.66666,"Plantago rigida"
-78.283333,-7.983333,"Plantago rigida"
-74.1802,3.97765,"Plantago rigida"
-77.949414,0.81217,"Plantago rigida"
-77.949414,0.812017,"Plantago rigida"
-73.8289,4.7543,"Plantago rigida"
-73.822,4.6793,"Plantago rigida"
-74.1183,3.947,"Plantago rigida"
-78.83333,-1.65,"Plantago rigida"
-78.25,-0.7,"Plantago rigida"
-77.98333,0.06666,"Plantago rigida"
-78.31666,-1.2,"Plantago rigida"
-77.83333,0.68333,"Plantago rigida"
-77.65,0.56666,"Plantago rigida"
-78.35,-0.78333,"Plantago rigida"
-78.16666,-0.45,"Plantago rigida"
-72.7262,6.9922,"Plantago rigida"
-74.2766,4.1579,"Plantago rigida"
-74.2477,4.0766,"Plantago rigida"
-74.2489,4.1161,"Plantago rigida"
-78.11666,-0.31666,"Plantago rigida"
-78.12,-0.32,"Plantago rigida"
-78.18333,-0.51666,"Plantago rigida"
-79.38,-4.57,"Plantago rigida"
-78.41666,-0.93333,"Plantago rigida"
-79.38333,-4.56666,"Plantago rigida"
-78.15,-0.28333,"Plantago rigida"
-74.109864,3.939317,"Plantago rigida"
-72.297496,6.350705,"Plantago rigida"
-72.17805,6.103815,"Plantago rigida"
-78.2,-0.28333,"Plantago rigida"
-74.1068,3.9447,"Plantago rigida"
-78.2,-0.3,"Plantago rigida"
-74.243333,4.110556,"Plantago rigida"
-75.377,5.031741,"Plantago rigida"
-78.82,-0.9,"Plantago rigida"
-78.81666,-0.9,"Plantago rigida"
-75.495525,5.055659,"Plantago rigida"
-78.6667,-0.1667,"Plantago rigida"
-76.513056,4.073611,"Plantago rigida"
-73.8,4.683333,"Plantago rigida"
-76.055278,5.129167,"Plantago rigida"
-75.75443,5.44589,"Plantago rigida"
-76.686556,5.133361,"Plantago rigida"
-75.354167,4.9325,"Plantago rigida"
-75.068661,5.485603,"Plantago rigida"
-75.405833,4.793333,"Plantago rigida"
-74.37556,-9.16389,"Plantago rigida"
-75.333333,4.791667,"Plantago rigida"
-74.232063,4.291563,"Plantago rigida"
-75.461374,5.088607,"Plantago rigida"
-75.34949,4.75673,"Plantago rigida"
-75.61147,6.2576,"Plantago rigida"
