"lon","lat","species.name"
77.55778,-37.84417,"Poa alopecurus"
77.55833,-37.83333,"Poa alopecurus"
-69.1844,-55.02064,"Poa alopecurus"
-72.23098,-47.73932,"Poa alopecurus"
-71.4886,-44.0064,"Poa alopecurus"
-71.4533,-44.0417,"Poa alopecurus"
-72.9012,-49.0727,"Poa alopecurus"
-71.5932,-51.9012,"Poa alopecurus"
-71.0153,-44.1288,"Poa alopecurus"
-69.7285,-51.6878,"Poa alopecurus"
-71.8323,-41.1939,"Poa alopecurus"
-72.0043,-48.5552,"Poa alopecurus"
-72.95833,-50.48722,"Poa alopecurus"
-72.2063,-51.1829,"Poa alopecurus"
-71.8231,-47.0744,"Poa alopecurus"
-72.8882,-49.0806,"Poa alopecurus"
-71.7187,-40.1893,"Poa alopecurus"
-71.4298,-39.5855,"Poa alopecurus"
-72.17583,-40.66305,"Poa alopecurus"
-72.3611,-43.4397,"Poa alopecurus"
-72.1758,-40.6631,"Poa alopecurus"
-71.94722,-40.71055,"Poa alopecurus"
-72.0417,-46.0675,"Poa alopecurus"
-72.03055,-45.53055,"Poa alopecurus"
-71.0222,-53.1367,"Poa alopecurus"
-71.2167,-53.1506,"Poa alopecurus"
-72.0306,-45.5306,"Poa alopecurus"
-70.9744,-53.7603,"Poa alopecurus"
-72.916111,-50.967778,"Poa alopecurus"
-72.04222,-51.14444,"Poa alopecurus"
-73.03,-50.46944,"Poa alopecurus"
-69.39555,-51.8525,"Poa alopecurus"
-69.06694,-52.15805,"Poa alopecurus"
-71.28777,-51.92972,"Poa alopecurus"
-71.65666,-51.84277,"Poa alopecurus"
-69.62777,-51.62833,"Poa alopecurus"
-72.24527,-51.5425,"Poa alopecurus"
-72.22,-51.19805,"Poa alopecurus"
-71.43916,-51.90527,"Poa alopecurus"
-72.7925,-50.30722,"Poa alopecurus"
-68.88111,-51.74305,"Poa alopecurus"
-67.95,-53.75,"Poa alopecurus"
-67.866667,-53.8,"Poa alopecurus"
-67.86666,-53.8,"Poa alopecurus"
-68.15,-53.68333,"Poa alopecurus"
-67.7,-53.78333,"Poa alopecurus"
-70.540555,-44.182222,"Poa alopecurus"
-69.55,-51.25,"Poa alopecurus"
-69.3,-51.85,"Poa alopecurus"
-69.03333,-52.16666,"Poa alopecurus"
