"lon","lat","species.name"
-106.409787,38.827752,"Polemonium viscosum"
-113.753466,44.11605,"Polemonium viscosum"
-105.628403,40.465103,"Polemonium viscosum"
-105.808575,40.411794,"Polemonium viscosum"
-106.376903,38.788905,"Polemonium viscosum"
-106.972062,38.990708,"Polemonium viscosum"
-106.38366,38.603484,"Polemonium viscosum"
-105.813897,39.635572,"Polemonium viscosum"
-106.9388,38.973479,"Polemonium viscosum"
-107.100128,38.909347,"Polemonium viscosum"
-105.414068,39.506799,"Polemonium viscosum"
-109.485073,44.960708,"Polemonium viscosum"
-114.137968,49.195793,"Polemonium viscosum"
-106.952663,38.967085,"Polemonium viscosum"
-106.141663,39.342794,"Polemonium viscosum"
-106.937823,38.964929,"Polemonium viscosum"
-111.678465,35.344832,"Polemonium viscosum"
-110.433025,44.797033,"Polemonium viscosum"
-114.306178,38.992938,"Polemonium viscosum"
-105.754135,40.441719,"Polemonium viscosum"
-107.398765,37.65741,"Polemonium viscosum"
-105.59298,39.64285,"Polemonium viscosum"
-110.903219,40.697776,"Polemonium viscosum"
-107.537506,37.933608,"Polemonium viscosum"
-106.246667,41.358611,"Polemonium viscosum"
-106.592842,39.053731,"Polemonium viscosum"
-109.832296,40.769362,"Polemonium viscosum"
-116.918053,38.735614,"Polemonium viscosum"
-105.023636,38.815491,"Polemonium viscosum"
-105.321617,36.957882,"Polemonium viscosum"
-114.343953,44.367142,"Polemonium viscosum"
-107.538049,37.800698,"Polemonium viscosum"
-105.736815,39.602253,"Polemonium viscosum"
0,0,"Polemonium viscosum"
-106.14555,39.28861,"Polemonium viscosum"
-105.60277,39.635,"Polemonium viscosum"
-111.8672,37.8983,"Polemonium viscosum"
-105.781944,39.625279,"Polemonium viscosum"
-105.0292,37.8909,"Polemonium viscosum"
-106.230556,38.141111,"Polemonium viscosum"
-106.100486,39.034435,"Polemonium viscosum"
-106.26575,39.120605,"Polemonium viscosum"
-110.46,40.57,"Polemonium viscosum"
-104.973889,37.376944,"Polemonium viscosum"
-104.979721,37.373333,"Polemonium viscosum"
-110.15,40.82,"Polemonium viscosum"
-107.811731,37.80944,"Polemonium viscosum"
-106.151637,38.995518,"Polemonium viscosum"
-118.6857,44.2928,"Polemonium viscosum"
-106.2,41.33,"Polemonium viscosum"
-110.8,40.55,"Polemonium viscosum"
-106.129786,38.99384,"Polemonium viscosum"
-110.73,40.53,"Polemonium viscosum"
-109.73,40.78,"Polemonium viscosum"
-108.99055,42.67,"Polemonium viscosum"
-108.99055,42.66972,"Polemonium viscosum"
-109.1,42.85,"Polemonium viscosum"
-110.60919,40.74331,"Polemonium viscosum"
-106.161003,39.291,"Polemonium viscosum"
-105.66466,40.523181,"Polemonium viscosum"
-118.6336,42.7745,"Polemonium viscosum"
-112.334,38.39061,"Polemonium viscosum"
-115.35089,41.76411,"Polemonium viscosum"
-110.422,45.5511,"Polemonium viscosum"
-118.2467,37.6305,"Polemonium viscosum"
-105.45,36.85,"Polemonium viscosum"
-114.58,39.35,"Polemonium viscosum"
-109.23,38.47,"Polemonium viscosum"
-111.69,38.07,"Polemonium viscosum"
-106.407732,38.825773,"Polemonium viscosum"
-109.22,38.52,"Polemonium viscosum"
-105.677853,38.086506,"Polemonium viscosum"
-112.38981,38.36131,"Polemonium viscosum"
-106.23,41.358,"Polemonium viscosum"
-107.286028,37.968875,"Polemonium viscosum"
-107.547815,37.793422,"Polemonium viscosum"
-110.91139,40.70431,"Polemonium viscosum"
-106.106093,39.336052,"Polemonium viscosum"
-107.517167,37.906313,"Polemonium viscosum"
-107.708,37.7472,"Polemonium viscosum"
-117.471092,52.9669519990934,"Polemonium viscosum"
-116.95,52.3,"Polemonium viscosum"
-107.536913,37.93221,"Polemonium viscosum"
-107.362576,37.855804,"Polemonium viscosum"
-107.772549,37.971167,"Polemonium viscosum"
-107.057238,38.883022,"Polemonium viscosum"
-117.433333,52.95,"Polemonium viscosum"
-105.593804,39.63632,"Polemonium viscosum"
-105.644745,39.598549,"Polemonium viscosum"
-105.603502,39.627206,"Polemonium viscosum"
-105.642359,39.586631,"Polemonium viscosum"
-105.601654,39.657319,"Polemonium viscosum"
-110.4855,40.728806,"Polemonium viscosum"
-110.39989,40.71431,"Polemonium viscosum"
-118.3924,42.6685,"Polemonium viscosum"
-117.10939,39.29319,"Polemonium viscosum"
-105.805467,39.673717,"Polemonium viscosum"
-106.966667,39,"Polemonium viscosum"
-111.87,37.95,"Polemonium viscosum"
-112.93862,44.03622,"Polemonium viscosum"
-106.141139,39.262746,"Polemonium viscosum"
-105.58916,40.05472,"Polemonium viscosum"
-105.61694,40.05972,"Polemonium viscosum"
-113.473848,44.743294,"Polemonium viscosum"
-113.356649,44.682996,"Polemonium viscosum"
-106.24611,38.67389,"Polemonium viscosum"
-107.782537,37.735975,"Polemonium viscosum"
-106.117796,39.309521,"Polemonium viscosum"
-106.134361,39.326914,"Polemonium viscosum"
-114.066667,49.05,"Polemonium viscosum"
-114,49.033333,"Polemonium viscosum"
-114.125,49.225,"Polemonium viscosum"
-107.576332,37.991761,"Polemonium viscosum"
-114.1,49.066667,"Polemonium viscosum"
-113.833333,49.016667,"Polemonium viscosum"
-107.776287,37.994226,"Polemonium viscosum"
-105.738376,39.600108,"Polemonium viscosum"
-107.828395,37.900115,"Polemonium viscosum"
-113.833333,49,"Polemonium viscosum"
-115.82,39.59,"Polemonium viscosum"
-113.783333,49.033333,"Polemonium viscosum"
-105.45355,39.961376,"Polemonium viscosum"
-113.933333,49.083333,"Polemonium viscosum"
-113.85,49.033333,"Polemonium viscosum"
-105.93889,40.08611,"Polemonium viscosum"
-106.33399,41.29817,"Polemonium viscosum"
-109.45,45.033333,"Polemonium viscosum"
-109.416667,45.016667,"Polemonium viscosum"
-109.433333,44.983333,"Polemonium viscosum"
-110.68597,44.06557,"Polemonium viscosum"
-114.60931,39.33869,"Polemonium viscosum"
-105.535625,40.029781,"Polemonium viscosum"
-106.563056,39.106536,"Polemonium viscosum"
-107.616667,37.633333,"Polemonium viscosum"
-105.602578,39.630769,"Polemonium viscosum"
-117.2971,45.1588,"Polemonium viscosum"
-120.833333,49.016667,"Polemonium viscosum"
-114.2,49.033333,"Polemonium viscosum"
-114.09556,43.825,"Polemonium viscosum"
-120.183333,49.033333,"Polemonium viscosum"
-110.855769,44.818822,"Polemonium viscosum"
-106.95944,38.971664,"Polemonium viscosum"
-106.444185,39.115872,"Polemonium viscosum"
-113.703752,44.157148,"Polemonium viscosum"
-114.907459,43.895603,"Polemonium viscosum"
-113.744743,44.092357,"Polemonium viscosum"
-113.943091,44.032791,"Polemonium viscosum"
-114.585,44.03972,"Polemonium viscosum"
-113.85,39.85,"Polemonium viscosum"
-115.983333,49.683333,"Polemonium viscosum"
-105.661121,40.075622,"Polemonium viscosum"
-106.562798,39.106917,"Polemonium viscosum"
-111.39278,44.66694,"Polemonium viscosum"
-113.90444,44.235824,"Polemonium viscosum"
-122.966667,49.933333,"Polemonium viscosum"
-117.3024,45.1687,"Polemonium viscosum"
-114.50491,43.842563,"Polemonium viscosum"
-110.9,40.69,"Polemonium viscosum"
-105.816471,39.631878,"Polemonium viscosum"
-110.82,40.71,"Polemonium viscosum"
-114.29,38.98,"Polemonium viscosum"
-105.642222,39.586938,"Polemonium viscosum"
-109.24,38.43,"Polemonium viscosum"
-117.2194,45.1892,"Polemonium viscosum"
-105.644324,39.598353,"Polemonium viscosum"
-105.780814,39.652576,"Polemonium viscosum"
-105.877586,39.708153,"Polemonium viscosum"
-121.033333,49.933332999071,"Polemonium viscosum"
-121.05,49.933332999071,"Polemonium viscosum"
-121.066667,49.933332999071,"Polemonium viscosum"
-121.016667,49.9666669990712,"Polemonium viscosum"
-122.851007723767,49.9663799421498,"Polemonium viscosum"
-105.662047,39.598468,"Polemonium viscosum"
-117.5089,45.1561,"Polemonium viscosum"
-98,38,"Polemonium viscosum"
-111.558264,34.124269,"Polemonium viscosum"
-106.56447,39.10863,"Polemonium viscosum"
-112.49151,45.695576,"Polemonium viscosum"
-105.585,39.9916,"Polemonium viscosum"
-106.0432,39.3538,"Polemonium viscosum"
-105.5956,39.6298,"Polemonium viscosum"
-106.0987,39.3249,"Polemonium viscosum"
0,1,"Polemonium viscosum"
-105.663,40.516,"Polemonium viscosum"
-106.5668,37.3497,"Polemonium viscosum"
-105.8707,40.4745,"Polemonium viscosum"
-106.5595,37.4678,"Polemonium viscosum"
-105.5864,40.0747,"Polemonium viscosum"
-106.6894,38.1822,"Polemonium viscosum"
0,13,"Polemonium viscosum"
-105.663889,39.853889,"Polemonium viscosum"
-105.8489,40.5177,"Polemonium viscosum"
-107.0557,37.7916,"Polemonium viscosum"
-107.2356,39.01818,"Polemonium viscosum"
-105.6745,40.3368,"Polemonium viscosum"
-105.6141,40.2547,"Polemonium viscosum"
-105.6426,39.6156,"Polemonium viscosum"
-105.9056,40.5413,"Polemonium viscosum"
-106.43829,38.6859,"Polemonium viscosum"
-106.5632,39.1072,"Polemonium viscosum"
-106.4115,37.4957,"Polemonium viscosum"
-106.2846,40.3873,"Polemonium viscosum"
-105.5869,40.01,"Polemonium viscosum"
-106.8613,37.5722,"Polemonium viscosum"
-106.2192,38.757,"Polemonium viscosum"
-105.797,39.6876,"Polemonium viscosum"
-106.6819,37.3878,"Polemonium viscosum"
0,9,"Polemonium viscosum"
-108.0232,37.4499,"Polemonium viscosum"
-107.13324,38.86515,"Polemonium viscosum"
-105.6405,40.5322,"Polemonium viscosum"
18.0471,59.37,"Polemonium viscosum"
-105.621,40.2472,"Polemonium viscosum"
-105.6478,40.5276,"Polemonium viscosum"
-105.6822,39.9175,"Polemonium viscosum"
-107.8806,37.7344,"Polemonium viscosum"
-106.5135,37.383,"Polemonium viscosum"
-106.1301,40.3251,"Polemonium viscosum"
-105.6885,40.6332,"Polemonium viscosum"
-107.0492,37.9517,"Polemonium viscosum"
-106.5644,37.0841,"Polemonium viscosum"
-105.7819,39.6253,"Polemonium viscosum"
-105.8108,40.4197,"Polemonium viscosum"
