"lon","lat","species.name"
-72.283056,-50.380556,"Polygala salasiana"
-72.06756,-47.73192,"Polygala salasiana"
-71.47611,-44.00638,"Polygala salasiana"
-71.403611,-36.905278,"Polygala salasiana"
-71.503333,-36.913333,"Polygala salasiana"
-70.38694,-35.97888,"Polygala salasiana"
-71.383333,-36.9,"Polygala salasiana"
-70.55,-36.016667,"Polygala salasiana"
-71.583333,-41,"Polygala salasiana"
-72.09,-49.76,"Polygala salasiana"
-70.8906,-35.8156,"Polygala salasiana"
-72.28,-50.38,"Polygala salasiana"
-72.1378,-47.8356,"Polygala salasiana"
-70.39,-35.98,"Polygala salasiana"
-70.43,-38.58,"Polygala salasiana"
-70.33,-33.22,"Polygala salasiana"
