"lon","lat","species.name"
12.226067,53.787468,"Potentilla heptaphylla"
7.652954,48.109924,"Potentilla heptaphylla"
19.156389,49.148056,"Potentilla heptaphylla"
11.032211,51.957145,"Potentilla heptaphylla"
15.83027,47.63968,"Potentilla heptaphylla"
8.453465,50.051849,"Potentilla heptaphylla"
8.696451,47.902763,"Potentilla heptaphylla"
8.019664,49.205494,"Potentilla heptaphylla"
10.119696,48.52206,"Potentilla heptaphylla"
8.863478,49.104836,"Potentilla heptaphylla"
14.558888,56.067712,"Potentilla heptaphylla"
14.578076,56.03962,"Potentilla heptaphylla"
8.007743,49.168285,"Potentilla heptaphylla"
14.144792,56.043364,"Potentilla heptaphylla"
8.678963,49.592716,"Potentilla heptaphylla"
14.144702,56.043314,"Potentilla heptaphylla"
13.039585,55.811572,"Potentilla heptaphylla"
14.454953,56.016244,"Potentilla heptaphylla"
14.561556,56.063886,"Potentilla heptaphylla"
9.991042,49.209904,"Potentilla heptaphylla"
8.014243,49.113159,"Potentilla heptaphylla"
11.79,49.22,"Potentilla heptaphylla"
11.74,49.14,"Potentilla heptaphylla"
14.375066,55.961197,"Potentilla heptaphylla"
10.04,49.62,"Potentilla heptaphylla"
14.373637,55.959835,"Potentilla heptaphylla"
14.376835,55.961001,"Potentilla heptaphylla"
14.375829,55.96701,"Potentilla heptaphylla"
14.376674,55.961056,"Potentilla heptaphylla"
14.515607,56.092927,"Potentilla heptaphylla"
14.514233,56.090957,"Potentilla heptaphylla"
14.486735,56.09212,"Potentilla heptaphylla"
14.486493,56.092591,"Potentilla heptaphylla"
14.459427,56.013432,"Potentilla heptaphylla"
14.249275,56.006858,"Potentilla heptaphylla"
9.24242,48.324757,"Potentilla heptaphylla"
14.514269,56.093533,"Potentilla heptaphylla"
14.515895,56.092596,"Potentilla heptaphylla"
14.512364,56.091428,"Potentilla heptaphylla"
14.512499,56.090802,"Potentilla heptaphylla"
14.486556,56.092215,"Potentilla heptaphylla"
14.486654,56.092496,"Potentilla heptaphylla"
14.487122,56.091964,"Potentilla heptaphylla"
14.373637,55.959759,"Potentilla heptaphylla"
13.01995,52.403473,"Potentilla heptaphylla"
14.492673,56.090376,"Potentilla heptaphylla"
