"lon","lat","species.name"
-135.250099,57.032755,"Potentilla villosa"
-135.249939,57.033698,"Potentilla villosa"
-135.34441,57.046845,"Potentilla villosa"
-135.45798,57.08021,"Potentilla villosa"
-135.389826,57.038623,"Potentilla villosa"
-135.37353,56.98686,"Potentilla villosa"
-135.457864,57.07914,"Potentilla villosa"
-135.747209,57.163977,"Potentilla villosa"
-125.676126,49.011134,"Potentilla villosa"
-125.540236,48.9211,"Potentilla villosa"
-131.834971,55.490936,"Potentilla villosa"
-135.319341,57.048628,"Potentilla villosa"
-131.3499,52.352678,"Potentilla villosa"
-135.335011,57.048838,"Potentilla villosa"
-123.060866,47.874524,"Potentilla villosa"
-135.314414,57.034641,"Potentilla villosa"
-134.648094,56.24304,"Potentilla villosa"
-135.569406,57.114813,"Potentilla villosa"
-135.682192,57.370943,"Potentilla villosa"
-125.560062,48.936695,"Potentilla villosa"
-123.058937,47.849293,"Potentilla villosa"
-153.8236,57.1418999991408,"Potentilla villosa"
-123.058848,47.85075,"Potentilla villosa"
-153.34811,57.8518099991507,"Potentilla villosa"
-123.233333,49.25,"Potentilla villosa"
-147.570633,61.0625999992019,"Potentilla villosa"
-148.346917,60.1677169991866,"Potentilla villosa"
-154.257633,57.14415,"Potentilla villosa"
-152.699444,58.429444,"Potentilla villosa"
-136.572222,59.841944,"Potentilla villosa"
-136.573333,59.836944,"Potentilla villosa"
-132.515278,59.044444,"Potentilla villosa"
-124.641111,58.641667,"Potentilla villosa"
-125.475556,59.719722,"Potentilla villosa"
-129.516111,58.715833,"Potentilla villosa"
-128.946111,58.319444,"Potentilla villosa"
-128.255278,58.715833,"Potentilla villosa"
-130.413333,58.753611,"Potentilla villosa"
-127.762778,56.052778,"Potentilla villosa"
-128.580278,55.066389,"Potentilla villosa"
-121.575617,46.864283,"Potentilla villosa"
-128.453611,54.511667,"Potentilla villosa"
-128.585278,55.060556,"Potentilla villosa"
-127.791389,56.063056,"Potentilla villosa"
-127.765833,56.051389,"Potentilla villosa"
-130.542778,53.576111,"Potentilla villosa"
-154.65,57.466667,"Potentilla villosa"
-154.6325,57.328333,"Potentilla villosa"
-128.593333,56.939722,"Potentilla villosa"
-128.546111,56.9525,"Potentilla villosa"
-160.4015,55.325,"Potentilla villosa"
-152.659883,60.7119329991958,"Potentilla villosa"
-130.161111,57.722222,"Potentilla villosa"
-119.916667,51.791667,"Potentilla villosa"
-130.1625,57.722778,"Potentilla villosa"
-131.016667,51.983333,"Potentilla villosa"
-161.58,59.11,"Potentilla villosa"
-161.75,59.1,"Potentilla villosa"
-122.516667,57.033333,"Potentilla villosa"
-129.56,58.511667,"Potentilla villosa"
-128.923889,59.473056,"Potentilla villosa"
-131.457778,58.473889,"Potentilla villosa"
-129.991389,59.271389,"Potentilla villosa"
-128.908333,59.4775,"Potentilla villosa"
-129.864167,59.268889,"Potentilla villosa"
-129.575,58.510556,"Potentilla villosa"
-135.321887,57.048527,"Potentilla villosa"
-135.322369,57.048778,"Potentilla villosa"
-135.321994,57.048644,"Potentilla villosa"
-135.321393,57.048422,"Potentilla villosa"
-135.322133,57.048586,"Potentilla villosa"
-135.322123,57.049227,"Potentilla villosa"
-154.91,59.75,"Potentilla villosa"
-135.322509,57.048691,"Potentilla villosa"
-137.99,59.42,"Potentilla villosa"
-135.322509,57.048656,"Potentilla villosa"
-149.8033,59.69111,"Potentilla villosa"
-150.664404333007,59.6658250341637,"Potentilla villosa"
-149.803333,59.691111,"Potentilla villosa"
-175.51,52.17,"Potentilla villosa"
-124.372778,55.818889,"Potentilla villosa"
-121.530556,55.019167,"Potentilla villosa"
173.67,52.35,"Potentilla villosa"
-120.953889,54.877778,"Potentilla villosa"
-122.622222,55.406944,"Potentilla villosa"
-127.7733,51.18,"Potentilla villosa"
-127.773333,51.18,"Potentilla villosa"
-148.83,60.76,"Potentilla villosa"
-143.08,60.25,"Potentilla villosa"
-153.61,58.64,"Potentilla villosa"
-153.77,59.52,"Potentilla villosa"
-127.245,53.738056,"Potentilla villosa"
-142.95,60.31,"Potentilla villosa"
-161.47,61.69,"Potentilla villosa"
-143.01,60.3,"Potentilla villosa"
-158.08,57.15,"Potentilla villosa"
-135.33,59.21,"Potentilla villosa"
-136.5639,58.95999,"Potentilla villosa"
-135.400014,57.0991,"Potentilla villosa"
-154.283333,57.35,"Potentilla villosa"
-156.45,57.4,"Potentilla villosa"
173.23,52.83,"Potentilla villosa"
173.25,52.93,"Potentilla villosa"
-121.9872,43.6624,"Potentilla villosa"
-122,43.7,"Potentilla villosa"
-153.03,59.88,"Potentilla villosa"
-121.216667,49.1625,"Potentilla villosa"
-178.8,51.8,"Potentilla villosa"
-166.36,53.93,"Potentilla villosa"
-122.546111,51.035,"Potentilla villosa"
-162.08,58.65,"Potentilla villosa"
-133.28,55.5,"Potentilla villosa"
-132.45,56.53,"Potentilla villosa"
-152.4,57.78,"Potentilla villosa"
-166.5,53.96,"Potentilla villosa"
-153,58.21,"Potentilla villosa"
-131.15,55.22,"Potentilla villosa"
-131,54.99,"Potentilla villosa"
-162.71,55.24,"Potentilla villosa"
-153.05,58.2,"Potentilla villosa"
-152.43,57.78,"Potentilla villosa"
-152.66,58.56,"Potentilla villosa"
-138.93,59.43,"Potentilla villosa"
-152.88,58.25,"Potentilla villosa"
-133.48,55.93,"Potentilla villosa"
-122.26361,49.00028,"Potentilla villosa"
-145.75,61.13,"Potentilla villosa"
-153.88,57.7,"Potentilla villosa"
-132.95,54.91,"Potentilla villosa"
-134.4,58.3,"Potentilla villosa"
-120.208333,49.05,"Potentilla villosa"
-125.146667,48.827778,"Potentilla villosa"
-135.28,59.06,"Potentilla villosa"
-152.45,57.81,"Potentilla villosa"
-152.5,57.56,"Potentilla villosa"
-166.5,53.9,"Potentilla villosa"
-158.08,56.91,"Potentilla villosa"
-130.833333,54.496667,"Potentilla villosa"
-167.13,53.53,"Potentilla villosa"
-145,60.96,"Potentilla villosa"
-151.33,59.55,"Potentilla villosa"
-125.366667,48.95,"Potentilla villosa"
-125.608333,49.691667,"Potentilla villosa"
-125.416667,49.216667,"Potentilla villosa"
-136.2,67.033333,"Potentilla villosa"
-125.3667,48.95,"Potentilla villosa"
-158.5,56.33,"Potentilla villosa"
-125.3602,48.9466,"Potentilla villosa"
-136.1,57.63,"Potentilla villosa"
-121.85,49.003333,"Potentilla villosa"
-150.46,59.56,"Potentilla villosa"
173.16,52.81,"Potentilla villosa"
-132.5,56.53,"Potentilla villosa"
-136.04,57.55,"Potentilla villosa"
-159.95,61,"Potentilla villosa"
-114.763,50.0234,"Potentilla villosa"
-152,58.91,"Potentilla villosa"
-175.1,52.05,"Potentilla villosa"
-132.033333,52.75,"Potentilla villosa"
-132.483333,53.183333,"Potentilla villosa"
-116.506,51.705,"Potentilla villosa"
-132.083333,53.016667,"Potentilla villosa"
-162.66,54.41,"Potentilla villosa"
-130,57,"Potentilla villosa"
-132.483333,53.25,"Potentilla villosa"
-132.47,55.79,"Potentilla villosa"
-144.38,59.93,"Potentilla villosa"
-147.75,59.86,"Potentilla villosa"
-124.883333,58.666667,"Potentilla villosa"
-153.18,57.2,"Potentilla villosa"
-124.45,49.133333,"Potentilla villosa"
-122.966667,51.183333,"Potentilla villosa"
-156.7,56.03,"Potentilla villosa"
-122.95,51.2,"Potentilla villosa"
-156.68,56.78,"Potentilla villosa"
-156.7,56.033333,"Potentilla villosa"
-134.333333,59.166667,"Potentilla villosa"
-124.591667,49.233333,"Potentilla villosa"
-124.6,49.216667,"Potentilla villosa"
-160.56,55.98,"Potentilla villosa"
-115.208333,50.958333,"Potentilla villosa"
-127.25,49.95,"Potentilla villosa"
173.6,52.43,"Potentilla villosa"
175.93,52.35,"Potentilla villosa"
-124.466667,48.516667,"Potentilla villosa"
-134.25,56.15,"Potentilla villosa"
-129.616667,56.65,"Potentilla villosa"
-127.333333,54.8,"Potentilla villosa"
-148.783333,60.75,"Potentilla villosa"
-152.41,57.83,"Potentilla villosa"
-161.766667,58.55,"Potentilla villosa"
-161.76,58.55,"Potentilla villosa"
