"lon","lat","species.name"
-71.44,-39.56,"Pozoa coriacea"
-72.06756,-47.73192,"Pozoa coriacea"
-71.26,-42.83,"Pozoa coriacea"
-70.13,-32.84,"Pozoa coriacea"
-70.51583,-35.21639,"Pozoa coriacea"
-71.46,-36.88,"Pozoa coriacea"
-70.41028,-36.00278,"Pozoa coriacea"
-70.39056,-35.97917,"Pozoa coriacea"
-71.29222,-37.4925,"Pozoa coriacea"
-70.23861,-33.33778,"Pozoa coriacea"
-71.6,-38.614167,"Pozoa coriacea"
-71.2972,-38.40868,"Pozoa coriacea"
-71.32775,-37.37258,"Pozoa coriacea"
-71.29315,-37.41273,"Pozoa coriacea"
-70.12055,-37.07277,"Pozoa coriacea"
-70.166667,-33.333333,"Pozoa coriacea"
-70.55,-36.016667,"Pozoa coriacea"
-71.166667,-35.5,"Pozoa coriacea"
-71.33333,-37.41666,"Pozoa coriacea"
0,0,"Pozoa coriacea"
0,-33,"Pozoa coriacea"
-71.15,-40.59,"Pozoa coriacea"
-70.33,-30.83,"Pozoa coriacea"
-70.8906,-35.8156,"Pozoa coriacea"
-70.12,-37.07,"Pozoa coriacea"
-70.5,-36.97,"Pozoa coriacea"
-70.72,-38.91,"Pozoa coriacea"
-70.68,-37.61,"Pozoa coriacea"
-68.36,-34.94,"Pozoa coriacea"
-69.37,-36.14,"Pozoa coriacea"
-70.583333,-35.25,"Pozoa coriacea"
-71.44,-40.76,"Pozoa coriacea"
-70.54,-44.18,"Pozoa coriacea"
-70.52,-39.13,"Pozoa coriacea"
-71.07,-36.83,"Pozoa coriacea"
-70.38,-36.7,"Pozoa coriacea"
-71.08,-36.83,"Pozoa coriacea"
-70.4,-35.98,"Pozoa coriacea"
-71.08,-36.82,"Pozoa coriacea"
-70.17,-30.67,"Pozoa coriacea"
-69.69,-34.18,"Pozoa coriacea"
-71.55,-38.42,"Pozoa coriacea"
-69.83,-31,"Pozoa coriacea"
-70.43,-38.58,"Pozoa coriacea"
-71.3,-41.27,"Pozoa coriacea"
-71.373979,-37.852489,"Pozoa coriacea"
-71,-43,"Pozoa coriacea"
-71.05,-36.82,"Pozoa coriacea"
-69.68,-34.19,"Pozoa coriacea"
