"lon","lat","species.name"
10.129652,47.457691,"Pseudorchis albida"
7.117251,44.5521,"Pseudorchis albida"
8.005257,47.876923,"Pseudorchis albida"
7.023997,47.929905,"Pseudorchis albida"
10.156622,47.529499,"Pseudorchis albida"
11.279612,47.383705,"Pseudorchis albida"
7.008805,48.03138,"Pseudorchis albida"
1.909473,42.576505,"Pseudorchis albida"
1.909473,42.576528,"Pseudorchis albida"
13.320923,47.08532,"Pseudorchis albida"
12.606661,46.733948,"Pseudorchis albida"
7.173461,45.510887,"Pseudorchis albida"
10.342383,47.483799,"Pseudorchis albida"
15.758597,67.257969,"Pseudorchis albida"
18.999431,69.627147,"Pseudorchis albida"
18.780188,68.364304,"Pseudorchis albida"
18.76604,68.371308,"Pseudorchis albida"
7.933782,59.001692,"Pseudorchis albida"
9.220569,63.04999,"Pseudorchis albida"
25.177235,70.304205,"Pseudorchis albida"
13.354894,68.066208,"Pseudorchis albida"
12.460792,63.242419,"Pseudorchis albida"
9.050473,61.765246,"Pseudorchis albida"
7.317335,59.79229,"Pseudorchis albida"
16.469829,67.354559,"Pseudorchis albida"
13.05,47.57,"Pseudorchis albida"
16.836171,67.307477,"Pseudorchis albida"
12.44323,62.729604,"Pseudorchis albida"
8.08897,61.642335,"Pseudorchis albida"
29.226832,70.85029,"Pseudorchis albida"
18.41973,68.529134,"Pseudorchis albida"
18.698756,68.495159,"Pseudorchis albida"
18.829102,68.356437,"Pseudorchis albida"
16.702995,67.319483,"Pseudorchis albida"
18.998362,69.622221,"Pseudorchis albida"
19.021772,69.616011,"Pseudorchis albida"
12.491784,63.180705,"Pseudorchis albida"
18.768061,68.353352,"Pseudorchis albida"
23.3211,70.04844,"Pseudorchis albida"
16.770172,67.324359,"Pseudorchis albida"
18.777215,68.359117,"Pseudorchis albida"
12.729478,62.742706,"Pseudorchis albida"
14.661772,65.883556,"Pseudorchis albida"
14.671833,65.881655,"Pseudorchis albida"
14.66391,65.874298,"Pseudorchis albida"
12.578453,62.906512,"Pseudorchis albida"
11.525403,62.620919,"Pseudorchis albida"
30.62788,70.540598,"Pseudorchis albida"
25.467229,70.307759,"Pseudorchis albida"
10.270737,46.634579,"Pseudorchis albida"
14.696941,65.867185,"Pseudorchis albida"
14.669767,65.881237,"Pseudorchis albida"
10.336514,46.566959,"Pseudorchis albida"
18.123107,68.462396,"Pseudorchis albida"
16.455654,67.35523,"Pseudorchis albida"
12.454647,62.726306,"Pseudorchis albida"
23.383794,70.045702,"Pseudorchis albida"
14.702574,65.864661,"Pseudorchis albida"
21.178088,69.366791,"Pseudorchis albida"
10.508304,62.326101,"Pseudorchis albida"
8.090578,61.642101,"Pseudorchis albida"
10.412292,47.421001,"Pseudorchis albida"
18.742118,68.352543,"Pseudorchis albida"
18.780628,68.350572,"Pseudorchis albida"
7.191795,59.82553,"Pseudorchis albida"
9.752512,47.064159,"Pseudorchis albida"
18.716354,68.385234,"Pseudorchis albida"
18.219505,68.403681,"Pseudorchis albida"
13.04,47.57,"Pseudorchis albida"
18.448719,68.525599,"Pseudorchis albida"
15.081663,65.772856,"Pseudorchis albida"
18.848083,68.329809,"Pseudorchis albida"
18.995622,69.627463,"Pseudorchis albida"
9.607383,62.299559,"Pseudorchis albida"
21.074001,69.368067,"Pseudorchis albida"
15.081267,65.772174,"Pseudorchis albida"
12.754119,66.274908,"Pseudorchis albida"
9.850593,62.255953,"Pseudorchis albida"
15.553853,67.599585,"Pseudorchis albida"
16.379063,66.601485,"Pseudorchis albida"
7.411352,45.586834,"Pseudorchis albida"
18.648747,68.421211,"Pseudorchis albida"
21.080091,69.363967,"Pseudorchis albida"
18.727403,68.3645,"Pseudorchis albida"
18.822795,68.34737,"Pseudorchis albida"
18.303461,68.391454,"Pseudorchis albida"
18.625876,68.422094,"Pseudorchis albida"
10.394268,47.553883,"Pseudorchis albida"
9.040097,61.768,"Pseudorchis albida"
7.678134,60.701852,"Pseudorchis albida"
18.831563,68.334771,"Pseudorchis albida"
14.697022,65.867464,"Pseudorchis albida"
14.653517,65.887061,"Pseudorchis albida"
9.761288,47.061031,"Pseudorchis albida"
14.664629,65.882797,"Pseudorchis albida"
9.643828,62.725722,"Pseudorchis albida"
17.753674,67.814493,"Pseudorchis albida"
-16.509018,66.008247,"Pseudorchis albida"
10.361326,47.42524,"Pseudorchis albida"
9.972946,47.055592,"Pseudorchis albida"
12.547461,62.753495,"Pseudorchis albida"
15.987712,67.342302,"Pseudorchis albida"
9.12594,62.579095,"Pseudorchis albida"
30.745397,70.431101,"Pseudorchis albida"
13.862415,64.747692,"Pseudorchis albida"
19.106977,69.606863,"Pseudorchis albida"
9.30861,62.74098,"Pseudorchis albida"
9.125985,62.579062,"Pseudorchis albida"
15.959371,67.335712,"Pseudorchis albida"
9.26545,62.79438,"Pseudorchis albida"
12.38838,66.04464,"Pseudorchis albida"
12.355276,63.093219,"Pseudorchis albida"
7.406196,59.769742,"Pseudorchis albida"
9.31138,62.74234,"Pseudorchis albida"
9.28446,62.75752,"Pseudorchis albida"
15.861023,69.20372,"Pseudorchis albida"
14.439852,66.923838,"Pseudorchis albida"
9.125922,62.579124,"Pseudorchis albida"
14.485602,46.504036,"Pseudorchis albida"
12.754719,47.066441,"Pseudorchis albida"
12.7891,64.09661,"Pseudorchis albida"
8.505582,59.60871,"Pseudorchis albida"
-0.41494,42.80668,"Pseudorchis albida"
10.87,47.58,"Pseudorchis albida"
13.081971,47.620068,"Pseudorchis albida"
7.89638,62.544092,"Pseudorchis albida"
11.146317,47.508389,"Pseudorchis albida"
13.528612,46.211288,"Pseudorchis albida"
30.580224,70.51243,"Pseudorchis albida"
12.386375,66.057202,"Pseudorchis albida"
12.789306,64.468278,"Pseudorchis albida"
30.798838,70.424978,"Pseudorchis albida"
7.176371,62.129223,"Pseudorchis albida"
9.044664,59.949814,"Pseudorchis albida"
7.213845,62.877059,"Pseudorchis albida"
7.852138,62.559131,"Pseudorchis albida"
8.430333,46.427696,"Pseudorchis albida"
23.14309,70.28978,"Pseudorchis albida"
8.510316,59.60646,"Pseudorchis albida"
8.65905,61.047417,"Pseudorchis albida"
23.076767,69.93771,"Pseudorchis albida"
8.99332,62.5331,"Pseudorchis albida"
23.078384,69.940194,"Pseudorchis albida"
14.697247,65.866773,"Pseudorchis albida"
23.13821,70.29113,"Pseudorchis albida"
14.697363,65.867111,"Pseudorchis albida"
9.734513,62.72109,"Pseudorchis albida"
12.148948,47.323349,"Pseudorchis albida"
16.491991,66.237161,"Pseudorchis albida"
23.09211,70.32347,"Pseudorchis albida"
12.30903,62.554316,"Pseudorchis albida"
14.697148,65.867045,"Pseudorchis albida"
14.694767,65.880524,"Pseudorchis albida"
13.145892,63.270001,"Pseudorchis albida"
23.319447,70.072874,"Pseudorchis albida"
15.642714,67.670232,"Pseudorchis albida"
23.136326,70.29024,"Pseudorchis albida"
8.248715,46.795506,"Pseudorchis albida"
-23.950367,64.862096,"Pseudorchis albida"
8.505582,59.605556,"Pseudorchis albida"
25.975209,70.996463,"Pseudorchis albida"
9.316643,62.739131,"Pseudorchis albida"
7.533227,62.461975,"Pseudorchis albida"
-18.188948,65.774902,"Pseudorchis albida"
23.066015,69.934471,"Pseudorchis albida"
20.982399,69.400749,"Pseudorchis albida"
9.707581,59.399025,"Pseudorchis albida"
6.278631,62.251766,"Pseudorchis albida"
25.801519,71.066198,"Pseudorchis albida"
6.279934,62.249968,"Pseudorchis albida"
12.36319,63.166342,"Pseudorchis albida"
16.377941,66.608466,"Pseudorchis albida"
6.65294,62.278423,"Pseudorchis albida"
9.162681,61.939075,"Pseudorchis albida"
16.053137,67.000777,"Pseudorchis albida"
16.368347,66.43197,"Pseudorchis albida"
16.381049,66.425209,"Pseudorchis albida"
5.41897,61.81905,"Pseudorchis albida"
14.650912,46.84763,"Pseudorchis albida"
23.5455,69.789448,"Pseudorchis albida"
14.970932,46.808521,"Pseudorchis albida"
23.12287,70.27834,"Pseudorchis albida"
10.02731,62.399607,"Pseudorchis albida"
14.69713,65.866961,"Pseudorchis albida"
10.03623,62.428086,"Pseudorchis albida"
18.749116,68.355681,"Pseudorchis albida"
9.044032,59.995383,"Pseudorchis albida"
8.99343,62.53307,"Pseudorchis albida"
19.504132,69.766752,"Pseudorchis albida"
8.99345,62.53319,"Pseudorchis albida"
9.847485,62.259436,"Pseudorchis albida"
14.635254,65.682221,"Pseudorchis albida"
14.696815,65.867148,"Pseudorchis albida"
10.11137,47.366966,"Pseudorchis albida"
18.980791,69.624488,"Pseudorchis albida"
23.066733,69.93461,"Pseudorchis albida"
6.278622,62.251733,"Pseudorchis albida"
15.062295,65.773615,"Pseudorchis albida"
16.403417,66.44075,"Pseudorchis albida"
8.99376,62.53315,"Pseudorchis albida"
16.133275,67.135389,"Pseudorchis albida"
8.209344,59.751651,"Pseudorchis albida"
14.866562,46.415611,"Pseudorchis albida"
16.399779,66.590545,"Pseudorchis albida"
19.012625,70.25373,"Pseudorchis albida"
23.102343,70.318336,"Pseudorchis albida"
7.513078,62.644903,"Pseudorchis albida"
8.654908,61.052126,"Pseudorchis albida"
9.161612,61.939223,"Pseudorchis albida"
16.607146,67.524599,"Pseudorchis albida"
14.689835,65.866388,"Pseudorchis albida"
12.457261,63.243325,"Pseudorchis albida"
9.547996,62.973002,"Pseudorchis albida"
7.246716,62.874239,"Pseudorchis albida"
7.157509,62.920865,"Pseudorchis albida"
-16.903839,65.590683,"Pseudorchis albida"
-16.38319,65.816986,"Pseudorchis albida"
7.18336,59.416064,"Pseudorchis albida"
-16.54129,65.94339,"Pseudorchis albida"
9.126039,62.579086,"Pseudorchis albida"
9.120613,62.580439,"Pseudorchis albida"
9.123658,62.581279,"Pseudorchis albida"
12.375069,47.337322,"Pseudorchis albida"
9.122589,62.581308,"Pseudorchis albida"
25.174681,70.302164,"Pseudorchis albida"
14.084407,66.774686,"Pseudorchis albida"
25.172612,70.306584,"Pseudorchis albida"
14.518706,66.808822,"Pseudorchis albida"
9.122625,62.581333,"Pseudorchis albida"
9.126057,62.579095,"Pseudorchis albida"
10.093237,62.985996,"Pseudorchis albida"
18.770801,68.356095,"Pseudorchis albida"
16.180473,67.370855,"Pseudorchis albida"
9.730372,62.7265,"Pseudorchis albida"
15.192757,65.768447,"Pseudorchis albida"
12.681759,62.883841,"Pseudorchis albida"
10.54369,63.03269,"Pseudorchis albida"
14.33739,66.823867,"Pseudorchis albida"
7.149287,59.446126,"Pseudorchis albida"
10.543697,63.03269,"Pseudorchis albida"
9.126021,62.579115,"Pseudorchis albida"
-51.67604,64.365568,"Pseudorchis albida"
20.432819,69.249103,"Pseudorchis albida"
14.855952,66.808861,"Pseudorchis albida"
8.29626,62.70744,"Pseudorchis albida"
6.741524,59.434502,"Pseudorchis albida"
14.654056,65.682547,"Pseudorchis albida"
9.120694,62.580402,"Pseudorchis albida"
7.139388,59.161429,"Pseudorchis albida"
10.531543,63.026815,"Pseudorchis albida"
18.989586,69.618066,"Pseudorchis albida"
14.713147,65.880308,"Pseudorchis albida"
14.725301,65.860841,"Pseudorchis albida"
-20.56366,65.257858,"Pseudorchis albida"
9.12276,62.581378,"Pseudorchis albida"
18.745675,68.500328,"Pseudorchis albida"
25.035213,70.259746,"Pseudorchis albida"
14.736395,65.860253,"Pseudorchis albida"
9.540515,62.214775,"Pseudorchis albida"
12.533598,47.431164,"Pseudorchis albida"
25.149713,70.29476,"Pseudorchis albida"
9.122562,62.581324,"Pseudorchis albida"
