"lon","lat","species.name"
-71.372419,-39.03729,"Quinchamalium chilense"
-71.686478,-30.651499,"Quinchamalium chilense"
-71.115021,-32.961578,"Quinchamalium chilense"
-71.546059,-38.455875,"Quinchamalium chilense"
-70.610444,-35.938222,"Quinchamalium chilense"
-71.589417,-37.313222,"Quinchamalium chilense"
-70.864444,-36.979444,"Quinchamalium chilense"
-70.703333,-16.216944,"Quinchamalium chilense"
-70.6975,-16.191111,"Quinchamalium chilense"
-78.1124,-6.8696,"Quinchamalium chilense"
-71.87,-15.6,"Quinchamalium chilense"
-71.685556,-39.018889,"Quinchamalium chilense"
-71.07916,-36.81722,"Quinchamalium chilense"
-71.01694,-37.66583,"Quinchamalium chilense"
-71.016944,-37.665833,"Quinchamalium chilense"
-72.8,-36.22,"Quinchamalium chilense"
-71.18,-36.11,"Quinchamalium chilense"
-71.12,-35.84,"Quinchamalium chilense"
-69.496389,-18.429444,"Quinchamalium chilense"
-70.661667,-35.881944,"Quinchamalium chilense"
-73.013333,-37.818056,"Quinchamalium chilense"
-66.76666,-17.66666,"Quinchamalium chilense"
-66.83333,-17.66666,"Quinchamalium chilense"
-70.833333,-24.983333,"Quinchamalium chilense"
-70.916667,-26.916667,"Quinchamalium chilense"
-71.08333,-39.98333,"Quinchamalium chilense"
-70.3333,-17.6667,"Quinchamalium chilense"
-71.55,-43.45,"Quinchamalium chilense"
-71.5,-31.916667,"Quinchamalium chilense"
-71.5,-36.9,"Quinchamalium chilense"
-72.33333,-40.75,"Quinchamalium chilense"
-70.166667,-33.333333,"Quinchamalium chilense"
-69.006111,-15.174444,"Quinchamalium chilense"
-71.354444,-42.3175,"Quinchamalium chilense"
-70.75,-26.83333,"Quinchamalium chilense"
-71.13333,-33,"Quinchamalium chilense"
-70.55,-39.016667,"Quinchamalium chilense"
-71.45,-36.9,"Quinchamalium chilense"
-70.08361,-33.81694,"Quinchamalium chilense"
-72.2,-40.766667,"Quinchamalium chilense"
-71.925346,-13.67337,"Quinchamalium chilense"
-67.95,-16.56666,"Quinchamalium chilense"
-67.58333,-16.93333,"Quinchamalium chilense"
-72.5,-41.166667,"Quinchamalium chilense"
-72.333333,-40.5,"Quinchamalium chilense"
-68.083333,-16.533333,"Quinchamalium chilense"
-68.08333,-16.53333,"Quinchamalium chilense"
-68.05,-16.53333,"Quinchamalium chilense"
-68,-16.533333,"Quinchamalium chilense"
-77.96666,-8.83333,"Quinchamalium chilense"
-71.666667,-13.633333,"Quinchamalium chilense"
-68.05,-16.5,"Quinchamalium chilense"
-78.8333,-6.25,"Quinchamalium chilense"
-68.033333,-16.633333,"Quinchamalium chilense"
-68.45,-16.466667,"Quinchamalium chilense"
-68.45,-16.46666,"Quinchamalium chilense"
-78.18333,-8.15,"Quinchamalium chilense"
-67.11666,-17.93333,"Quinchamalium chilense"
-70.9167,-16.8333,"Quinchamalium chilense"
-72.05,-13.38333,"Quinchamalium chilense"
-77.3,-10.25,"Quinchamalium chilense"
-68.03333,-16.66666,"Quinchamalium chilense"
-68.05,-16.55,"Quinchamalium chilense"
-72.75,-37.783298,"Quinchamalium chilense"
-70.333333,-33.583333,"Quinchamalium chilense"
-68.01666,-16.66666,"Quinchamalium chilense"
-70.3,-33.33333,"Quinchamalium chilense"
-76.58,-11.69,"Quinchamalium chilense"
-71.5,-39.63333,"Quinchamalium chilense"
-70.816667,-36.6,"Quinchamalium chilense"
-71,-41.216,"Quinchamalium chilense"
-78.125,-6.889444,"Quinchamalium chilense"
-68,-16,"Quinchamalium chilense"
-68.15,-16.5,"Quinchamalium chilense"
-66.76666,-18.9,"Quinchamalium chilense"
-69.15,-16.01666,"Quinchamalium chilense"
-70.166667,-32.866667,"Quinchamalium chilense"
-70.8906,-35.8156,"Quinchamalium chilense"
-74.14,-9.1839,"Quinchamalium chilense"
-74.38,-15.8,"Quinchamalium chilense"
-71.5,-39.75,"Quinchamalium chilense"
-70.366667,-33.216667,"Quinchamalium chilense"
-71.1,-35.85,"Quinchamalium chilense"
-70.24,-43.21,"Quinchamalium chilense"
-70.683856,-16.827375,"Quinchamalium chilense"
-71.32,-39.09,"Quinchamalium chilense"
-71.33,-40.2,"Quinchamalium chilense"
-71.55,-41.43,"Quinchamalium chilense"
-71.02,-37.67,"Quinchamalium chilense"
-71.4,-42.14,"Quinchamalium chilense"
-71.25,-45.87,"Quinchamalium chilense"
-72.09,-49.76,"Quinchamalium chilense"
-70.07,-33.78,"Quinchamalium chilense"
-70.67,-44,"Quinchamalium chilense"
-71.77,-38.6,"Quinchamalium chilense"
-71.27,-38.83,"Quinchamalium chilense"
-71.5,-38.42,"Quinchamalium chilense"
-70.86,-36.98,"Quinchamalium chilense"
-71.15,-40.59,"Quinchamalium chilense"
-71.52,-38.45,"Quinchamalium chilense"
