"lon","lat","species.name"
-2.18266,42.41867,"Ranunculus parnassifolius"
10.115453,46.664421,"Ranunculus parnassifolius"
0.21629,42.75275,"Ranunculus parnassifolius"
2.06692,42.36571,"Ranunculus parnassifolius"
2.15,42.42109,"Ranunculus parnassifolius"
10.157104,47.285133,"Ranunculus parnassifolius"
-0.736154,42.860133,"Ranunculus parnassifolius"
2.07899,42.5145,"Ranunculus parnassifolius"
2.02599,42.35712,"Ranunculus parnassifolius"
6.33037,45.13936,"Ranunculus parnassifolius"
10.703428,50.945932,"Ranunculus parnassifolius"
0.78,42.54,"Ranunculus parnassifolius"
1.08,42.54,"Ranunculus parnassifolius"
-6.73,43.02,"Ranunculus parnassifolius"
-4.740356,43.031334,"Ranunculus parnassifolius"
-4.696653,43.206337,"Ranunculus parnassifolius"
-4.31651,36.994953,"Ranunculus parnassifolius"
-4.368616,36.974155,"Ranunculus parnassifolius"
-4.277537,37.021762,"Ranunculus parnassifolius"
1.56365,42.28443,"Ranunculus parnassifolius"
-0.586,42.774,"Ranunculus parnassifolius"
1.55,42.259998,"Ranunculus parnassifolius"
1.563,42.286,"Ranunculus parnassifolius"
-4.81,43.110001,"Ranunculus parnassifolius"
1.569,42.585,"Ranunculus parnassifolius"
1.545,42.576,"Ranunculus parnassifolius"
1.436,42.557,"Ranunculus parnassifolius"
-4.79667,43.05278,"Ranunculus parnassifolius"
1.41,42.52,"Ranunculus parnassifolius"
1.62,42.54,"Ranunculus parnassifolius"
-6.71,42.2,"Ranunculus parnassifolius"
-6.76,42.22,"Ranunculus parnassifolius"
2.11667,42.38333,"Ranunculus parnassifolius"
-0.58389,42.79083,"Ranunculus parnassifolius"
-6.066,42.906,"Ranunculus parnassifolius"
-0.873,42.96,"Ranunculus parnassifolius"
2.17,42.4,"Ranunculus parnassifolius"
-0.86,42.94,"Ranunculus parnassifolius"
0.44,42.509998,"Ranunculus parnassifolius"
0.5,42.56,"Ranunculus parnassifolius"
0,0,"Ranunculus parnassifolius"
-0.751,42.948,"Ranunculus parnassifolius"
-0.75,42.93,"Ranunculus parnassifolius"
-0.74,42.84,"Ranunculus parnassifolius"
1.87,42.31,"Ranunculus parnassifolius"
1.58,42.29,"Ranunculus parnassifolius"
-0.728,42.903,"Ranunculus parnassifolius"
-0.692,42.884,"Ranunculus parnassifolius"
1.55,42.56,"Ranunculus parnassifolius"
-4.662,42.976,"Ranunculus parnassifolius"
-0.922,42.96,"Ranunculus parnassifolius"
-4.76,43.02,"Ranunculus parnassifolius"
-4.76,43,"Ranunculus parnassifolius"
-4.73,43.02,"Ranunculus parnassifolius"
-4.804,43.217,"Ranunculus parnassifolius"
-0.91,42.95,"Ranunculus parnassifolius"
-0.789,42.913,"Ranunculus parnassifolius"
-0.814846,42.90237,"Ranunculus parnassifolius"
2.1,42.38,"Ranunculus parnassifolius"
2.119,42.382,"Ranunculus parnassifolius"
-0.61,42.83,"Ranunculus parnassifolius"
-0.739763,42.945934,"Ranunculus parnassifolius"
-4.65,42.97,"Ranunculus parnassifolius"
-0.44,42.7,"Ranunculus parnassifolius"
-0.1,42.63,"Ranunculus parnassifolius"
-4.8,43.189999,"Ranunculus parnassifolius"
-0.103,42.637,"Ranunculus parnassifolius"
-4.83,43.189999,"Ranunculus parnassifolius"
-4.82,43.18,"Ranunculus parnassifolius"
-4.82,43.209999,"Ranunculus parnassifolius"
-0.58,42.77,"Ranunculus parnassifolius"
-4.97,43.169998,"Ranunculus parnassifolius"
-4.96,43.169998,"Ranunculus parnassifolius"
-4.96,43.189999,"Ranunculus parnassifolius"
-4.71,43.200001,"Ranunculus parnassifolius"
-4.74,43.200001,"Ranunculus parnassifolius"
-4.71,43.209999,"Ranunculus parnassifolius"
-4.74,43.189999,"Ranunculus parnassifolius"
-6.53,42.4,"Ranunculus parnassifolius"
-6.76,42.24,"Ranunculus parnassifolius"
0.05,42.65,"Ranunculus parnassifolius"
-4.98,43.209999,"Ranunculus parnassifolius"
-4.97,43.200001,"Ranunculus parnassifolius"
-4.84,42.98,"Ranunculus parnassifolius"
11.29,47.42,"Ranunculus parnassifolius"
1.559,42.45,"Ranunculus parnassifolius"
1.448,42.557,"Ranunculus parnassifolius"
1.547,42.45,"Ranunculus parnassifolius"
-6.53,42.41,"Ranunculus parnassifolius"
-6.18,42.959999,"Ranunculus parnassifolius"
-0.827086,42.902603,"Ranunculus parnassifolius"
9.59805,46.59638,"Ranunculus parnassifolius"
-0.770855,42.912142,"Ranunculus parnassifolius"
0.033124,42.65207,"Ranunculus parnassifolius"
