"lon","lat","species.name"
-100.251076,25.583858,"Ranunculus peruvianus"
-73.383444,5.742,"Ranunculus peruvianus"
-73.383278,5.742028,"Ranunculus peruvianus"
-75.487934,4.813478,"Ranunculus peruvianus"
-75.488808,4.80735,"Ranunculus peruvianus"
-75.391258,4.843685,"Ranunculus peruvianus"
-83.490278,9.4975,"Ranunculus peruvianus"
-73.133,5.85625,"Ranunculus peruvianus"
-73.971472,5.323806,"Ranunculus peruvianus"
-77.823139,-7.120417,"Ranunculus peruvianus"
-77.7715,-7.078389,"Ranunculus peruvianus"
-77.812,-7.071361,"Ranunculus peruvianus"
-83.847778,9.617778,"Ranunculus peruvianus"
-77.774194,-7.080111,"Ranunculus peruvianus"
-78.687,-0.630694,"Ranunculus peruvianus"
-77.722217,-6.89805,"Ranunculus peruvianus"
-83.859861,9.616778,"Ranunculus peruvianus"
-82.879722,9.098611,"Ranunculus peruvianus"
-77.4212,0.85655,"Ranunculus peruvianus"
-77.35384,1.06683,"Ranunculus peruvianus"
-79.21833,-2.8025,"Ranunculus peruvianus"
-91.519167,15.523056,"Ranunculus peruvianus"
-91.51916,15.52305,"Ranunculus peruvianus"
-77.8684,0.882778,"Ranunculus peruvianus"
-91.600833,15.553333,"Ranunculus peruvianus"
-83.754389,9.568556,"Ranunculus peruvianus"
-77.58585,0.93118,"Ranunculus peruvianus"
-77.59648,0.93554,"Ranunculus peruvianus"
-83.761944,9.603333,"Ranunculus peruvianus"
-100.123611,25.174167,"Ranunculus peruvianus"
-100.124,25.174,"Ranunculus peruvianus"
-83.758333,9.575,"Ranunculus peruvianus"
-83.507222,9.456667,"Ranunculus peruvianus"
-75.279722,4.793808,"Ranunculus peruvianus"
-91.50555,15.47805,"Ranunculus peruvianus"
-77.441111,1.261389,"Ranunculus peruvianus"
-83.738889,9.572222,"Ranunculus peruvianus"
-77.3,-8.17,"Ranunculus peruvianus"
-73.557444,5.211358,"Ranunculus peruvianus"
-83.861111,9.619444,"Ranunculus peruvianus"
