"lon","lat","species.name"
171.567151,-42.910463,"Raoulia grandiflora"
171.559936,-42.910447,"Raoulia grandiflora"
171.546194,-42.896767,"Raoulia grandiflora"
172.900461,-42.135171,"Raoulia grandiflora"
171.576276,-42.9097,"Raoulia grandiflora"
171.559888,-42.910655,"Raoulia grandiflora"
171.563927,-42.910376,"Raoulia grandiflora"
169.421239,-44.555013,"Raoulia grandiflora"
171.567189,-42.910464,"Raoulia grandiflora"
168.815819,-45.067614,"Raoulia grandiflora"
168.948797,-44.873268,"Raoulia grandiflora"
172.724236,-41.992884,"Raoulia grandiflora"
172.743187,-41.181884,"Raoulia grandiflora"
171.631361,-41.877,"Raoulia grandiflora"
171.45,-42.1975,"Raoulia grandiflora"
172.701603,-41.206813,"Raoulia grandiflora"
175.850687,-39.17562,"Raoulia grandiflora"
169.411712,-44.99933,"Raoulia grandiflora"
169.738512,-45.71128,"Raoulia grandiflora"
168.300891,-44.373453,"Raoulia grandiflora"
171.707084,-43.107378,"Raoulia grandiflora"
171.47,-43.07,"Raoulia grandiflora"
168.923377,-44.957316,"Raoulia grandiflora"
169.164439,-45.366028,"Raoulia grandiflora"
167.408338,-45.747833,"Raoulia grandiflora"
172.743981,-42.017592,"Raoulia grandiflora"
167.904139,-45.628462,"Raoulia grandiflora"
171.390303,-42.290525,"Raoulia grandiflora"
169.753404,-45.693036,"Raoulia grandiflora"
172.881107,-41.823185,"Raoulia grandiflora"
172.931757,-41.738272,"Raoulia grandiflora"
171.562055,-42.909844,"Raoulia grandiflora"
169.174573,-45.37734,"Raoulia grandiflora"
176.143085,-39.806123,"Raoulia grandiflora"
172.859681,-41.874825,"Raoulia grandiflora"
171.552365,-42.791367,"Raoulia grandiflora"
172.36894,-42.38591,"Raoulia grandiflora"
172.885794,-41.825828,"Raoulia grandiflora"
168.16824,-44.744234,"Raoulia grandiflora"
168.199321,-44.725969,"Raoulia grandiflora"
172.35137,-42.398831,"Raoulia grandiflora"
171.411924,-42.365518,"Raoulia grandiflora"
171.372814,-42.317381,"Raoulia grandiflora"
172.639648,-41.10484,"Raoulia grandiflora"
169.209366,-45.340804,"Raoulia grandiflora"
173.783568,-41.749394,"Raoulia grandiflora"
172.270633,-41.424652,"Raoulia grandiflora"
171.57748,-42.908775,"Raoulia grandiflora"
169.2057,-45.29455,"Raoulia grandiflora"
169.211426,-44.848971,"Raoulia grandiflora"
172.740646,-42.210566,"Raoulia grandiflora"
169.765463,-44.269261,"Raoulia grandiflora"
172.016667,-42.1,"Raoulia grandiflora"
175.545055,-39.23325,"Raoulia grandiflora"
166.918,-45.2359,"Raoulia grandiflora"
166.9551,-45.2653,"Raoulia grandiflora"
166.9546,-45.2681,"Raoulia grandiflora"
166.9519,-45.2653,"Raoulia grandiflora"
166.9172,-45.2396,"Raoulia grandiflora"
166.9167,-45.2409,"Raoulia grandiflora"
166.9199,-45.2364,"Raoulia grandiflora"
166.9522,-45.2658,"Raoulia grandiflora"
166.9182,-45.2369,"Raoulia grandiflora"
166.9527,-45.2646,"Raoulia grandiflora"
166.9509,-45.2659,"Raoulia grandiflora"
166.9535,-45.2657,"Raoulia grandiflora"
166.9555,-45.2679,"Raoulia grandiflora"
166.9533,-45.2669,"Raoulia grandiflora"
166.9517,-45.2656,"Raoulia grandiflora"
171.346922,-42.383809,"Raoulia grandiflora"
172.546978,-41.537752,"Raoulia grandiflora"
170.3729,-43.6617,"Raoulia grandiflora"
170.3757,-43.6687,"Raoulia grandiflora"
172.395401,-41.48012,"Raoulia grandiflora"
167.5273,-45.666,"Raoulia grandiflora"
167.5306,-45.6399,"Raoulia grandiflora"
167.5239,-45.6872,"Raoulia grandiflora"
167.5286,-45.6666,"Raoulia grandiflora"
167.5079,-45.6792,"Raoulia grandiflora"
167.5311,-45.6427,"Raoulia grandiflora"
167.5079,-45.6783,"Raoulia grandiflora"
167.5204,-45.6869,"Raoulia grandiflora"
167.5284,-45.6589,"Raoulia grandiflora"
167.5272,-45.6666,"Raoulia grandiflora"
167.5275,-45.6658,"Raoulia grandiflora"
167.5079,-45.6795,"Raoulia grandiflora"
167.5267,-45.6589,"Raoulia grandiflora"
167.5286,-45.6635,"Raoulia grandiflora"
167.5282,-45.6471,"Raoulia grandiflora"
167.5271,-45.6602,"Raoulia grandiflora"
167.529,-45.6623,"Raoulia grandiflora"
167.5279,-45.6629,"Raoulia grandiflora"
167.5085,-45.6797,"Raoulia grandiflora"
167.5082,-45.6791,"Raoulia grandiflora"
167.5275,-45.6676,"Raoulia grandiflora"
167.5287,-45.6588,"Raoulia grandiflora"
