"lon","lat","species.name"
100.199361,27.00125,"Rhodiola coccinea"
98.948611,28.479722,"Rhodiola coccinea"
90.281333,27.712733,"Rhodiola coccinea"
90.306533,27.725933,"Rhodiola coccinea"
84.04287,28.67813,"Rhodiola coccinea"
76.93,43.03,"Rhodiola coccinea"
97.4981,33.14,"Rhodiola coccinea"
80.25,30.3,"Rhodiola coccinea"
98.956389,28.497222,"Rhodiola coccinea"
99.867778,28.596944,"Rhodiola coccinea"
100.229945,26.876096,"Rhodiola coccinea"
103.714722,33.012778,"Rhodiola coccinea"
103.746111,32.752222,"Rhodiola coccinea"
75.25,34.98,"Rhodiola coccinea"
99.8117,28.5733,"Rhodiola coccinea"
74.08,36.23,"Rhodiola coccinea"
98.883333,35.116667,"Rhodiola coccinea"
99.033333,34.816667,"Rhodiola coccinea"
99.9225,35.833889,"Rhodiola coccinea"
88.641667,27.936944,"Rhodiola coccinea"
97.2517,32.9986,"Rhodiola coccinea"
97.3472,32.7464,"Rhodiola coccinea"
103.891767,36.519977,"Rhodiola coccinea"
96.7181,33.1272,"Rhodiola coccinea"
85.57,28.22,"Rhodiola coccinea"
74.33,35.83,"Rhodiola coccinea"
73.5,34.57,"Rhodiola coccinea"
74.03,35.15,"Rhodiola coccinea"
99.55,30.3,"Rhodiola coccinea"
99.55,30.27,"Rhodiola coccinea"
98.52,29.68,"Rhodiola coccinea"
92.45,28.52,"Rhodiola coccinea"
97.27,30.17,"Rhodiola coccinea"
92.42,28.53,"Rhodiola coccinea"
92.22,28.63,"Rhodiola coccinea"
91.9,28.12,"Rhodiola coccinea"
92.08,28.37,"Rhodiola coccinea"
75.6,35.12,"Rhodiola coccinea"
92.38,29.05,"Rhodiola coccinea"
92.23,28.47,"Rhodiola coccinea"
75.55,35.1,"Rhodiola coccinea"
96.97,31.08,"Rhodiola coccinea"
98.92,31.93,"Rhodiola coccinea"
100.558,34.5886,"Rhodiola coccinea"
92.42,34.2,"Rhodiola coccinea"
99.0428,34.8228,"Rhodiola coccinea"
92.92,34.73,"Rhodiola coccinea"
100.29,33.3769,"Rhodiola coccinea"
85.3,28.55,"Rhodiola coccinea"
92.9,34.68,"Rhodiola coccinea"
77.57,32.87,"Rhodiola coccinea"
75.57,35.08,"Rhodiola coccinea"
91.32,33.52,"Rhodiola coccinea"
91.18,33.47,"Rhodiola coccinea"
87.03,28,"Rhodiola coccinea"
86.416667,27.716667,"Rhodiola coccinea"
86.6,27.7,"Rhodiola coccinea"
86.575,27.683333,"Rhodiola coccinea"
98.911543,28.48611,"Rhodiola coccinea"
79.83,30.42,"Rhodiola coccinea"
88.82,27.4,"Rhodiola coccinea"
99.706013,27.82308,"Rhodiola coccinea"
85.416667,28.083333,"Rhodiola coccinea"
74.13,37.17,"Rhodiola coccinea"
74.32,37.05,"Rhodiola coccinea"
99.951049,26.11116,"Rhodiola coccinea"
77,33,"Rhodiola coccinea"
74.95,34.78,"Rhodiola coccinea"
99.28717,27.177166,"Rhodiola coccinea"
96.999139,34.055451,"Rhodiola coccinea"
103.89167,36.52,"Rhodiola coccinea"
0,0,"Rhodiola coccinea"
101.96483,30.055305,"Rhodiola coccinea"
88.77,27.97,"Rhodiola coccinea"
76.73,33.53,"Rhodiola coccinea"
78.33,31.63,"Rhodiola coccinea"
75.33,34.03,"Rhodiola coccinea"
74.82,34.08,"Rhodiola coccinea"
84.47,28.08,"Rhodiola coccinea"
74.33,34.03,"Rhodiola coccinea"
83.9,28.1,"Rhodiola coccinea"
74.38,34.05,"Rhodiola coccinea"
72.58,35.52,"Rhodiola coccinea"
89.27,27.82,"Rhodiola coccinea"
89,27.75,"Rhodiola coccinea"
74.3,35.9,"Rhodiola coccinea"
73.68,34.9,"Rhodiola coccinea"
83.83,28.72,"Rhodiola coccinea"
75.28,34.33,"Rhodiola coccinea"
77.58,34.17,"Rhodiola coccinea"
88.07,27.78,"Rhodiola coccinea"
83.23,28.6,"Rhodiola coccinea"
82.4,28.8,"Rhodiola coccinea"
76.83,33.58,"Rhodiola coccinea"
74.35,35.9,"Rhodiola coccinea"
78.92,30.92,"Rhodiola coccinea"
71.93,36.25,"Rhodiola coccinea"
73,37,"Rhodiola coccinea"
77.25,32.37,"Rhodiola coccinea"
75.5,34.22,"Rhodiola coccinea"
75.32,34.08,"Rhodiola coccinea"
75.33,36.08,"Rhodiola coccinea"
