"lon","lat","species.name"
-7.42957,39.51404,"Rumex angiocarpus"
-7.27244,41.13336,"Rumex angiocarpus"
-8.23782,40.06275,"Rumex angiocarpus"
-8.82001,41.59656,"Rumex angiocarpus"
-8.82811,38.44316,"Rumex angiocarpus"
-7.38489,41.40522,"Rumex angiocarpus"
-7.61449,41.85856,"Rumex angiocarpus"
-7.50449,41.40683,"Rumex angiocarpus"
-7.49825,41.67696,"Rumex angiocarpus"
-7.26291,41.49351,"Rumex angiocarpus"
-9.0573,38.44327,"Rumex angiocarpus"
-7.74371,41.40969,"Rumex angiocarpus"
-8.02482,38.52934,"Rumex angiocarpus"
-7.6656,39.33678,"Rumex angiocarpus"
-8.03672,37.62819,"Rumex angiocarpus"
-7.14573,41.40161,"Rumex angiocarpus"
-7.17563,40.32115,"Rumex angiocarpus"
-7.05799,40.31924,"Rumex angiocarpus"
-8.02603,38.43923,"Rumex angiocarpus"
-7.76398,40.32894,"Rumex angiocarpus"
-7.0502,40.58935,"Rumex angiocarpus"
-6.65127,41.84289,"Rumex angiocarpus"
-8.58003,41.59593,"Rumex angiocarpus"
-7.01239,41.84971,"Rumex angiocarpus"
-6.66432,41.48291,"Rumex angiocarpus"
-7.857,41.77116,"Rumex angiocarpus"
-7.73494,41.85995,"Rumex angiocarpus"
-7.01517,41.7597,"Rumex angiocarpus"
-6.90661,41.39751,"Rumex angiocarpus"
-7.97872,41.68224,"Rumex angiocarpus"
-8.22331,41.32386,"Rumex angiocarpus"
-8.45778,41.86563,"Rumex angiocarpus"
-7.04757,40.67939,"Rumex angiocarpus"
-6.65783,41.6629,"Rumex angiocarpus"
-7.86956,41.05069,"Rumex angiocarpus"
-8.3437,41.23453,"Rumex angiocarpus"
-8.3428,41.3246,"Rumex angiocarpus"
-8.10384,41.32299,"Rumex angiocarpus"
-8.10751,41.05278,"Rumex angiocarpus"
-0.89,39.75,"Rumex angiocarpus"
-7.98853,41.0518,"Rumex angiocarpus"
-8.71208,38.80341,"Rumex angiocarpus"
-8.21571,41.9543,"Rumex angiocarpus"
-9.05744,38.62351,"Rumex angiocarpus"
-7.02069,41.57966,"Rumex angiocarpus"
-7.54586,39.51555,"Rumex angiocarpus"
-7.26049,41.58354,"Rumex angiocarpus"
-7.58351,37.62362,"Rumex angiocarpus"
-8.60091,38.08211,"Rumex angiocarpus"
-8.46154,41.41529,"Rumex angiocarpus"
-9.1721,38.53328,"Rumex angiocarpus"
-8.36898,38.5317,"Rumex angiocarpus"
-6.89789,41.66755,"Rumex angiocarpus"
-7.77847,39.51823,"Rumex angiocarpus"
-7.31763,39.33227,"Rumex angiocarpus"
-8.22008,41.59406,"Rumex angiocarpus"
-7.98156,41.50212,"Rumex angiocarpus"
-7.52861,40.32618,"Rumex angiocarpus"
-8.33636,41.95506,"Rumex angiocarpus"
-7.64449,40.41769,"Rumex angiocarpus"
-7.52665,40.41624,"Rumex angiocarpus"
-8.69918,41.77645,"Rumex angiocarpus"
-7.88463,40.14998,"Rumex angiocarpus"
-8.1026,41.41305,"Rumex angiocarpus"
-8.70002,41.59631,"Rumex angiocarpus"
-9.05737,38.53339,"Rumex angiocarpus"
-8.45701,41.9557,"Rumex angiocarpus"
-8.10011,41.59318,"Rumex angiocarpus"
-8.45929,41.6855,"Rumex angiocarpus"
-7.7753,39.6984,"Rumex angiocarpus"
-8.34006,41.59481,"Rumex angiocarpus"
-8.10629,41.14285,"Rumex angiocarpus"
-7.85859,41.68111,"Rumex angiocarpus"
-7.28872,40.50305,"Rumex angiocarpus"
-8.6996,41.68638,"Rumex angiocarpus"
-7.05281,40.49932,"Rumex angiocarpus"
-8.69876,41.86652,"Rumex angiocarpus"
-6.7685,41.93529,"Rumex angiocarpus"
-6.94036,40.3172,"Rumex angiocarpus"
-6.76535,42.02529,"Rumex angiocarpus"
-7.85539,41.86121,"Rumex angiocarpus"
-7.61643,41.76851,"Rumex angiocarpus"
-7.73671,41.7699,"Rumex angiocarpus"
-7.49615,41.767,"Rumex angiocarpus"
-8.70085,41.41616,"Rumex angiocarpus"
-7.73847,41.67985,"Rumex angiocarpus"
-7.74197,41.49975,"Rumex angiocarpus"
-7.64629,40.32762,"Rumex angiocarpus"
-6.88904,41.93757,"Rumex angiocarpus"
-8.22116,41.50399,"Rumex angiocarpus"
-7.98014,41.59218,"Rumex angiocarpus"
-7.62219,41.49837,"Rumex angiocarpus"
-7.86176,41.50099,"Rumex angiocarpus"
-7.8649,41.32088,"Rumex angiocarpus"
-8.34098,41.50474,"Rumex angiocarpus"
-7.76233,40.41901,"Rumex angiocarpus"
-8.00983,39.61053,"Rumex angiocarpus"
-8.22755,40.96357,"Rumex angiocarpus"
-8.2418,39.70238,"Rumex angiocarpus"
-8.24081,39.79247,"Rumex angiocarpus"
-8.46666,40.78475,"Rumex angiocarpus"
-8.00854,39.70062,"Rumex angiocarpus"
-7.89335,39.60948,"Rumex angiocarpus"
-8.47093,40.24424,"Rumex angiocarpus"
-7.53444,40.05599,"Rumex angiocarpus"
-7.89479,39.51939,"Rumex angiocarpus"
-7.53828,39.87585,"Rumex angiocarpus"
-7.54209,39.6957,"Rumex angiocarpus"
-7.7737,39.78848,"Rumex angiocarpus"
-7.4255,39.69418,"Rumex angiocarpus"
-0.35,38.99,"Rumex angiocarpus"
-7.30671,39.7826,"Rumex angiocarpus"
-7.8861,40.0599,"Rumex angiocarpus"
-7.54019,39.78578,"Rumex angiocarpus"
-7.30891,39.69254,"Rumex angiocarpus"
-7.3045,39.87266,"Rumex angiocarpus"
-7.42344,39.78425,"Rumex angiocarpus"
-6.79012,41.30526,"Rumex angiocarpus"
-7.42138,39.87431,"Rumex angiocarpus"
-6.78708,41.39527,"Rumex angiocarpus"
-8.12403,39.79165,"Rumex angiocarpus"
-7.1732,40.4112,"Rumex angiocarpus"
-7.88756,39.96982,"Rumex angiocarpus"
-7.59029,37.26318,"Rumex angiocarpus"
