"lon","lat","species.name"
175.550349,-39.22976,"Rytidosperma setifolium"
175.388435,-40.995464,"Rytidosperma setifolium"
171.767877,-41.775831,"Rytidosperma setifolium"
172.52714,-41.563506,"Rytidosperma setifolium"
166.9535,-45.2657,"Rytidosperma setifolium"
166.9167,-45.2409,"Rytidosperma setifolium"
166.9546,-45.2681,"Rytidosperma setifolium"
166.9199,-45.2364,"Rytidosperma setifolium"
166.9526,-45.2677,"Rytidosperma setifolium"
166.9551,-45.2653,"Rytidosperma setifolium"
166.9522,-45.2658,"Rytidosperma setifolium"
172.1347,-41.5423,"Rytidosperma setifolium"
172.0475,-41.5442,"Rytidosperma setifolium"
172.1008,-41.5418,"Rytidosperma setifolium"
172.1185,-41.5393,"Rytidosperma setifolium"
172.1159,-41.5343,"Rytidosperma setifolium"
172.0945,-41.5436,"Rytidosperma setifolium"
172.0586,-41.5397,"Rytidosperma setifolium"
172.0604,-41.5372,"Rytidosperma setifolium"
172.08,-41.5351,"Rytidosperma setifolium"
172.1481,-41.5433,"Rytidosperma setifolium"
172.1407,-41.5417,"Rytidosperma setifolium"
172.0374,-41.554,"Rytidosperma setifolium"
172.1236,-41.5395,"Rytidosperma setifolium"
172.0399,-41.5505,"Rytidosperma setifolium"
172.2765,-41.2378,"Rytidosperma setifolium"
172.2756,-41.2414,"Rytidosperma setifolium"
172.29,-41.4763,"Rytidosperma setifolium"
172.2712,-41.2574,"Rytidosperma setifolium"
172.2769,-41.2257,"Rytidosperma setifolium"
172.2414,-41.2583,"Rytidosperma setifolium"
172.2716,-41.2522,"Rytidosperma setifolium"
172.0492,-41.5435,"Rytidosperma setifolium"
170.3609,-43.6838,"Rytidosperma setifolium"
170.362,-43.6851,"Rytidosperma setifolium"
170.3755,-43.6637,"Rytidosperma setifolium"
170.3585,-43.6817,"Rytidosperma setifolium"
167.5273,-45.666,"Rytidosperma setifolium"
167.5274,-45.6496,"Rytidosperma setifolium"
167.5284,-45.6589,"Rytidosperma setifolium"
167.5307,-45.6426,"Rytidosperma setifolium"
167.5287,-45.6664,"Rytidosperma setifolium"
167.5307,-45.6397,"Rytidosperma setifolium"
167.5275,-45.6587,"Rytidosperma setifolium"
167.5279,-45.6629,"Rytidosperma setifolium"
167.5079,-45.6792,"Rytidosperma setifolium"
167.5085,-45.6789,"Rytidosperma setifolium"
167.5287,-45.6588,"Rytidosperma setifolium"
167.5285,-45.6621,"Rytidosperma setifolium"
167.5275,-45.65,"Rytidosperma setifolium"
167.5311,-45.6427,"Rytidosperma setifolium"
167.5294,-45.6414,"Rytidosperma setifolium"
167.5278,-45.6586,"Rytidosperma setifolium"
167.5271,-45.6602,"Rytidosperma setifolium"
167.5085,-45.6797,"Rytidosperma setifolium"
167.5284,-45.6627,"Rytidosperma setifolium"
167.5265,-45.6596,"Rytidosperma setifolium"
167.5079,-45.6783,"Rytidosperma setifolium"
167.5274,-45.6636,"Rytidosperma setifolium"
167.5275,-45.6494,"Rytidosperma setifolium"
167.5082,-45.6791,"Rytidosperma setifolium"
167.5152,-45.6467,"Rytidosperma setifolium"
167.5286,-45.6666,"Rytidosperma setifolium"
167.5304,-45.6405,"Rytidosperma setifolium"
167.5282,-45.6627,"Rytidosperma setifolium"
167.5219,-45.6873,"Rytidosperma setifolium"
167.5276,-45.6691,"Rytidosperma setifolium"
167.5082,-45.6797,"Rytidosperma setifolium"
167.5274,-45.6501,"Rytidosperma setifolium"
167.5267,-45.6589,"Rytidosperma setifolium"
167.5306,-45.6397,"Rytidosperma setifolium"
167.5268,-45.6598,"Rytidosperma setifolium"
167.528,-45.6635,"Rytidosperma setifolium"
167.5275,-45.6676,"Rytidosperma setifolium"
167.5277,-45.6505,"Rytidosperma setifolium"
167.509,-45.6777,"Rytidosperma setifolium"
167.53,-45.6428,"Rytidosperma setifolium"
167.5282,-45.6471,"Rytidosperma setifolium"
167.5284,-45.6674,"Rytidosperma setifolium"
167.529,-45.6623,"Rytidosperma setifolium"
167.5282,-45.647,"Rytidosperma setifolium"
172.5987,-41.5917,"Rytidosperma setifolium"
175.723,-39.3426,"Rytidosperma setifolium"
172.5996,-41.5896,"Rytidosperma setifolium"
175.387,-40.9966,"Rytidosperma setifolium"
169.294,-45.1452,"Rytidosperma setifolium"
169.3016,-45.2763,"Rytidosperma setifolium"
169.3096,-45.2321,"Rytidosperma setifolium"
169.2819,-45.1737,"Rytidosperma setifolium"
169.2511,-45.2264,"Rytidosperma setifolium"
169.245,-45.2531,"Rytidosperma setifolium"
169.2487,-45.2891,"Rytidosperma setifolium"
169.3081,-45.2605,"Rytidosperma setifolium"
169.3039,-45.1847,"Rytidosperma setifolium"
169.2689,-45.2789,"Rytidosperma setifolium"
169.2838,-45.2056,"Rytidosperma setifolium"
169.2904,-45.3008,"Rytidosperma setifolium"
169.2726,-45.1987,"Rytidosperma setifolium"
169.2685,-45.241,"Rytidosperma setifolium"
171.591914,-43.016959,"Rytidosperma setifolium"
